Primary or secondary electricity,Generator type,Technology,Year,Electricity Production (GWh),Population ,Electricity Production per Capita
Primary electricity,Major power producers,Total,2018,120318.0,66288900,1.8150550092096867
Primary electricity,Major power producers,Nuclear,2018,65064.0,66288900,0.9815217932414024
Primary electricity,Major power producers,Large scale hydro,2018,3461.0,66288900,0.052210852797376334
Primary electricity,Major power producers,Small scale hydro,2018,339.0,66288900,0.0051139783583676905
Primary electricity,Major power producers,Wind and solar,2018,51454.0,66288900,0.7762083848125403
Primary electricity,Other generators,Total,2018,19775.0,66288900,0.29831540423811526
Primary electricity,Other generators,Nuclear,2018,0.0,66288900,0.0
Primary electricity,Other generators,Large scale hydro,2018,687.0,66288900,0.010363726053683195
Primary electricity,Other generators,Small scale hydro,2018,956.0,66288900,0.014421720680234548
Primary electricity,Other generators,Wind and solar,2018,18131.0,66288900,0.27351487202231445
Secondary electricity,Major power producers,Total,2018,158133.0,66288900,2.3855125066187552
Secondary electricity,Major power producers,Coal,2018,16778.0,66288900,0.25310421503449293
Secondary electricity,Major power producers,Oil,2018,627.0,66288900,0.009458597140697763
Secondary electricity,Major power producers,Gas,2018,119632.0,66288900,1.8047063686378866
Secondary electricity,Major power producers,Bioenergy,2018,19965.0,66288900,0.3011816457959025
Secondary electricity,Major power producers,Other fuels,2018,1131.0,66288900,0.01706168000977539
Secondary electricity,Other generators,Total,2018,32992.0,66288900,0.49770021828692285
Secondary electricity,Other generators,Coal,2018,53.0,66288900,0.0007995305398037982
Secondary electricity,Other generators,Oil,2018,947.0,66288900,0.014285951343286734
Secondary electricity,Other generators,Gas,2018,11857.0,66288900,0.17886855868780444
Secondary electricity,Other generators,Bioenergy,2018,15136.0,66288900,0.2283338537824583
Secondary electricity,Other generators,Other fuels,2018,4998.0,66288900,0.07539723845168649
Total production,Total,Nuclear,2018,65064.0,66288900,0.9815217932414024
Total production,Total,Hydro,2018,5443.0,66288900,0.08211027788966177
Total production,Total,"Wind, wave and solar",2018,69585.0,66288900,1.0497232568348547
Total production,Total,Coal,2018,16831.0,66288900,0.25390374557429674
Total production,Total,Oil,2018,1573.0,66288900,0.02372946300210141
Total production,Total,Gas,2018,131490.0,66288900,1.983590012807574
Total production,Total,Bioenergy,2018,35102.0,66288900,0.5295305850602439
Total production,Total,Other fuels,2018,6129.0,66288900,0.09245891846146187
Total production,Total,All,2018,331218.0,66288900,4.99658313835348
Primary electricity,Major power producers,Total,2019,119308.0,66630700,1.790586021158415
Primary electricity,Major power producers,Nuclear,2019,56184.0,66630700,0.8432149144463438
Primary electricity,Major power producers,Large scale hydro,2019,3839.0,66630700,0.05761608387725178
Primary electricity,Major power producers,Small scale hydro,2019,351.0,66630700,0.00526784200075941
Primary electricity,Major power producers,Wind and solar,2019,58934.0,66630700,0.88448718083406
Primary electricity,Other generators,Total,2019,19076.0,66630700,0.28629445585893587
Primary electricity,Other generators,Nuclear,2019,0.0,66630700,0.0
Primary electricity,Other generators,Large scale hydro,2019,702.0,66630700,0.01053568400151882
Primary electricity,Other generators,Small scale hydro,2019,1041.0,66630700,0.015623428839859104
Primary electricity,Other generators,Wind and solar,2019,17333.0,66630700,0.260135343017558
Secondary electricity,Major power producers,Total,2019,148129.0,66630700,2.2231343809985487
Secondary electricity,Major power producers,Coal,2019,6865.0,66630700,0.10303058500060783
Secondary electricity,Major power producers,Oil,2019,671.0,66630700,0.010070432998602746
Secondary electricity,Major power producers,Gas,2019,118593.0,66630700,1.7798552318976089
Secondary electricity,Major power producers,Bioenergy,2019,20838.0,66630700,0.31273872254081075
Secondary electricity,Major power producers,Other fuels,2019,1161.0,66630700,0.017424400464050357
Secondary electricity,Other generators,Total,2019,38823.0,66630700,0.5826593447164745
Secondary electricity,Other generators,Coal,2019,50.0,66630700,0.0007504048434130214
Secondary electricity,Other generators,Oil,2019,1317.0,66630700,0.01976566357549898
Secondary electricity,Other generators,Gas,2019,14495.0,66630700,0.21754236410543487
Secondary electricity,Other generators,Bioenergy,2019,16689.0,66630700,0.25047012863439827
Secondary electricity,Other generators,Other fuels,2019,6272.0,66630700,0.0941307835577294
Total production,Total,Nuclear,2019,56184.0,66630700,0.8432149144463438
Total production,Total,Hydro,2019,5933.0,66630700,0.08904303871938911
Total production,Total,"Wind, wave and solar",2019,76267.0,66630700,1.144622523851618
Total production,Total,Coal,2019,6915.0,66630700,0.10378098984402084
Total production,Total,Oil,2019,1988.0,66630700,0.029836096574101727
Total production,Total,Gas,2019,133089.0,66630700,1.9974126040999118
Total production,Total,Bioenergy,2019,37526.0,66630700,0.5631938430783408
Total production,Total,Other fuels,2019,7433.0,66630700,0.11155518402177975
Total production,Total,All,2019,325335.0,66630700,4.882659194635506
Primary electricity,Major power producers,Total,2020,125885.0,66744100,1.8860843130703688
Primary electricity,Major power producers,Nuclear,2020,50239.0,66744100,0.7527107264911805
