"Aggregate energy commodity balance, 2019, gross calorific values (ktoe)",,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,
Column1,Coal,Manufactured fuel [note 1],Primary oils,Petroleum products,Natural gas [note 2],Bioenergy & waste [note 3],Primary electricity,Electricity,Heat sold,Total,
Production,"1,785",0,"57,501",0,"37,538","11,715","19,155",0,0,"127,693",
Imports,"4,236",623,"56,392","34,687","43,304","5,583",0,"2,111",0,"146,935",
Exports,-493,-8,"-49,137","-22,640","-7,893",-302,0,-291,0,"-80,764",
Marine bunkers,0,0,0,"-2,437",0,0,0,0,0,"-2,437",
Stock change [note 4],-83 ,+112 ,-97 ,-281 ,+72 ,-0 ,0,0,0,-276 ,
Total supply,"5,445",727,"64,658","9,329","73,021","16,995","19,155","1,820",0,"191,152",
Statistical difference [note 5],-31,+4 ,+29 ,-14 ,-878 ,0,0,-3 ,0,-893 ,
Total demand,"5,477",723,"64,629","9,343","73,899","16,995","19,155","1,823",0,"192,045",
Transfers,0,+24 ,-356 ,+354 ,+500 ,-499 ,"-7,068 ","+7,068 ",0,+24 ,
Transformation,"-4,177",347,"-64,274","63,617","-25,883","-10,752","-12,087","20,906","1,584","-30,719",
Electricity generation,"-1,838",-429,0,-317,"-23,480","-10,567","-12,087","20,906",0,"-27,812",
Major power producers,"-1,830",0,0,-109,"-21,076","-5,162","-12,087","17,568",0,"-22,696",
Autogenerators,-8,-429,0,-208,"-2,405","-5,405",0,"3,338",0,"-5,116",
Heat generation,-4,-1,0,-44,"-2,402",-185,0,0,"1,584","-1,051",
Petroleum refineries,0,0,"-64,677","64,466",0,0,0,0,0,-212,
Coke manufacture,"-1,375","1,292",0,0,0,0,0,0,0,-83,
Blast furnaces,-863,-646,0,0,0,0,0,0,0,"-1,508",
Patent fuel manufacture,-98,130,0,-46,0,0,0,0,0,-14,
Other [note 6],0,0,404,-443,0,0,0,0,0,-39,
Energy industry use,0,444,0,"4,088","5,512",0,0,"1,900",343,"12,288",
Electricity generation,0,0,0,0,0,0,0,"1,254",0,"1,254",
Oil and gas extraction,0,0,0,607,"4,719",0,0,52,0,"5,377",
Petroleum refineries,0,0,0,"3,481",230,0,0,390,343,"4,445",
Coal extraction,0,0,0,0,7,0,0,32,0,39,
Coke manufacture,0,181,0,0,0,0,0,2,0,183,
Blast furnaces,0,263,0,0,27,0,0,15,0,305,
Patent fuel manufacture,0,0,0,0,0,0,0,0,0,0,
Storage [note 7],0,0,0,0,0,0,0,47,0,47,
Other,0,0,0,0,529,0,0,109,0,639,
Losses,0,84,0,0,304,0,0,"2,347",0,"2,735",
Final consumption,"1,300",566,0,"69,226","42,700","5,744",0,"25,549","1,241","146,326",
Industry,931,374,0,"2,099","8,718","1,522",0,"7,941",689,"22,274",
Unclassified,94,0,0,"1,195",0,276,0,0,0,"1,566",
Iron and steel,15,374,0,16,390,2,0,210,0,"1,006",
Non-ferrous metals,16,0,0,1,251,0,0,354,0,621,
Mineral products,434,0,0,123,"1,253",355,0,561,0,"2,725",
Chemicals,46,0,0,138,"1,793",93,0,"1,360",208,"3,637",
Mechanical engineering etc,7,0,0,0,918,0,0,519,0,"1,444",
Electrical engineering etc,3,0,0,1,283,0,0,515,0,802,
Vehicles,0,0,0,32,516,10,0,383,1,942,
"Food, beverages etc",47,0,0,137,"1,647",89,0,"1,014",6,"2,940",
"Textiles, leather etc",0,0,0,44,230,0,0,237,0,510,
"Paper, printing etc",0,0,0,31,381,427,0,864,0,"1,704",
Other industries,266,0,0,49,626,270,0,"1,800",475,"3,487",
Construction,3,0,0,332,430,0,0,124,0,889,
Transport,11,0,0,"53,786",43,"1,907",0,528,0,"56,275",
Air,0,0,0,"13,342",0,0,0,0,0,"13,342",
Rail,11,0,0,601,0,0,0,455,0,"1,067",
Road,0,0,0,"38,870",43,"1,907",0,73,0,"40,894",
National navigation,0,0,0,973,0,0,0,0,0,973,
Pipelines,0,0,0,0,0,0,0,0,0,0,
Other,358,142,0,"6,506","33,538","2,315",0,"17,080",551,"60,491",
Domestic,337,142,0,"2,573","25,144",942,0,"8,941",260,"38,339",
Public administration,13,0,0,869,"3,372",35,0,"1,535",77,"5,901",
Commercial,4,0,0,"1,635","4,015","1,128",0,"6,247",209,"13,237",
Agriculture,0,0,0,926,89,206,0,358,4,"1,582",
Miscellaneous,5,0,0,503,918,5,0,0,1,"1,432",
Non energy use,0,50,0,"6,835",401,0,0,0,0,"7,286",
