"Aggregate energy commodity balance, 2021, gross calorific values (ktoe)",,,,,,,,,,
This worksheet contains one table,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,
Column1,Coal,Manufactured fuel [note 1],Primary oils,Petroleum products,Natural gas [note 2],Bioenergy & waste [note 3],Primary electricity,Electricity,Heat sold,Total
Production,736,0,"44,737",0,"31,323","13,149","17,038",0,0,"106,983"
Imports,"3,197",780,"45,660","27,698","48,224","5,714",0,"2,478",0,"133,751"
Exports,-743,-8,"-37,753","-19,953","-6,541",-409,0,-361,0,"-65,767"
Marine bunkers,0,0,0,"-2,071",0,0,0,0,0,"-2,071"
Stock change [note 4],"+1,629 ",+151 ,+159 ,"+1,491 ",+168 ,-2 ,0,0,0,"+3,596 "
Total supply,"4,819",924,"52,803","7,165","73,174","18,452","17,038","2,117",0,"176,491"
Statistical difference [note 5],-26,-1 ,-1 ,+77 ,+180 ,0,0,-19 ,0,+210 
Total demand,"4,845",925,"52,805","7,088","72,994","18,452","17,038","2,137",0,"176,281"
Transfers,0,+20 ,+138 ,-92 ,+527 ,-557 ,"-7,092 ","+7,092 ",0,+36 
Transformation,"-3,735",221,"-52,943","51,952","-24,257","-11,729","-9,946","19,210","1,580","-29,647"
Electricity generation,"-1,664",-396,0,-460,"-21,887","-11,508","-9,946","19,210",0,"-26,651"
Major power producers,"-1,664",0,0,-117,"-19,640","-5,826","-9,946","16,201",0,"-20,991"
Autogenerators,-1,-396,0,-343,"-2,247","-5,682",0,"3,009",0,"-5,660"
Heat generation,-4,-1,0,-68,"-2,370",-221,0,0,"1,580","-1,084"
Petroleum refineries,0,0,"-53,271","52,917",0,0,0,0,0,-354
Coke manufacture,"-1,174","1,095",0,0,0,0,0,0,0,-79
Blast furnaces,-805,-621,0,0,0,0,0,0,0,"-1,426"
Patent fuel manufacture,-88,144,0,-59,0,0,0,0,0,-3
Other [note 6],0,0,328,-378,0,0,0,0,0,-50
Energy industry use,0,392,0,"3,367","4,459",0,0,"1,578",330,"10,126"
Electricity generation,0,0,0,0,0,0,0,"1,062",0,"1,062"
Oil and gas extraction,0,0,0,626,"3,683",0,0,53,0,"4,361"
Petroleum refineries,0,0,0,"2,741",236,0,0,293,330,"3,600"
Coal extraction,0,0,0,0,5,0,0,19,0,25
Coke manufacture,0,142,0,0,0,0,0,1,0,143
Blast furnaces,0,250,0,0,38,0,0,13,0,301
Patent fuel manufacture,0,0,0,0,0,0,0,0,0,0
Storage [note 7],0,0,0,0,0,0,0,49,0,49
Other,0,0,0,0,497,0,0,87,0,584
Losses,0,147,0,0,334,0,0,"2,336",0,"2,817"
Final consumption,"1,110",627,0,"55,580","44,470","6,165",0,"24,525","1,250","133,728"
Industry,755,433,0,"2,231","8,201","1,750",0,"7,579",645,"21,594"
Unclassified,0,0,0,"1,457",1,625,0,0,0,"2,084"
Iron and steel,13,433,0,13,404,2,0,194,0,"1,059"
Non-ferrous metals,17,0,0,1,244,0,0,397,0,659
Mineral products,405,0,0,110,"1,168",336,0,531,0,"2,551"
Chemicals,43,0,0,113,"1,526",116,0,"1,316",189,"3,302"
Mechanical engineering etc,8,0,0,0,858,0,0,492,0,"1,358"
Electrical engineering etc,4,0,0,1,281,0,0,514,0,800
Vehicles,0,0,0,29,456,13,0,288,0,786
"Food, beverages etc",41,0,0,120,"1,609",78,0,930,20,"2,798"
"Textiles, leather etc",0,0,0,43,248,0,0,214,0,504
"Paper, printing etc",0,0,0,29,305,296,0,863,16,"1,509"
Other industries,218,0,0,51,715,284,0,"1,716",420,"3,405"
Construction,5,0,0,264,385,0,0,124,0,779
Transport,10,0,0,"41,907",84,"1,792",0,602,0,"44,395"
Air,0,0,0,"5,342",0,16,0,0,0,"5,358"
Rail,10,0,0,552,0,0,0,407,0,969
Road,0,0,0,"35,324",84,"1,776",0,195,0,"37,378"
National navigation,0,0,0,690,0,0,0,0,0,690
Pipelines,0,0,0,0,0,0,0,0,0,0
Other,345,151,0,"6,164","35,884","2,624",0,"16,345",606,"62,117"
Domestic,323,151,0,"2,453","27,412","1,147",0,"9,166",272,"40,925"
Public administration,13,0,0,805,"3,351",59,0,"1,364",84,"5,675"
Commercial,4,0,0,"1,572","4,075","1,202",0,"5,475",242,"12,569"
Agriculture,0,0,0,871,79,211,0,339,4,"1,503"
Miscellaneous,5,0,0,463,967,5,0,0,3,"1,443"
Non energy use,0,43,0,"5,278",301,0,0,0,0,"5,622"
