"Table 1.1 Indigenous production of primary fuels, quarterly data (million tonnes of oil equivalent)",,,,,,,
This worksheet contains one table,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,
"Freeze panes are active on this sheet, to turn off freeze panes select 'view' then 'freeze panes' then 'unfreeze panes' or use [Alt W, F] ",,,,,,,
[x] is used to indicate data not available,,,,,,,
Quarter,Total,Coal [note 1],Petroleum [note 2],Natural gas [note 3],Bioenergy & waste [note 4] [note 5] [note 6],Primary electricity - nuclear [note 7],"Primary electricity - wind, solar and hydro [note 7]"
,,,,,,,
Quarter 1 2018,35.0 ,3.2 ,15.0 ,12.4 ,1.2 ,3.0 ,0.2 
Quarter 2 2018,38.3 ,3.3 ,16.9 ,12.8 ,1.5 ,3.4 ,0.4 
Quarter 3 2018,38.5 ,2.8 ,16.5 ,12.8 ,1.8 ,4.3 ,0.4 
Quarter 4 2018,36.5 ,3.0 ,15.2 ,11.9 ,1.5 ,4.5 ,0.4 
Quarter 1 2019,30.2 ,3.0 ,12.7 ,8.9 ,1.3 ,3.9 ,0.3 
Quarter 2 2019,32.5 ,2.9 ,13.5 ,10.9 ,1.6 ,3.1 ,0.6 
Quarter 3 2019,33.9 ,2.4 ,13.9 ,11.1 ,1.8 ,3.9 ,0.7 
Quarter 4 2019,32.4 ,3.0 ,13.3 ,10.4 ,1.5 ,3.8 ,0.5 
Quarter 1 2020,29.4 ,2.8 ,12.3 ,8.5 ,1.4 ,3.9 ,0.4 
Quarter 2 2020,26.6 ,2.6 ,9.7 ,8.3 ,1.8 ,3.5 ,0.7 
Quarter 3 2020,30.5 ,2.1 ,12.1 ,9.3 ,2.0 ,4.1 ,0.8 
Quarter 4 2020,29.8 ,2.3 ,11.6 ,9.6 ,1.9 ,3.6 ,0.7 
Quarter 1 2021,26.0 ,1.9 ,10.2 ,7.9 ,1.6 ,3.9 ,0.5 
Quarter 2 2021,26.9 ,1.8 ,10.4 ,8.4 ,1.7 ,3.8 ,0.9 
Quarter 3 2021,30.6 ,1.7 ,12.2 ,9.6 ,2.0 ,3.9 ,1.3 
Quarter 4 2021,29.9 ,1.9 ,12.1 ,9.6 ,1.8 ,3.6 ,0.9 
Quarter 1 2022,25.0 ,1.9 ,9.0 ,8.1 ,1.7 ,3.7 ,0.6 
Quarter 2 2022,27.1 ,2.0 ,10.8 ,8.5 ,2.2 ,2.7 ,0.9 
Quarter 3 2022,30.8 ,1.7 ,11.6 ,9.4 ,2.7 ,4.1 ,1.3 
Quarter 4 2022,32.6 ,1.8 ,13.2 ,10.5 ,2.2 ,3.8 ,1.2 
Quarter 1 2023,28.2 ,1.1 ,11.7 ,8.9 ,1.8 ,3.7 ,1.0 
Quarter 2 2023,30.2 ,1.1 ,12.4 ,9.5 ,2.4 ,3.8 ,1.1 
Quarter 3 2023 ,33.4 ,0.7 ,13.8 ,10.5 ,3.0 ,4.0 ,1.5 
Quarter 4 2023,32.0 ,0.7 ,13.8 ,10.2 ,2.7 ,3.5 ,1.1 
Quarter 1 2024 ,29.8 ,0.7 ,12.7 ,9.3 ,2.2 ,4.0 ,1.0 
Quarter 2 2024,29.9 ,0.8 ,11.8 ,10.0 ,2.3 ,4.0 ,1.1 
