DATE ,INFLATION RATE,DATE,UNEMPLOYMENT RATE ,Quarter ,INFLATION RATE ,Quarter ,UNEMPLOYMENT RATE ,MONTH,INFLATION RATE,MONTH,UNEMPLOYMENT RATE 
2018,2.3,2018,4.2,2018 Q1,2.5,2018 Q1,4.3,2018 JAN,2.7,2018 JAN,4.3
2019,1.7,2019,3.9,2018 Q2,2.2,2018 Q2,4.1,2018 FEB,2.5,2018 FEB,4.3
2020,1,2020,4.7,2018 Q3,2.3,2018 Q3,4.2,2018 MAR,2.3,2018 MAR,4.3
2021,2.5,2021,4.6,2018 Q4,2.1,2018 Q4,4.1,2018 APR,2.2,2018 APR,4.2
2022,7.9,2022,3.9,2019 Q1,1.8,2019 Q1,3.9,2018 MAY,2.3,2018 MAY,4.1
2023,6.8,2023,4,2019 Q2,2,2019 Q2,4,2018 JUN,2.3,2018 JUN,4.1
,,,,2019 Q3,1.8,2019 Q3,3.9,2018 JUL,2.3,2018 JUL,4.1
,,,,2019 Q4,1.4,2019 Q4,3.9,2018 AUG,2.4,2018 AUG,4.2
,,,,2020 Q1,1.7,2020 Q1,4.1,2018 SEP,2.2,2018 SEP,4.1
,,,,2020 Q2,0.8,2020 Q2,4.2,2018 OCT,2.2,2018 OCT,4.1
,,,,2020 Q3,0.8,2020 Q3,5,2018 NOV,2.2,2018 NOV,4.1
,,,,2020 Q4,0.8,2020 Q4,5.3,2018 DEC,2,2018 DEC,4
,,,,2021 Q1,0.9,2021 Q1,5.1,2019 JAN,1.8,2019 JAN,4
,,,,2021 Q2,2.1,2021 Q2,4.8,2019 FEB,1.8,2019 FEB,3.9
,,,,2021 Q3,2.7,2021 Q3,4.4,2019 MAR,1.8,2019 MAR,3.9
,,,,2021 Q4,4.4,2021 Q4,4.2,2019 APR,2,2019 APR,3.9
,,,,2022 Q1,5.5,2022 Q1,3.9,2019 MAY,1.9,2019 MAY,4
,,,,2022 Q2,7.9,2022 Q2,3.9,2019 JUN,1.9,2019 JUN,3.9
,,,,2022 Q3,8.7,2022 Q3,3.8,2019 JUL,2,2019 JUL,4
,,,,2022 Q4,9.4,2022 Q4,3.9,2019 AUG,1.7,2019 AUG,3.9
,,,,2023 Q1,9,2023 Q1,4,2019 SEP,1.7,2019 SEP,3.9
,,,,2023 Q2,7.7,2023 Q2,4.2,2019 OCT,1.5,2019 OCT,3.9
,,,,2023 Q3,6.3,2023 Q3,4.1,2019 NOV,1.5,2019 NOV,3.9
,,,,2023 Q4,4.4,2023 Q4,3.8,2019 DEC,1.4,2019 DEC,4
,,,,,,,,2020 JAN,1.8,2020 JAN,4.1
,,,,,,,,2020 FEB,1.7,2020 FEB,4.1
,,,,,,,,2020 MAR,1.5,2020 MAR,4.2
,,,,,,,,2020 APR,0.9,2020 APR,4.2
,,,,,,,,2020 MAY,0.7,2020 MAY,4.2
,,,,,,,,2020 JUN,0.8,2020 JUN,4.4
,,,,,,,,2020 JUL,1.1,2020 JUL,4.7
,,,,,,,,2020 AUG,0.5,2020 AUG,5
,,,,,,,,2020 SEP,0.7,2020 SEP,5.2
,,,,,,,,2020 OCT,0.9,2020 OCT,5.2
,,,,,,,,2020 NOV,0.6,2020 NOV,5.3
,,,,,,,,2020 DEC,0.8,2020 DEC,5.3
,,,,,,,,2021 JAN,0.9,2021 JAN,5.2
,,,,,,,,2021 FEB,0.7,2021 FEB,5.1
,,,,,,,,2021 MAR,1,2021 MAR,5
,,,,,,,,2021 APR,1.6,2021 APR,5
,,,,,,,,2021 MAY,2.1,2021 MAY,4.8
,,,,,,,,2021 JUN,2.4,2021 JUN,4.7
,,,,,,,,2021 JUL,2.1,2021 JUL,4.6
,,,,,,,,2021 AUG,3,2021 AUG,4.4
,,,,,,,,2021 SEP,2.9,2021 SEP,4.3
,,,,,,,,2021 OCT,3.8,2021 OCT,4.2
,,,,,,,,2021 NOV,4.6,2021 NOV,4.2
,,,,,,,,2021 DEC,4.8,2021 DEC,4.1
,,,,,,,,2022 JAN,4.9,2022 JAN,4
,,,,,,,,2022 FEB,5.5,2022 FEB,3.9
,,,,,,,,2022 MAR,6.2,2022 MAR,4
,,,,,,,,2022 APR,7.8,2022 APR,3.9
,,,,,,,,2022 MAY,7.9,2022 MAY,3.9
,,,,,,,,2022 JUN,8.2,2022 JUN,3.7
,,,,,,,,2022 JUL,8.8,2022 JUL,3.6
,,,,,,,,2022 AUG,8.6,2022 AUG,3.8
,,,,,,,,2022 SEP,8.8,2022 SEP,3.9
,,,,,,,,2022 OCT,9.6,2022 OCT,3.8
,,,,,,,,2022 NOV,9.3,2022 NOV,3.9
,,,,,,,,2022 DEC,9.2,2022 DEC,3.8
,,,,,,,,2023 JAN,8.8,2023 JAN,3.9
,,,,,,,,2023 FEB,9.2,2023 FEB,4
,,,,,,,,2023 MAR,8.9,2023 MAR,3.9
,,,,,,,,2023 APR,7.8,2023 APR,4
,,,,,,,,2023 MAY,7.9,2023 MAY,4.2
,,,,,,,,2023 JUN,7.3,2023 JUN,4.3
,,,,,,,,2023 JUL,6.4,2023 JUL,4.2
,,,,,,,,2023 AUG,6.3,2023 AUG,4.1
,,,,,,,,2023 SEP,6.3,2023 SEP,4
,,,,,,,,2023 OCT,4.7,2023 OCT,3.9
,,,,,,,,2023 NOV,4.2,2023 NOV,3.8
,,,,,,,,2023 DEC,4.2,2023 DEC,4
