"ValSAT: VALUE SEASONALLY ADJUSTED - Total Retail Sales in £thousands, Great Britain",,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,
Some cells in this table are empty because data was not collected for these variables at these time points.,,,,,,,,,,,,,,,
Source: Retails Sales Index,,,,,,,,,,,,,,,
Time Period,All retailing including automotive fuel,Month as a % of Total,All Retailing excluding automotive fuel,Month as a % of Total excluding automotive fuel,Predominantly food stores,Total predominantly non-food stores,Non-specialised stores [Note 1],"Textile, clothing and footwear stores [Note 1]",Household goods stores [Note 1],Other stores [Note 1],Non-store retailing,Automotive fuel,Total Annual Sales for All Retailing including automotive fuel,Total Annual Sales for All Retailing excluding automotive fuel,
Agg/SIC,Agg 21,,Agg 21X,,Agg 1,AGG12,47.19,Agg 5,Agg 7,Agg 13,Agg 14,47.3,,,
Units,£thousands,,£thousands,,£thousands,£thousands,£thousands,£thousands,£thousands,£thousands,£thousands,£thousands,,,
,,,,,,,,,,,,,,,
2018JAN,"31,892,497",7.52,"28,669,320",7.52,"12,306,512","13,254,569","2,744,589","3,724,981","2,631,361","4,153,638","3,108,239","3,223,177",,,
2018FEB,"32,050,210",7.56,"28,764,420",7.55,"12,439,945","13,135,274","2,715,471","3,705,571","2,644,953","4,069,279","3,189,201","3,285,790",,,
2018MAR,"39,486,322",9.31,"35,641,292",9.35,"15,401,811","16,374,683","3,380,387","4,608,257","3,352,265","5,033,774","3,864,798","3,845,030",,,
2018APR,"31,959,355",7.53,"28,811,723",7.56,"12,448,451","13,178,387","2,676,369","3,642,843","2,683,832","4,175,343","3,184,885","3,147,632",,,
2018MAY,"32,746,787",7.72,"29,452,534",7.73,"12,686,405","13,437,248","2,760,932","3,819,610","2,693,242","4,163,464","3,328,881","3,294,253",,,
2018JUN,"40,836,323",9.63,"36,618,213",9.61,"15,861,186","16,612,094","3,461,367","4,749,442","3,312,690","5,088,595","4,144,933","4,218,110",,,
2018JUL,"32,920,161",7.76,"29,581,741",7.76,"12,781,373","13,405,664","2,744,759","3,875,116","2,654,292","4,131,497","3,394,704","3,338,420",,,
2018AUG,"33,068,625",7.80,"29,742,650",7.80,"12,693,946","13,608,225","2,764,734","3,790,573","2,757,181","4,295,737","3,440,479","3,325,975",,,
2018SEP,"41,277,251",9.73,"37,049,163",9.72,"15,776,734","16,965,381","3,419,197","4,752,923","3,479,160","5,314,101","4,307,048","4,228,088",,,
2018OCT,"32,898,027",7.76,"29,522,473",7.75,"12,636,627","13,445,650","2,702,647","3,770,918","2,761,115","4,210,970","3,440,196","3,375,554",,,
2018NOV,"33,334,177",7.86,"29,863,276",7.84,"12,683,377","13,684,609","2,728,360","3,838,398","2,792,321","4,325,530","3,495,290","3,470,901",TOTAL SALES IN 2018 £000s,,
2018DEC,"41,717,091",9.83,"37,367,846",9.81,"15,958,515","17,064,201","3,507,873","4,881,487","3,437,764","5,237,077","4,345,130","4,349,245","424,186,826","381,084,651",
2019JAN,"33,359,190",7.58,"29,926,012",7.59,"12,909,754","13,475,791","2,740,912","3,850,618","2,645,772","4,238,489","3,540,467","3,433,178",,,
2019FEB,"33,508,720",7.61,"29,988,646",7.61,"12,813,831","13,506,119","2,717,043","3,797,760","2,621,028","4,370,288","3,668,696","3,520,074",,,
2019MAR,"42,071,873",9.56,"37,702,608",9.57,"16,036,263","17,030,445","3,338,273","4,839,749","3,300,351","5,552,072","4,635,900","4,369,265",,,
2019APR,"33,710,177",7.66,"30,143,885",7.65,"12,847,430","13,568,178","2,665,315","3,941,153","2,590,253","4,371,457","3,728,277","3,566,292",,,
2019MAY,"33,537,423",7.62,"29,998,077",7.61,"12,830,230","13,432,757","2,678,664","3,782,990","2,604,319","4,366,784","3,735,090","3,539,346",,,
2019JUN,"42,617,333",9.68,"38,118,753",9.67,"16,168,429","17,214,132","3,367,589","4,917,877","3,308,290","5,620,376","4,736,192","4,498,580",,,
2019JUL,"34,386,176",7.81,"30,804,379",7.82,"12,989,462","13,707,952","2,726,241","3,960,264","2,582,448","4,438,999","4,106,965","3,581,797",,,
2019AUG,"34,168,545",7.76,"30,628,807",7.77,"13,031,765","13,635,466","2,706,239","3,916,152","2,609,324","4,403,751","3,961,576","3,539,738",,,
2019SEP,"42,656,780",9.69,"38,309,095",9.72,"16,369,697","17,006,592","3,309,052","4,877,050","3,365,421","5,455,069","4,932,806","4,347,685",,,
2019OCT,"34,002,102",7.73,"30,472,137",7.73,"13,047,102","13,523,919","2,688,777","3,849,110","2,650,612","4,335,420","3,901,116","3,529,965",,,
2019NOV,"33,759,313",7.67,"30,272,652",7.68,"13,003,652","13,392,803","2,671,949","3,792,224","2,622,199","4,306,431","3,876,197","3,486,661",TOTAL SALES IN 2019 £000s,,
2019DEC,"42,295,295",9.61,"37,695,499",9.57,"16,024,587","16,849,545","3,379,371","4,803,196","3,325,086","5,341,892","4,821,367","4,599,796","440,072,927","394,060,550",
2020JAN,"42,714,727",9.75,"38,320,764",9.48,"16,430,439","17,094,156","3,387,936","4,954,663","3,283,254","5,468,303","4,796,169","4,393,963",,,
2020FEB,"33,781,155",7.71,"30,280,189",7.49,"13,036,839","13,423,188","2,640,738","3,830,150","2,649,972","4,302,328","3,820,162","3,500,966",,,
2020MAR,"39,378,987",8.99,"36,014,847",8.91,"17,663,035","13,489,304","3,333,065","3,074,123","2,934,161","4,147,955","4,862,508","3,364,140",,,
2020APR,"25,728,344",5.87,"24,500,249",6.06,"13,718,380","6,229,847","1,987,534","1,201,607","1,258,007","1,782,699","4,552,022","1,228,095",,,
2020MAY,"28,919,581",6.60,"27,239,764",6.74,"13,890,631","7,774,108","2,305,035","1,448,546","1,790,330","2,230,197","5,575,025","1,679,817",,,
2020JUN,"41,230,586",9.41,"38,623,036",9.55,"17,371,081","14,115,657","3,124,848","3,174,269","3,250,117","4,566,423","7,136,298","2,607,550",,,
2020JUL,"34,472,007",7.87,"31,810,619",7.87,"13,427,067","12,865,152","2,541,919","3,031,688","2,851,399","4,440,146","5,518,400","2,661,388",,,
2020AUG,"34,849,248",7.95,"32,071,791",7.93,"13,546,218","13,196,829","2,588,053","3,322,684","2,932,376","4,353,716","5,328,744","2,777,457",,,
2020SEP,"44,140,424",10.07,"40,675,046",10.06,"17,093,172","17,042,327","3,290,444","4,217,270","3,738,842","5,795,771","6,539,547","3,465,378",,,
2020OCT,"35,700,394",8.15,"32,870,964",8.13,"13,524,943","13,822,817","2,675,163","3,340,107","3,091,517","4,716,030","5,523,204","2,829,430",,,
2020NOV,"34,005,380",7.76,"31,614,215",7.82,"13,781,236","12,273,623","2,643,888","2,570,112","3,000,357","4,059,266","5,559,356","2,391,165",TOTAL SALES IN 2020 £000s,,
2020DEC,"43,296,575",9.88,"40,235,561",9.95,"16,647,702","16,565,961","3,256,177","4,005,910","3,771,187","5,532,687","7,021,898","3,061,014","438,217,408","404,257,045",
2021JAN,"31,697,659",6.84,"29,343,583",6.97,"13,777,810","10,035,054","2,270,575","2,059,313","2,383,582","3,321,584","5,530,719","2,354,076",,,
2021FEB,"32,286,867",6.96,"29,792,302",7.08,"13,924,404","10,327,698","2,546,890","1,865,968","2,723,645","3,191,195","5,540,200","2,494,565",,,
2021MAR,"42,088,776",9.08,"38,572,793",9.16,"17,644,639","14,129,691","3,315,442","2,718,831","3,545,581","4,549,837","6,798,463","3,515,983",,,
2021APR,"36,550,549",7.88,"33,441,976",7.94,"14,031,692","13,956,984","2,740,485","3,550,361","3,149,582","4,516,556","5,453,300","3,108,573",,,
2021MAY,"36,234,791",7.82,"33,014,076",7.84,"13,366,632","14,400,110","2,652,848","3,537,063","3,296,246","4,913,953","5,247,334","3,220,715",,,
2021JUN,"46,213,339",9.97,"41,952,007",9.97,"17,512,457","17,847,179","3,277,403","4,505,417","3,863,463","6,200,896","6,592,371","4,261,332",,,
2021JUL,"36,159,489",7.80,"32,631,626",7.75,"13,711,421","13,869,970","2,572,418","3,546,954","3,033,404","4,717,194","5,050,235","3,527,863",,,
2021AUG,"36,317,782",7.83,"32,723,928",7.77,"13,610,090","14,073,473","2,590,146","3,674,171","2,993,983","4,815,173","5,040,365","3,593,854",,,
2021SEP,"45,510,752",9.82,"40,936,434",9.73,"17,034,369","17,542,652","3,312,311","4,683,943","3,547,800","5,998,598","6,359,413","4,574,318",,,
2021OCT,"36,656,406",7.91,"33,158,550",7.88,"13,715,382","14,503,675","2,660,480","3,849,409","2,936,224","5,057,562","4,939,493","3,497,856",,,
2021NOV,"37,179,113",8.02,"33,333,303",7.92,"13,733,260","14,469,049","2,601,972","3,920,859","2,891,890","5,054,328","5,130,994","3,845,810",TOTAL SALES IN 2021 £000s,,
2021DEC,"46,750,240",10.08,"42,036,862",9.99,"17,413,052","17,590,957","3,238,938","4,574,226","3,789,985","5,987,808","7,032,853","4,713,378","463,645,763","420,937,440",
2022JAN,"37,192,160",7.52,"33,364,852",7.59,"13,673,524","14,277,109","2,626,435","3,605,538","2,955,739","5,089,397","5,414,219","3,827,308",,,
2022FEB,"37,273,447",7.54,"33,273,117",7.57,"13,647,248","14,388,219","2,672,247","3,852,766","2,962,608","4,900,598","5,237,650","4,000,330",,,
2022MAR,"46,995,375",9.51,"41,853,217",9.52,"17,234,356","18,560,669","3,436,887","4,879,320","3,772,619","6,471,843","6,058,192","5,142,158",,,
