"1A - CHAINED VOLUME OF RETAIL SALES SEASONALLY ADJUSTED, Index numbers of sales per week and percentage increase on a year earlier , SIC 2007, All businesses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains two tables presented vertically with one above the other and a blank row between the two tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Retails Sales Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index 2022=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The monthly period consists of 4 weeks except for March, June, September and December which are 5 weeks. January 2020 is also a 5 week period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells in this table are empty because data was not collected for these variables at these time points.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index number of sales per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,"All Retailing, Including Automotive Fuel","All Retailing, Excluding Automotive Fuel",Predominantly Food Stores,Non-specialised Food Stores,Specialist Food Stores,"Alcoholic Drinks, Other Beverages and Tobacco",Predominantly Non-food Stores,Non-Specialised Predominantly Non-Food Stores,"Textile, Clothing, Footwear and Leather",Textiles,Clothing,Footwear and Leather Goods,Household Goods Stores,"Furniture, Lighting etc",Electrical Household Appliances,"Hardware, Paints and Glass",Music and video recordings and equipment,Other Specialised Non-food Stores,Dispensing Chemists,Medical Goods,Cosmetic & Toilet Articles,Computers & Telecomms Equipment,Floor Coverings,"Books, Newspapers & Periodicals","Sports Equipment, Games & Toys","Flowers, plants, seeds, fertilisers and pet foods",Watches & Jewellery,Other Retail Sale of New Goods in Specialised Stores,Second-hand Goods,Non-store Retail,Mail Order,Other Non-store Retail,Automotive Fuel,,,,
Sales in 2022,"(£494,298m)","(£439,575m)","(£185,685m)","(£170,869m)","(£11,171m)","(£3,646m)","(£189,472m)","(£35,127m)","(£52,451m)",(£1022m),"(£45,886m)","(£5,543m)","(£37,660m)","(£16,530m)","(£6,950m)","(£13,401m)",(£779m),"(£64,233m)","(£1,643m)","(£1,289m)","(£5,706m)","(£4,050m)","(£2,747m)","(£3,340m)","(£14,191m)","(£6,887m)","(£8,524m)","(£11,999m)","(£3,857m)","(£64,417m)","(£61,247m)","(£3,171m)","(£54,723m)",,,,
AGG/SIC,AGG21,AGG21X,AGG1,47.11,AGG26,AGG27,AGG12,47.19,AGG5,47.51,47.71,47.72,AGG7,47.59,47.54,47.52,AGG31,AGG13,47.73,47.74,47.75,AGG32,47.53,AGG35,AGG33,47.76,47.77,47.78,47.79,AGG14,47.91,Agg 11,47.3,,,,
Percentage Weight,100,88.93,37.57,34.57,2.26,0.74,38.33,7.11,10.61,0.21,9.28,1.12,7.62,3.34,1.41,2.71,0.16,12.99,0.33,0.26,1.15,0.82,0.56,0.68,2.87,1.39,1.72,2.43,0.78,13.03,12.39,0.64,11.07,,,,
Dataset identifier code,J5EK,J467,EAPT,JO59,JO5U,JO5V,EAPV,EAPU,EAPX,JO5C,JO5I,JO5J,EAPY,JO5G,JO5F,JO5D,JO5Y,EAPW,JO5K,JO5L,JO5M,JO5Z,JO5E,JO64,JO62,JO5N,JO5O,JO5P,JO5Q,J5DZ,JO5R,JO5S,JO5A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,97.8,97.1,100.3,101.3,88.5,89.1,101.2,111.2,100.9,89.2,102.6,89.2,108.3,108.3,99.3,112.4,139.2,91.7,87.3,64.5,92.5,102.2,78.6,129.5,78.3,86.4,94.6,103.4,79.5,75.8,74.8,97.2,104.0,,,,
2019,100.9,99.9,101.5,102.0,94.3,100.5,102.6,109.2,103.7,87.5,104.9,97.2,105.3,107.3,104.3,101.3,146.5,96.3,90.4,74.4,101.7,106.7,66.0,117.9,88.8,85.8,100.2,105.1,94.1,86.9,86.1,104.1,110.3,,,,
2020,99.5,100.9,106.3,107.8,84.6,101.1,90.6,103.5,77.9,80.2,78.6,71.7,104.7,92.4,107.2,117.3,128.0,85.8,126.8,72.2,84.8,72.5,57.1,104.6,84.2,90.8,75.7,96.8,78.1,116.6,116.6,114.8,86.0,,,,
2021,104.2,104.9,106.6,107.0,91.0,135.1,98.6,103.3,87.5,88.1,88.5,79.4,112.2,98.6,111.5,128.1,138.1,97.2,125.6,100.3,89.9,81.6,78.8,92.3,100.1,106.2,97.3,99.4,96.4,118.9,118.6,125.6,98.3,,,,
