ISCPSA2 - INTERNET SALES INDEX: VALUE SEASONALLY ADJUSTED PERCENTAGE CHANGE ON PREVIOUS MONTH,,,,,,,,
This worksheet contains one table.,,,,,,,,
Source: Retails Sales Index,,,,,,,,
Time Period,All retailing excluding automotive fuel [Note 1],Predominantly food stores,Total of predominantly non-food stores [Note 2],Non-specialised stores [Note 2],"Textile, clothing and footwear stores [Note 2]",Household goods stores [Note 2],Other stores [Note 2],Non-store retailing
Agg/SIC,Agg 21X,Agg 1,Agg 12,47.19,Agg 5,Agg 7,Agg 13,Agg 14
Dataset identifier code,KP8P,KP8L,KP8M,KP8K,KP8Q,KP8R,KP8N,KP8O
,,,,,,,,
2018 Jan,-2.3,-7.0,1.2,8.0,1.4,8.9,-10.6,-3.4
2018 Feb,2.0,3.8,-0.5,1.2,-3.1,2.0,-0.4,3.3
2018 Mar,2.1,-0.8,5.2,7.0,3.3,5.7,5.7,0.7
2018 Apr,-0.2,1.0,-2.4,-6.4,1.2,-7.6,0.9,1.0
2018 May,5.6,3.5,5.4,6.4,6.7,2.9,4.3,6.4
2018 Jun,-1.3,-1.0,-0.2,-2.6,-3.3,3.7,4.4,-2.1
2018 Jul,1.8,-1.3,1.7,5.7,1.6,3.3,-3.3,2.8
2018 Aug,0.4,-1.4,1.0,0.0,0.4,8.6,-3.0,0.4
2018 Sep,-0.3,-2.5,0.3,-8.6,4.4,-0.3,4.7,-0.2
2018 Oct,0.3,1.7,0.8,-4.4,-1.8,3.8,7.6,-0.4
2018 Nov,1.7,1.1,-0.7,5.0,2.2,-4.2,-6.9,3.7
2018 Dec,1.0,8.2,0.0,3.9,-0.2,-4.0,-0.2,-0.1
2019 Jan,0.3,-8.5,0.5,5.2,-1.0,-1.4,-0.6,2.4
2019 Feb,1.0,0.9,2.0,-2.7,-4.1,0.2,18.0,0.3
2019 Mar,2.6,-3.1,-0.3,1.5,4.6,-6.3,-4.2,5.9
2019 Apr,-0.2,3.2,2.6,0.1,3.9,5.1,1.5,-2.8
2019 May,0.6,-1.4,-2.1,-0.7,-1.6,3.7,-8.2,3.0
2019 Jun,-1.6,-2.7,4.7,2.8,6.8,4.7,3.3,-5.5
2019 Jul,7.2,5.2,0.7,-4.4,-1.6,-1.3,11.1,12.5
2019 Aug,-1.5,6.7,-2.7,0.2,-3.6,1.0,-6.7,-2.5
2019 Sep,-2.5,-2.5,-2.5,-11.0,1.9,9.1,-9.6,-2.5
