ISCPSA3 - INTERNET SALES INDEX: VALUE SEASONALLY ADJUSTED INTERNET SALES AS A PROPORTION OF ALL RETAILING,,,,,,,,
This worksheet contains one table.,,,,,,,,
Source: Retails Sales Index,,,,,,,,
Time Period,All retailing excluding automotive fuel [Note 1],Predominantly food stores,Total of predominantly non-food stores [Note 2],Non-specialised stores [Note 2],"Textile, clothing and footwear stores [Note 2]",Household goods stores [Note 2],Other stores [Note 2],Non-store retailing
Agg/SIC,Agg 21X,Agg 1,Agg 12,47.19,Agg 5,Agg 7,Agg 13,Agg 14
Dataset identifier code,MS6Y,MS72,MS73,MS6Z,MS76,MS77,MS74,MS75
,,,,,,,,
2018 Jan,17.0,5.4,13.4,15.9,16.8,12.1,9.4,78.2
2018 Feb,17.3,5.6,13.4,16.3,16.3,12.3,9.6,78.7
2018 Mar,17.8,5.6,14.1,17.5,16.9,12.8,10.2,81.8
2018 Apr,17.5,5.6,13.7,16.5,17.4,11.8,9.9,80.2
2018 May,18.1,5.7,14.2,17.0,17.7,12.1,10.4,81.6
2018 Jun,18.0,5.6,14.3,16.5,17.2,12.8,11.1,80.2
2018 Jul,18.2,5.5,14.4,17.6,17.1,13.2,10.6,80.5
2018 Aug,18.1,5.5,14.4,17.5,17.6,13.8,9.9,79.8
2018 Sep,18.1,5.4,14.4,16.2,18.3,13.6,10.4,79.5
2018 Oct,18.3,5.4,14.7,15.6,18.1,14.2,11.3,79.3
2018 Nov,18.4,5.5,14.3,16.3,18.2,13.5,10.3,80.9
2018 Dec,18.5,5.9,14.4,16.4,17.8,13.1,10.6,81.3
2019 Jan,18.6,5.3,14.6,17.7,17.9,13.5,10.4,81.7
2019 Feb,18.7,5.4,14.9,17.4,17.4,13.6,11.9,79.1
2019 Mar,19.1,5.2,14.7,18.0,17.9,12.7,11.2,82.9
2019 Apr,19.0,5.4,15.2,18.0,18.2,13.6,11.6,80.1
2019 May,19.3,5.3,15.0,17.8,18.7,14.0,10.7,82.4
2019 Jun,18.6,5.2,15.3,18.2,19.2,14.4,10.7,76.7
2019 Jul,19.8,5.4,15.5,17.2,18.8,14.6,12.0,79.6
2019 Aug,19.6,5.7,15.1,17.4,18.3,14.6,11.3,80.4
2019 Sep,19.1,5.6,14.8,15.8,18.7,15.4,10.3,78.7
2019 Oct,19.3,5.4,15.4,16.3,18.6,16.7,11.1,79.2
2019 Nov,18.7,5.3,14.1,13.8,18.2,13.3,11.1,79.9
2019 Dec,19.9,5.5,16.2,17.5,18.1,17.3,13.0,80.5
2020 Jan,19.4,5.3,15.0,16.4,18.1,13.8,12.0,83.1
2020 Feb,19.7,5.4,16.1,17.3,20.5,14.1,12.7,81.7
2020 Mar,22.9,5.7,22.8,25.5,27.8,22.1,17.4,85.6
2020 Apr,31.7,9.4,46.0,38.4,50.3,58.4,42.9,79.1
2020 May,34.3,11.3,43.0,33.1,50.3,47.1,45.0,79.6
2020 Jun,32.6,11.1,34.7,39.6,40.8,32.8,28.5,80.5
2020 Jul,29.9,10.9,27.5,31.0,31.1,25.0,24.7,81.4
2020 Aug,29.2,10.7,26.6,31.1,29.4,25.3,22.7,82.7
2020 Sep,28.3,10.3,25.1,31.4,28.2,23.2,20.4,83.4
2020 Oct,29.7,10.6,26.4,31.8,30.1,25.6,21.1,84.6
2020 Nov,32.2,10.6,33.2,34.3,42.6,30.4,28.6,83.7
2020 Dec,29.1,10.3,27.2,34.0,33.4,20.5,23.4,78.1
2021 Jan,36.2,12.4,39.6,35.1,50.4,38.0,37.0,89.2
2021 Feb,37.5,12.0,43.2,36.7,65.5,39.3,38.7,90.8
2021 Mar,35.7,11.4,39.1,35.4,55.9,36.5,33.8,91.4
2021 Apr,30.5,10.6,27.9,26.2,31.8,29.3,24.8,88.7
2021 May,29.3,10.8,24.6,26.6,28.8,25.9,19.6,89.4
2021 Jun,28.7,10.5,23.9,24.1,30.0,25.8,18.2,90.0
2021 Jul,29.0,10.7,24.5,27.2,30.0,24.8,18.7,91.4
2021 Aug,29.5,10.6,24.2,25.2,29.4,24.6,19.5,95.4
2021 Sep,29.6,10.5,23.9,24.7,28.2,25.2,19.4,96.5
2021 Oct,29.1,10.2,23.8,25.0,28.5,25.0,18.8,97.6
2021 Nov,28.2,9.7,22.6,23.9,27.1,23.3,17.9,93.6
2021 Dec,28.1,9.6,23.3,23.8,29.1,22.4,19.3,85.6
2022 Jan,28.7,9.7,23.3,23.9,28.8,22.1,19.8,90.9
2022 Feb,28.1,9.5,23.2,23.5,27.7,21.9,20.3,90.1
2022 Mar,26.4,9.4,22.0,23.2,26.5,22.4,17.9,88.4
2022 Apr,27.5,9.3,22.7,23.0,27.0,24.2,18.2,90.1
2022 May,26.6,9.2,22.3,22.6,25.2,24.4,18.4,87.3
2022 Jun,26.2,8.9,22.4,22.7,25.8,25.0,18.1,87.7
2022 Jul,26.0,8.9,22.5,22.8,25.7,25.5,17.9,87.3
2022 Aug,26.2,8.8,22.9,23.8,26.2,23.6,19.4,87.8
2022 Sep,26.4,8.8,22.8,24.3,25.9,22.7,19.3,89.9
2022 Oct,26.2,9.2,22.2,24.1,24.8,22.7,18.6,90.3
2022 Nov,25.8,9.2,21.8,23.6,24.6,22.5,18.1,90.3
2022 Dec,25.4,9.2,22.3,23.1,24.2,26.7,17.4,84.8
2023 Jan,25.9,8.9,22.5,22.6,26.6,23.6,18.0,88.5
2023 Feb,26.0,8.9,22.3,22.1,25.8,25.0,17.7,89.8
2023 Mar,26.4,8.8,23.0,22.2,26.7,26.2,18.4,89.8
2023 Apr,26.5,9.1,22.9,21.6,27.2,26.0,18.2,91.2
2023 May,26.6,9.1,23.6,21.4,28.5,26.9,18.4,89.8
2023 Jun,26.4,8.9,23.6,21.1,27.7,27.9,18.8,89.8
2023 Jul,27.4,9.2,23.9,20.6,28.3,27.6,19.7,92.1
2023 Aug,27.1,9.2,23.8,21.6,28.1,27.9,18.9,90.4
2023 Sep,26.9,9.3,24.0,22.4,27.4,28.3,19.2,90.4
2023 Oct,26.8,9.1,23.8,22.6,27.5,28.0,18.8,90.1
2023 Nov,26.8,9.2,23.8,22.5,26.9,26.9,20.2,89.5
2023 Dec,27.4,9.3,23.9,22.9,26.8,28.0,19.5,92.0
2024 Jan,25.8,8.8,22.7,22.3,26.2,25.8,18.5,87.5
2024 Feb,26.1,8.8,22.5,22.0,25.8,24.6,18.8,89.7
2024 Mar,26.4,9.0,22.7,22.4,26.5,24.5,18.9,89.9
2024 Apr,26.8,9.0,24.1,23.3,28.5,24.9,20.7,87.4
2024 May,27.6,9.2,24.5,24.1,28.4,24.7,21.4,90.4
2024 Jun,27.5,9.0,24.6,22.3,27.3,25.5,23.1,89.2
2024 Jul,27.9,9.0,24.5,23.4,27.1,24.9,22.9,91.6
2024 Aug,27.5,9.0,24.8,24.3,27.9,25.4,22.2,90.0
2024 Sep,27.7,9.2,25.3,24.0,28.0,26.2,23.3,88.7
