INTERNET - INTERNET RETAIL SALES (Non-seasonally adjusted),,,
This worksheet contains one table,,,
Source: Retails Sales Index,,,
Time Period,Average weekly value for all retailing (£ million),Average weekly value for Internet retail sales (£ million),Internet sales as a percentage of total retail sales (%)
Dataset identifier code,JE4W,JE2J,J4MC
,,,
2018 Jan,6366.1,1126.9,17.7
2018 Feb,6517.4,1093.9,16.8
2018 Mar,6797.7,1175.7,17.3
2018 Apr,6860.4,1178.2,17.2
2018 May,7207.4,1264.2,17.5
2018 Jun,7125.6,1248.2,17.5
2018 Jul,7304.7,1246.2,17.1
2018 Aug,7128.3,1192.9,16.7
2018 Sep,7075.9,1219.0,17.2
2018 Oct,7379.4,1332.9,18.1
2018 Nov,8424.6,1816.9,21.6
2018 Dec,9390.8,1854.6,19.7
2019 Jan,6610.8,1278.7,19.3
2019 Feb,6799.6,1243.2,18.3
2019 Mar,7105.0,1345.2,18.9
2019 Apr,7339.9,1348.1,18.4
2019 May,7350.1,1378.3,18.8
2019 Jun,7414.5,1353.8,18.3
2019 Jul,7608.2,1423.8,18.7
2019 Aug,7336.6,1331.0,18.1
2019 Sep,7300.9,1321.8,18.1
2019 Oct,7607.6,1450.4,19.1
2019 Nov,8389.1,1809.4,21.6
2019 Dec,9693.8,2077.4,21.4
2020 Jan,6858.0,1388.6,20.2
2020 Feb,6945.0,1324.1,19.1
2020 Mar,6905.1,1528.3,22.1
2020 Apr,5970.4,1809.4,30.3
2020 May,6711.1,2199.1,32.8
2020 Jun,7536.9,2358.0,31.3
2020 Jul,7826.0,2215.1,28.3
2020 Aug,7647.9,2065.0,27.0
2020 Sep,7713.4,2058.0,26.7
2020 Oct,8261.8,2393.7,29.0
2020 Nov,9004.0,3349.2,37.2
2020 Dec,9677.2,3025.4,31.3
2021 Jan,6703.1,2532.7,37.8
2021 Feb,6893.7,2514.4,36.5
2021 Mar,7528.4,2592.2,34.4
2021 Apr,8056.6,2425.9,30.1
2021 May,8140.7,2317.2,28.5
2021 Jun,8187.1,2286.2,27.9
2021 Jul,8045.2,2249.0,28.0
2021 Aug,7805.7,2159.8,27.7
2021 Sep,7748.0,2196.4,28.3
2021 Oct,8337.1,2406.9,28.9
2021 Nov,9460.4,3102.4,32.8
2021 Dec,10046.7,3065.3,30.5
2022 Jan,7537.0,2271.4,30.1
2022 Feb,7630.3,2127.1,27.9
2022 Mar,7957.9,2094.2,26.3
2022 Apr,8226.1,2179.0,26.5
2022 May,8254.1,2125.1,25.7
2022 Jun,8269.0,2083.5,25.2
2022 Jul,8467.8,2108.2,24.9
2022 Aug,8065.8,1967.6,24.4
2022 Sep,7990.2,2016.2,25.2
2022 Oct,8627.3,2233.3,25.9
2022 Nov,9699.1,2899.4,29.9
2022 Dec,10491.9,2838.1,27.1
2023 Jan,7766.0,2120.8,27.3
2023 Feb,8081.1,2082.4,25.8
2023 Mar,8363.3,2184.7,26.1
2023 Apr,8708.3,2244.0,25.8
2023 May,8870.8,2280.8,25.7
2023 Jun,8830.6,2241.1,25.4
2023 Jul,8840.0,2328.9,26.3
2023 Aug,8579.3,2173.9,25.3
2023 Sep,8417.9,2181.7,25.9
2023 Oct,8974.5,2392.3,26.7
2023 Nov,10249.0,3201.6,31.2
2023 Dec,10620.5,2979.1,28.1
2024 Jan,8061.2,2199.1,27.3
2024 Feb,8307.8,2151.4,25.9
2024 Mar,8677.5,2236.6,25.8
2024 Apr,8487.6,2234.6,26.3
2024 May,9067.5,2416.3,26.6
2024 Jun,8784.4,2305.5,26.2
2024 Jul,9063.0,2429.7,26.8
2024 Aug,8778.8,2263.0,25.8
2024 Sep,8720.0,2337.3,26.8
