KPSA - RETAIL SALES INDEX: CHAINED VOLUME OF RETAIL SALES SEASONALLY ADJUSTED,,,,,,,,,,
This worksheet contains two tables presented vertically with one above the other and a blank row between the two tables,,,,,,,,,,
Source: Retails Sales Index,,,,,,,,,,
Index 2022=100,,,,,,,,,,
Some cells in this table are empty because data was not collected for these variables at these time points. ,,,,,,,,,,
Index numbers of sales per week,,,,,,,,,,
Time Period,All retailing including automotive fuel [note1],All retailing excluding automotive fuel [Note 1],Predominantly food stores,Total of predominantly non-food stores [Note 2],Non-specialised stores [Note 2],"Textile, clothing and footwear stores [Note 2]",Household goods stores [Note 2],Other stores [Note 2],Non-store retailing,Predominantly automotive fuel [Note 1]
Agg/SIC,Agg 21,Agg 21X,Agg 1,Agg 12,47.19,Agg 5,Agg 7,Agg 13,Agg 14,47.30
Dataset identifier code,J5EK,J467,EAPT,EAPV,EAPU,EAPX,EAPY,EAPW,J5DZ,JO5A
,,,,,,,,,,
2018 Jan,96.0,95.2,98.3,100.3,111.7,99.3,104.8,91.9,70.6,103.8
2018 Feb,96.4,95.5,99.5,99.4,110.6,99.0,106.1,89.5,72.4,104.8
2018 Mar,94.7,94.2,98.3,98.3,110.2,96.5,106.6,88.4,70.0,99.7
2018 Apr,96.3,95.6,99.4,99.9,108.3,99.4,106.9,91.5,72.0,102.4
2018 May,98.1,97.4,101.1,101.0,112.1,101.0,107.9,90.8,75.8,105.0
2018 Jun,97.8,97.0,101.2,100.4,112.8,101.2,106.2,89.3,75.2,104.6
2018 Jul,98.7,98.2,101.8,101.4,111.6,103.3,106.5,91.0,78.0,103.9
2018 Aug,99.0,98.5,100.9,102.6,112.1,100.9,110.4,94.2,79.4,103.2
2018 Sep,98.6,98.0,100.0,102.4,110.8,101.5,111.4,93.3,79.1,103.7
2018 Oct,98.2,97.7,100.4,101.6,109.6,101.6,110.0,92.3,78.3,102.1
2018 Nov,99.5,98.7,101.0,103.0,110.5,102.2,110.3,95.0,79.7,106.1
2018 Dec,100.2,99.3,101.4,104.0,113.8,104.5,112.3,93.3,78.9,109.1
2019 Jan,99.9,98.9,102.0,102.1,111.4,103.3,104.7,94.1,80.6,109.3
2019 Feb,100.1,98.9,100.9,102.4,110.4,103.0,104.6,95.8,83.0,111.3
2019 Mar,100.7,99.6,101.1,103.3,108.5,104.5,106.1,97.5,84.2,110.7
2019 Apr,100.9,99.8,101.6,102.9,108.3,107.0,103.1,96.2,85.1,111.1
2019 May,99.8,98.8,101.2,101.3,108.7,100.6,104.4,95.7,84.9,108.9
2019 Jun,101.4,100.4,101.4,104.2,109.7,104.3,107.0,99.3,85.8,110.9
2019 Jul,102.2,101.3,101.8,103.2,110.1,104.9,103.6,97.4,94.0,110.9
2019 Aug,101.7,100.8,101.9,103.0,109.5,104.8,104.5,96.7,90.9,109.9
2019 Sep,101.5,100.6,102.1,102.7,106.9,104.8,107.2,95.8,90.2,109.2
2019 Oct,101.2,100.2,102.2,102.1,109.0,103.6,105.0,95.1,88.9,110.0
2019 Nov,100.9,100.0,101.8,102.4,108.3,100.7,111.6,95.0,87.7,109.1
2019 Dec,100.4,99.1,100.6,101.5,109.9,102.9,101.5,95.4,87.3,112.5
2020 Jan,100.9,100.3,102.1,103.0,109.7,105.5,104.4,96.2,86.7,107.1
2020 Feb,100.0,99.2,101.5,101.1,107.1,103.8,104.4,93.5,86.7,107.4
2020 Mar,94.7,95.5,110.9,82.3,108.7,67.2,94.8,73.3,90.7,87.2
2020 Apr,78.0,81.6,107.5,47.8,81.0,33.4,50.7,39.8,108.5,43.1
2020 May,87.9,90.8,108.6,59.4,94.0,39.4,71.8,50.1,133.5,59.9
2020 Jun,99.8,102.3,108.0,86.4,101.8,68.4,107.6,80.9,133.7,76.0
2020 Jul,103.9,105.1,104.8,97.5,102.3,80.5,116.4,98.0,128.9,91.7
2020 Aug,105.2,106.1,105.9,100.4,104.7,90.0,118.0,96.5,124.2,96.4
2020 Sep,106.8,107.8,106.8,103.9,106.9,91.7,120.0,102.9,122.6,97.4
2020 Oct,107.6,108.7,105.7,104.7,108.6,90.1,123.7,103.8,129.2,97.5
2020 Nov,102.6,104.8,108.3,93.4,107.6,70.2,118.9,90.4,128.5,81.5
2020 Dec,104.5,106.8,104.9,100.9,105.5,87.1,119.7,98.9,130.3,81.7
2021 Jan,95.3,96.8,107.4,76.1,91.8,56.1,93.9,73.8,128.4,80.9
2021 Feb,96.7,98.5,108.7,78.7,103.4,52.8,107.8,70.1,128.5,79.0
