"4M - VALUE OF RETAIL SALES AT CURRENT PRICES NON-SEASONALLY ADJUSTED, Index numbers of sales per week and percentage increase on a year earlier, SIC 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains two tables presented vertically with one above the other and a blank row between the two tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Retails Sales Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index 2022=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The monthly period consists of 4 weeks except for March, June, September and December which are 5 weeks. January 2020 is also a 5 week period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells in this table are empty because data was not collected for these variables at these time points.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index number of sales per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,"All Retailing, Including Automotive Fuel, All Businesses","All Retailing, Including Automotive Fuel, Large Businesses","All Retailing, Including Automotive Fuel, Small Businesses","All Retailing, Excluding Automotive Fuel, All Businesses","All Retailing, Excluding Automotive Fuel, Large Businesses","All Retailing, Excluding Automotive Fuel, Small Businesses","Predominantly Food Stores, All Businesses","Predominantly Food Stores, Large Businesses","Predominantly Food Stores, Small Businesses","Non-specialised Food Stores, All Businesses","Non-specialised Food Stores, Large Businesses","Non-specialised Food Stores, Small Businesses",Specialist Food Stores,"Alcoholic Drinks, Other Beverages and Tobacco","Predominantly Non-food Stores, All Businesses","Predominantly Non-food Stores, Large Businesses","Predominantly Non-food Stores, Small Businesses","Non-Specialised Predominantly Non-Food Stores, All Businesses","Non-Specialised Predominantly Non-Food Stores, Large Businesses","Non-Specialised Predominantly Non-Food Stores, Small Businesses","Textile, Clothing, Footwear and Leather, All Businesses","Textile, Clothing, Footwear and Leather, Large Businesses","Textile, Clothing, Footwear and Leather, Small Businesses",Textiles,"Clothing, All Businesses","Clothing, Large Businesses","Clothing, Small Businesses",Footwear and Leather Goods,"Household Goods Stores, All Businesses","Household Goods Stores, Large Businesses","Household Goods Stores, Small Businesses","Furniture, Lighting etc",Electrical Household Appliances,"Hardware, Paints and Glass",Music and video recordings and equipment,"Other Specialised Non-food Stores, All Businesses","Other Specialised Non-food Stores, Large Businesses","Other Specialised Non-food Stores, Small Businesses","Pharmaceutical, Medical, Cosmetic & Toilet Goods","Books, Newspapers & Periodicals",Floor Coverings,Computers & Telecomms Equipment,Other Retail Sales in Specialised Stores NEC,"Non-store Retail, All Businesses","Non-store Retail, Large Businesses","Non-store Retail, Small Businesses",Mail Order,Other Non-store Retail,Automotive Fuel
Sales in 2022,"(£494,298m)","(£385,221m)","(£109,077m)","(£439,575m)","(£339,305m)","(£100,270m)","(£185,685m)","(£158,854m)","(£26,831m)","(£170,869m)","(£154,694m)","(£16,175m)","(£11,170m)","(£3,646m)","(£189,472m)","(£136,890m)","(£52,582m)","(£35,127m)","(£31,739m)","(£3,388m)","(£52,451m)","(£44,697m)","(£7,755m)","(£1,022m)","(£45,886m)","(£40,309m)","(£5,578m)","(£5,543m)","(£37,660m)","(£25,412m)","(£12,249m)","(£16,530m)","(£6,950m)","(£13,401m)",(£779m),"(£64,233m)","(£35,042m)","(£29,191m)","(£8,638m)","(£3,340m)","(£2,747m)","(£4,051m)","(£45,458m)","(£64,417m)","(£43,561m)","(£20,857m)","(£61,247m)","(£3,171m)","(£54,723m)"
Dataset identifier code,J5AH,J5AI,J5AJ,J43S,J43T,J43U,EAFS,EAGK,EAGL,EAGB,EAGC,EAGD,CY3X,CY45,EAFT,EAGM,EAGN,EAGE,EAGF,EAGG,EAFU,EAGO,EAGP,EAPG,EAGH,EAGI,EAGJ,EAPH,EAFV,EAGQ,EAGR,EAPI,J43J,EAPK,JOF2,EAFW,EAGS,EAGT,EAPQ,JKO6,EAPM,JJ8J,CY4B,J596,J597,J598,EAPN,EAPO,J43H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Jan,74.7,75.5,72.1,75.3,76.3,71.9,78.4,80.0,68.9,79.8,80.3,75.0,62.0,61.5,78.9,80.5,74.8,89.3,92.0,64.5,76.8,78.8,65.1,70.6,76.6,78.3,64.3,79.4,88.3,85.0,95.2,93.9,103.4,71.4,126.2,69.5,68.9,70.1,63.6,98.5,62.7,119.7,64.4,55.9,49.9,68.3,55.6,60.8,70.2
2018 Feb,76.9,77.3,75.8,77.1,77.5,75.7,83.0,84.9,72.0,84.4,85.2,76.6,65.1,71.4,77.7,77.3,78.6,82.9,84.8,65.7,73.0,74.9,61.8,66.1,73.8,75.3,63.1,67.0,87.2,85.4,91.0,92.3,82.5,82.1,109.6,73.0,67.9,79.3,68.1,99.3,66.5,101.4,69.9,58.4,51.3,73.2,57.4,77.7,75.7
2018 Mar,79.4,80.3,76.5,80.4,81.5,76.8,87.1,88.8,76.6,88.2,89.3,77.3,72.4,81.7,81.0,81.8,78.9,88.4,90.8,65.8,79.5,81.3,69.5,70.3,81.1,82.1,73.9,68.1,87.2,87.0,87.8,83.4,86.5,90.5,118.4,74.6,70.8,79.2,68.8,104.8,63.6,98.5,72.0,59.4,53.5,71.7,58.1,83.8,71.5
2018 Apr,80.6,80.4,81.2,81.2,81.1,81.2,83.9,84.8,78.7,84.5,85.1,78.9,76.5,79.5,85.5,85.3,86.0,87.2,90.3,58.3,84.5,86.2,74.5,70.5,85.6,85.9,83.2,78.1,93.0,93.0,93.2,85.1,85.1,106.0,108.5,81.1,74.2,89.3,70.6,102.2,63.4,100.1,80.9,60.2,54.5,72.3,59.7,69.8,76.0
2018 May,84.8,85.2,83.6,85.3,85.9,83.2,89.7,90.5,84.7,90.2,90.9,83.9,79.8,92.1,88.3,89.4,85.3,93.1,96.8,59.0,90.6,92.8,78.4,68.9,92.2,92.9,87.2,81.9,91.9,90.9,94.0,84.7,77.9,107.8,95.8,81.5,77.4,86.5,73.3,94.8,69.8,91.7,81.9,63.7,57.8,76.2,63.4,70.1,81.5
2018 Jun,84.0,85.0,80.5,84.3,85.6,79.9,88.5,89.8,80.7,89.5,90.2,82.4,73.9,88.0,87.6,89.8,81.9,95.8,99.3,62.4,92.8,95.5,77.5,66.4,94.2,95.2,86.7,86.3,88.0,87.0,90.1,79.7,81.7,100.5,107.3,78.6,75.8,81.9,75.0,94.0,70.4,88.9,77.7,62.4,56.9,73.9,61.8,73.9,81.4
