5.16   United Kingdom shipping industry: international revenue and expenditure: 1997 - 2022,,,,,,,,,,,,,,,,,,,,,
This worksheet contains two tables presented underneath each other vertically with one blank row between each table.,,,,,,,,,,,,,,,,,,,,,
All tables in this worksheet are in pounds million.,,,,,,,,,,,,,,,,,,,,,
"Table 5.16A, Revenue (£ million)",,,,,,,,,,,,,,,,,,,,,
Time period,Dry cargo and passenger vessels (including ferries): Freight on: Imports,Dry cargo and passenger vessels (including ferries) Freight on: Exports,Dry cargo and passenger vessels (including ferries): Freight on: Cross-trades,Dry cargo and passenger vessels (including ferries): Total freight revenue,Dry cargo and passenger vessels (including ferries): Charter receipts,Dry cargo and passenger vessels (including ferries): Passenger revenue,Dry cargo and passenger vessels (including ferries): Total revenue,Wet (tankers and liquefied gas carriers): Freight on: Imports,Wet (tankers and liquefied gas carriers): Freight on: Exports,Wet (tankers and liquefied gas carriers): Freight on: Cross-trades,Wet (tankers and liquefied gas carriers): Total freight revenue,Wet (tankers and liquefied gas carriers): Charter receipts,Wet (tankers and liquefied gas carriers): Total revenue,All vessels: Freight on: Imports,All vessels: Freight on: Exports,All vessels: Freight on: Cross-trades,All vessels: Total freight revenue,All vessels: Charter receipts,All vessels: Passenger revenue,All vessels: Total revenue,
CDID,HCJO,HECV,HDVI,N/A,N/A,FJAL,N/A,HCNJ,HEIX,HECX,N/A,FJAP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2018,471,334,390,"1,195",641,"1,320","3,156",354,44,"1,418","1,816",646,"2,462",825,378,"1,808","3,011","1,287","1,320","5,618",
2019,553,304,463,"1,320",590,"1,243","3,153",605,79,"2,483","3,167","1,083","4,250","1,158",383,"2,946","4,487","1,673","1,243","7,403",
2020,481,253,525,"1,259","1,358",138,"2,755",618,133,"3,176","3,927","2,022","5,949","1,099",386,"3,701","5,186","3,380",138,"8,704",
2021,"1,483",203,252,"1,938","1,045",104,"3,087",333,30,"3,483","3,846",687,"4,533","1,816",233,"3,735","5,784","1,732",104,"7,620",
2022,"2,524",201,249,"2,974","1,032",104,"4,110","1,134",30,"3,445","4,609",679,"5,288","3,658",231,"3,694","7,583","1,711",104,"9,398",
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 5.16B, Expenditure (£ million)",,,,,,,,,,,,,,,,,,,,,
Time period,Dry cargo operations: Bunkers,Dry cargo operations: Other disbursements,Dry cargo operations: Charter payments,Dry cargo operations: Total expenditure,Wet cargo operations: Bunkers,Wet cargo operations: Other disbursements,Wet cargo operations: Charter payments,Wet cargo operations: Total expenditure,All cargo operations: Bunkers,All cargo operations: Other disbursements,All cargo operations: Charter payments,All cargo operations: Total expenditure,,,,,,,,,
CDID,N/A,N/A,FJBS,N/A,N/A,N/A,FJBT,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2017,225,875,130,"1,230",452,406,645,"1,503",677,"1,281",775,"2,733",,,,,,,,,
2018,363,"1,074",67,"1,504",766,441,805,"2,012","1,129","1,515",872,"3,516",,,,,,,,,
2019,401,985,103,"1,489",890,621,"1,288","2,799","1,291","1,606","1,391","4,288",,,,,,,,,
2020,361,834,42,"1,237",931,745,"1,607","3,283","1,292","1,579","1,649","4,520",,,,,,,,,
2021,182,529,31,742,896,604,"1,212","2,712","1,078","1,133","1,243","3,454",,,,,,,,,
2022,352,598,31,981,"1,205",553,"1,216","2,974","1,557","1,151","1,247","3,955",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
