,,,,,,,
Month,Number of Bicycle Hires,,Month,Average Hire Time (mins),,Day,Number of Bicycle Hires
Jan 18,"645,901",,Jan 18,16,,01/01/2018,"10,235"
Feb 18,"576,425",,Feb 18,16,,02/01/2018,"14,394"
Mar 18,"604,921",,Mar 18,17,,03/01/2018,"20,265"
Apr 18,"824,737",,Apr 18,20,,04/01/2018,"17,543"
May 18,"1,112,686",,May 18,22,,05/01/2018,"21,759"
Jun 18,"1,181,642",,Jun 18,22,,06/01/2018,"13,920"
Jul 18,"1,253,102",,Jul 18,23,,07/01/2018,"12,259"
Aug 18,"1,058,181",,Aug 18,22,,08/01/2018,"23,374"
Sep 18,"1,008,201",,Sep 18,19,,09/01/2018,"24,683"
Oct 18,"978,290",,Oct 18,18,,10/01/2018,"26,787"
Nov 18,"738,024",,Nov 18,16,,11/01/2018,"25,222"
Dec 18,"585,430",,Dec 18,18,,12/01/2018,"24,696"
Jan 19,"685,798",,Jan 19,18,,13/01/2018,"17,512"
Feb 19,"698,917",,Feb 19,20,,14/01/2018,"15,070"
Mar 19,"792,272",,Mar 19,17,,15/01/2018,"19,161"
Apr 19,"890,148",,Apr 19,17,,16/01/2018,"26,921"
May 19,"1,006,547",,May 19,19,,17/01/2018,"26,934"
Jun 19,"1,006,434",,Jun 19,22,,18/01/2018,"26,471"
Jul 19,"1,152,150",,Jul 19,21,,19/01/2018,"25,799"
Aug 19,"1,053,921",,Aug 19,22,,20/01/2018,"9,398"
Sep 19,"965,581",,Sep 19,19,,21/01/2018,"5,859"
Oct 19,"851,999",,Oct 19,17,,22/01/2018,"26,337"
Nov 19,"729,111",,Nov 19,15,,23/01/2018,"26,003"
Dec 19,"592,077",,Dec 19,17,,24/01/2018,"20,206"
Jan 20,"709,673",,Jan 20,16,,25/01/2018,"28,189"
Feb 20,"641,128",,Feb 20,19,,26/01/2018,"26,430"
Mar 20,"553,648",,Mar 20,19,,27/01/2018,"14,472"
Apr 20,"591,294",,Apr 20,36,,28/01/2018,"17,512"
May 20,"1,121,435",,May 20,35,,29/01/2018,"26,371"
Jun 20,"1,158,560",,Jun 20,32,,30/01/2018,"28,002"
Jul 20,"1,170,060",,Jul 20,26,,31/01/2018,"24,117"
Aug 20,"1,153,276",,Aug 20,24,,01/02/2018,"25,525"
Sep 20,"1,137,524",,Sep 20,23,,02/02/2018,"25,331"
Oct 20,"848,233",,Oct 20,19,,03/02/2018,"8,975"
Nov 20,"760,245",,Nov 20,23,,04/02/2018,"13,833"
Dec 20,"589,091",,Dec 20,17,,05/02/2018,"23,898"
Jan 21,"409,887",,Jan 21,17,,06/02/2018,"25,349"
Feb 21,"511,046",,Feb 21,21,,07/02/2018,"25,388"
Mar 21,"748,511",,Mar 21,26,,08/02/2018,"25,791"
Apr 21,"943,760",,Apr 21,25,,09/02/2018,"21,037"
May 21,"921,988",,May 21,22,,10/02/2018,"9,956"
Jun 21,"1,183,634",,Jun 21,21,,11/02/2018,"14,621"
Jul 21,"1,168,166",,Jul 21,21,,12/02/2018,"24,719"
Aug 21,"1,111,134",,Aug 21,22,,13/02/2018,"20,931"
Sep 21,"1,220,318",,Sep 21,20,,14/02/2018,"18,866"
Oct 21,"1,110,571",,Oct 21,18,,15/02/2018,"25,264"
Nov 21,"945,047",,Nov 21,16,,16/02/2018,"25,411"
Dec 21,"667,202",,Dec 21,18,,17/02/2018,"23,169"
Jan 22,"748,502",,Jan 22,17,,18/02/2018,"18,624"
Feb 22,"749,898",,Feb 22,17,,19/02/2018,"19,879"
Mar 22,"1,056,720",,Mar 22,19,,20/02/2018,"25,055"
Apr 22,"1,031,077",,Apr 22,21,,21/02/2018,"26,434"
May 22,"1,201,054",,May 22,20,,22/02/2018,"26,179"
Jun 22,"1,280,180",,Jun 22,22,,23/02/2018,"23,067"
Jul 22,"1,315,801",,Jul 22,21,,24/02/2018,"16,522"
Aug 22,"1,259,932",,Aug 22,21,,25/02/2018,"14,037"
Sep 22,"800,950",,Sep 22,18,,26/02/2018,"19,204"
Oct 22,"864,369",,Oct 22,18,,27/02/2018,"18,741"
Nov 22,"725,556",,Nov 22,17,,28/02/2018,"10,619"
Dec 22,"471,833",,Dec 22,16,,01/03/2018,"8,744"
Jan 23,"571,133",,Jan 23,16,,02/03/2018,"8,234"
Feb 23,"613,325",,Feb 23,17,,03/03/2018,"7,924"
Mar 23,"630,605",,Mar 23,19,,04/03/2018,"10,853"
Apr 23,"646,899",,Apr 23,19,,05/03/2018,"24,818"
May 23,"821,433",,May 23,20,,06/03/2018,"26,301"
Jun 23,"884,730",,Jun 23,20,,07/03/2018,"22,044"
Jul 23,"808,688",,Jul 23,20,,08/03/2018,"25,967"
Aug 23,"778,336",,Aug 23,21,,09/03/2018,"18,912"
Sep 23,"847,108",,Sep 23,19,,10/03/2018,"18,717"
Oct 23,"789,807",,Oct 23,17,,11/03/2018,"16,259"
Nov 23,"664,981",,Nov 23,15,,12/03/2018,"19,996"
Dec 23,"474,123",,Dec 23,16,,13/03/2018,"28,069"
Jan 24,"558,837",,Jan 24,15,,14/03/2018,"28,769"
Feb 24,"568,039",,Feb 24,15,,15/03/2018,"25,318"
Mar 24,"647,372",,Mar 24,16,,16/03/2018,"28,308"
,,,Apr 24,16,,17/03/2018,"8,106"
,,,May 24,18,,18/03/2018,"6,624"
,,,,,,19/03/2018,"20,488"
,,,,,,20/03/2018,"24,582"
,,,,,,21/03/2018,"27,719"
,,,,,,22/03/2018,"27,228"
,,,,,,23/03/2018,"26,894"
,,,,,,24/03/2018,"18,804"
,,,,,,25/03/2018,"19,723"
,,,,,,26/03/2018,"29,486"
,,,,,,27/03/2018,"22,603"
,,,,,,28/03/2018,"15,800"
,,,,,,29/03/2018,"20,237"
,,,,,,30/03/2018,"6,362"
,,,,,,31/03/2018,"11,032"
,,,,,,01/04/2018,"13,504"
,,,,,,02/04/2018,"7,998"
,,,,,,03/04/2018,"22,708"
,,,,,,04/04/2018,"23,173"
,,,,,,05/04/2018,"30,508"
,,,,,,06/04/2018,"30,690"
,,,,,,07/04/2018,"25,909"
,,,,,,08/04/2018,"9,759"
,,,,,,09/04/2018,"16,324"
,,,,,,10/04/2018,"26,751"
,,,,,,11/04/2018,"24,883"
,,,,,,12/04/2018,"26,473"
,,,,,,13/04/2018,"27,363"
,,,,,,14/04/2018,"34,235"
,,,,,,15/04/2018,"21,324"
,,,,,,16/04/2018,"30,730"
,,,,,,17/04/2018,"33,025"
,,,,,,18/04/2018,"40,544"
,,,,,,19/04/2018,"43,585"
,,,,,,20/04/2018,"45,048"
,,,,,,21/04/2018,"42,328"
,,,,,,22/04/2018,"38,395"
,,,,,,23/04/2018,"35,940"
,,,,,,24/04/2018,"33,430"
,,,,,,25/04/2018,"33,426"
,,,,,,26/04/2018,"34,995"
,,,,,,27/04/2018,"21,387"
,,,,,,28/04/2018,"17,368"
,,,,,,29/04/2018,"15,822"
,,,,,,30/04/2018,"17,112"
,,,,,,01/05/2018,"34,598"
,,,,,,02/05/2018,"23,727"
,,,,,,03/05/2018,"35,477"
,,,,,,04/05/2018,"36,447"
,,,,,,05/05/2018,"39,070"
,,,,,,06/05/2018,"40,606"
,,,,,,07/05/2018,"45,435"
,,,,,,08/05/2018,"41,579"
,,,,,,09/05/2018,"41,130"
,,,,,,10/05/2018,"38,054"
