"Daily usage of transport by mode: Great Britain, since 1 March 2020 [notes a,b]",,,,,,,,,,,,,
"This worksheet contains 1 table. Notes are used throughout this table, please see the notes tab to find the related notes text.",,,,,,,,,,,,,
All figures are given as a percentage of the baseline equivalent day or week.,,,,,,,,,,,,,
"Annotations in this table: [x] for data not available, [z] for not applicable, [r] for revised data, [p] for provisional data.",,,,,,,,,,,,,
"Date
[note 1]",Weekday,"Cars
[note 2]","Light Commercial Vehicles
[note 2]","Heavy Goods Vehicles
[note 2]","All motor vehicles
[note 2]","National Rail
[notes 3,13, 15, 16, 17, 21, 23]","National Rail excluding Elizabeth Line [note 13, 21]","Transport for London Tube
[note 4, 20]","Transport for London Bus
[notes 4,7, 20]","Bus (excluding London)
[notes 5,11]","Cycling
[notes 6,12,18]",Revised,Notes by day
01-Mar-2020,Sun,103%,111%,108%,104%,95%,95%,103%,102%,[x],[x],[z],[note 11]
02-Mar-2020,Mon,102%,106%,103%,103%,95%,95%,93%,97%,[x],[x],[z],[note 11]
03-Mar-2020,Tue,101%,105%,102%,102%,95%,95%,94%,96%,[x],[x],[z],[note 11]
04-Mar-2020,Wed,101%,104%,103%,101%,96%,96%,93%,97%,[x],[x],[z],[note 11]
05-Mar-2020,Thu,100%,103%,102%,100%,96%,96%,90%,92%,[x],[x],[z],[note 11]
06-Mar-2020,Fri,102%,103%,102%,102%,99%,99%,90%,96%,[x],[x],[z],[note 11]
07-Mar-2020,Sat,101%,109%,108%,102%,100%,100%,91%,93%,[x],[x],[z],[note 11]
08-Mar-2020,Sun,105%,113%,112%,106%,99%,99%,85%,95%,[x],89%,[z],[note 11]
09-Mar-2020,Mon,101%,107%,104%,103%,98%,98%,88%,95%,101%,105%,[z],[z]
10-Mar-2020,Tue,99%,105%,103%,101%,97%,97%,86%,97%,102%,82%,[z],[z]
11-Mar-2020,Wed,99%,104%,103%,100%,94%,94%,84%,93%,98%,118%,[z],[z]
12-Mar-2020,Thu,98%,102%,102%,99%,92%,92%,78%,92%,98%,120%,[z],[z]
13-Mar-2020,Fri,98%,100%,102%,98%,90%,90%,71%,88%,94%,99%,[z],[z]
14-Mar-2020,Sat,93%,102%,108%,95%,88%,88%,60%,84%,85%,127%,[z],[z]
15-Mar-2020,Sun,94%,105%,112%,96%,85%,85%,52%,75%,85%,93%,[z],[z]
16-Mar-2020,Mon,96%,103%,104%,98%,81%,81%,58%,79%,88%,104%,[z],[z]
17-Mar-2020,Tue,86%,95%,103%,89%,75%,75%,42%,70%,77%,77%,[z],[z]
18-Mar-2020,Wed,80%,90%,100%,83%,68%,68%,34%,66%,62%,93%,[z],[z]
19-Mar-2020,Thu,79%,88%,100%,82%,62%,61%,28%,59%,58%,91%,[z],[z]
20-Mar-2020,Fri,78%,85%,98%,81%,55%,55%,23%,52%,53%,82%,[z],[z]
21-Mar-2020,Sat,70%,79%,102%,73%,49%,49%,12%,40%,40%,118%,[z],[z]
22-Mar-2020,Sun,66%,73%,101%,69%,47%,46%,11%,32%,35%,126%,[z],[z]
23-Mar-2020,Mon,64%,77%,97%,69%,40%,40%,14%,31%,27%,86%,[z],[z]
24-Mar-2020,Tue,44%,56%,84%,49%,36%,36%,9%,22%,17%,85%,[z],[z]
25-Mar-2020,Wed,37%,47%,77%,42%,30%,30%,7%,19%,14%,128%,[z],[z]
26-Mar-2020,Thu,35%,43%,72%,39%,26%,26%,6%,18%,13%,132%,[z],[z]
27-Mar-2020,Fri,35%,42%,69%,38%,20%,20%,5%,18%,14%,106%,[z],[z]
28-Mar-2020,Sat,27%,34%,71%,30%,19%,19%,4%,17%,12%,125%,[z],[z]
29-Mar-2020,Sun,23%,29%,72%,25%,18%,18%,4%,16%,13%,83%,[z],[z]
30-Mar-2020,Mon,33%,41%,64%,36%,17%,17%,5%,17%,12%,72%,[z],[z]
31-Mar-2020,Tue,32%,40%,62%,36%,16%,16%,5%,17%,12%,96%,[z],[z]
01-Apr-2020,Wed,32%,39%,61%,35%,15%,15%,5%,16%,11%,111%,[z],[z]
