Month,Year,Consumer Confidence Index TX,Consumer Confidence West South Central,Consumer Confidence Index US,PCE Deflator,Consumer Price Index TX,Consumer Price Index U.S.,CPI U.S. Ex Food and Energy,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.,Single Family Building Permits TX,Multi Family Building Permits TX,Existing Single Family Home Sales TX,Existing Single Family Home Price TX,Non Residential Building Construction,Total Sales Tax Collections Retail TX,Total Sales Tax Collections TX,Retail Gasoline Price TX,Retail Diesel Price TX,Nonfarm Employment Illinois,Nonfarm Employment Florida,Nonfarm Employment New York,Nonfarm Employment Texas,Nonfarm Employment California,Gross Value Crude Oil Production,Gross Value Natural Gas Production,Motor Fuel Taxed Gasoline,Motor Fuel Taxed Diesel
JANUARY,2018,151,142.3,124.3,,225.954,247.867,,12.358,147.662,4.1,4,9743,5276,18765,216796,2211.98,964.09,2670.92,2.391,2.813,6080.3,8678.2,9609.1,12356.1,17037,6911.65,2652.83,1156.9,388.8
FEBRUARY,2018,154.7,144.9,130,,227.441,248.991,,12.396,148.064,4,4.1,9447,2747,21961,225000,1938.32,892.04,2609.31,2.402,2.835,6092,8704.3,9638.8,12396.2,17084.8,6308.18,2508.84,1111.2,402.9
MARCH,2018,139.2,129.7,127,,227.746,249.554,,12.433,148.289,4,4,10574,4288,29009,230000,2193.52,901.72,2418.18,2.43,2.796,6110,8725.6,9652.8,12439.5,17093,7188.05,2450.64,1050.1,361
APRIL,2018,141.5,135.4,125.6,,228.152,250.546,,12.451,148.468,4,4,10617,8601,29973,231000,1689.27,962.8,2758.53,2.598,2.897,6086.5,8739.8,9657.4,12450.2,17108.8,7378.44,2466.27,1222.5,416.7
MAY,2018,147.3,141.1,128.8,,230.043,251.588,,12.486,148.801,3.9,3.8,11166,5621,34622,240000,3018.8,1006.4,2755.48,2.742,3.019,6091.7,8753.6,9669.9,12487.1,17125.7,7854.88,2813.01,1176.4,404.1
JUNE,2018,150.7,141.9,127.1,,230.9,251.989,,12.524,148.984,3.9,4,11243,7824,35277,241500,4544.018,992.2,2753.85,2.77,3.022,6101,8774.8,9696.8,12518.6,17168.3,7267.13,2869.73,1242.4,417.8
JULY,2018,142.4,136.3,127.9,,230.489,252.006,,12.548,149.05,3.9,3.8,11022,5558,33582,239458,4607.719,932,2741,2.682,3,6106.8,8789.4,9697.5,12546,17168.9,8163.53,3112.53,1182.6,407.4
AUGUST,2018,145.3,136.7,134.7,,230.003,252.146,,12.581,149.269,3.8,3.8,11182,4068,33882,236000,2345.98,1042.54,2871.69,2.643,2.993,6112.6,8819,9706.7,12579.4,17205.7,7711.87,3178.23,1188.4,390.7
SEPTEMBER,2018,148.5,138.3,135.3,,230.566,252.439,,12.592,149.326,3.8,3.7,9200,4257,26549,230000,1788.158,911.89,2689.32,2.628,3.046,6113.3,8841,9707.2,12588,17242.4,7635.87,3261.28,1228.2,430.6
OCTOBER,2018,152.6,144.7,137.9,,231.524,252.885,,12.617,149.471,3.8,3.8,9315,3582,27098,229900,1825.426,890.53,2632.02,2.643,3.138,6110.6,8847.7,9728.8,12617.4,17269.8,8101.94,3206.79,1131.4,381.6
NOVEMBER,2018,138.8,134,136.4,,230.897,252.038,,12.638,149.573,3.8,3.8,8372,6186,24891,230000,2279.368,1094.93,2978.49,2.384,3.068,6117.5,8858.9,9734.1,12640.3,17280,6931.04,2860.69,1201.8,386.7
DECEMBER,2018,137.5,134.9,126.6,,230.148,251.233,,12.658,149.821,3.8,3.9,7317,7755,25569,235000,2800.687,1194.18,2865.26,2.074,2.907,6112.9,8861,9740.7,12662.2,17309.1,6152.24,3147.62,1177.7,425.9
JANUARY,2019,146.7,146.1,121.7,,230.452,251.712,,12.685,150.1,3.7,4,8760,5404,17913,221450,2932.833,946.07,2868.87,1.977,2.797,6118,8881.3,9752.7,12682.4,17309.7,6228.12,2860.76,1174.6,373.6
FEBRUARY,2019,150.3,143.7,131.4,,230.854,252.776,,12.714,150.124,3.6,3.8,8974,7175,22437,230000,2195.937,922.43,2758.02,2.08,2.803,6110.1,8905.9,9757.6,12713.6,17330.6,6313.85,2421.7,1145,381.8
