Table 1.1 Primary Energy Overview,,,,,,,,,,,,
,,,,,,,,,,,,
Month,Total Fossil Fuels Production,Nuclear Electric Power Production,Total Renewable Energy Production,Total Primary Energy Production,Primary Energy Imports,Primary Energy Exports,Primary Energy Net Imports,Primary Energy Stock Change and Other,Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
,(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu)
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2018 January,5.988844,0.780456,0.652294,7.421594,2.227522,1.572446,0.655075,1.262995,7.911819,0.780456,0.633451,9.339664
2018 February,5.608162,0.67738,0.609263,6.894805,1.860679,1.52459,0.33609,0.518967,6.47658,0.67738,0.583891,7.749862
2018 March,6.262895,0.700826,0.668458,7.632179,2.114327,1.742406,0.371921,0.352487,6.990649,0.700826,0.650088,8.356587
2018 April,5.959792,0.618237,0.656425,7.234454,2.12512,1.791851,0.333269,-0.049356,6.252246,0.618237,0.637965,7.518366
2018 May,6.208032,0.703833,0.680571,7.592436,2.142157,1.774731,0.367426,-0.347797,6.219886,0.703833,0.674364,7.612065
2018 June,6.104516,0.728583,0.668645,7.501744,2.17634,1.762188,0.414152,-0.138163,6.380783,0.728583,0.653769,7.777734
2018 July,6.407404,0.757528,0.647806,7.812738,2.16145,1.863194,0.298256,0.197904,6.904313,0.757528,0.631924,8.308898
2018 August,6.69433,0.755713,0.651821,8.101863,2.191516,1.737064,0.454452,-0.168605,6.97706,0.755713,0.637871,8.38771
2018 September,6.440064,0.676697,0.60058,7.717342,1.998803,1.723356,0.275447,-0.401162,6.322819,0.676697,0.581227,7.591627
2018 October,6.736137,0.620995,0.627834,7.984966,1.981975,1.893627,0.088348,-0.269159,6.564261,0.620995,0.609229,7.804156
2018 November,6.603507,0.668643,0.62307,7.89522,1.895825,1.883561,0.012264,0.317285,6.943583,0.668643,0.603916,8.224769
2018 December,6.784063,0.749177,0.647358,8.180597,1.957559,1.954641,0.002918,0.539829,7.336542,0.749177,0.626794,8.723344
2019 January,6.809837,0.769584,0.644675,8.224096,2.121899,1.910215,0.211685,0.804038,7.838231,0.769584,0.620603,9.239818
2019 February,6.128797,0.675753,0.593023,7.397573,1.700241,1.724712,-0.024471,0.728776,6.835727,0.675753,0.579706,8.101878
2019 March,6.663441,0.679562,0.656855,7.999858,1.924651,1.912069,0.012582,0.352565,7.031288,0.679562,0.645964,8.365006
2019 April,6.653202,0.632586,0.665815,7.951603,1.924807,1.892923,0.031884,-0.681066,6.011698,0.632586,0.649995,7.302421
2019 May,6.876943,0.700904,0.689814,8.267661,2.045868,1.953797,0.092071,-0.791148,6.175787,0.700904,0.681515,7.568584
2019 June,6.607264,0.718461,0.661001,7.986726,1.889378,1.940025,-0.050648,-0.366676,6.189718,0.718461,0.648836,7.569402
2019 July,6.785286,0.753898,0.66684,8.206023,2.020569,1.888848,0.131721,-0.10595,6.811535,0.753898,0.653787,8.231794
2019 August,7.061902,0.750891,0.647495,8.460288,1.97528,1.969309,0.005971,-0.204968,6.86216,0.750891,0.634319,8.261292
2019 September,6.822604,0.689836,0.612975,8.125415,1.789243,1.976907,-0.187664,-0.369901,6.26438,0.689836,0.601634,7.56785
2019 October,7.061891,0.647745,0.63341,8.343045,1.816105,2.087737,-0.271633,-0.437318,6.3538,0.647745,0.625057,7.634095
2019 November,6.884969,0.669598,0.620528,8.175095,1.688425,2.028612,-0.340187,0.269663,6.814014,0.669598,0.608691,8.104571
2019 December,7.048726,0.763034,0.650319,8.462079,1.968761,2.190414,-0.221653,0.406233,7.236205,0.763034,0.633647,8.64666
2020 January,7.089507,0.774776,0.648257,8.51254,1.871493,2.175213,-0.30372,0.442605,7.239648,0.774776,0.626143,8.651425
2020 February,6.466626,0.688502,0.632086,7.787214,1.72719,2.088791,-0.361601,0.595535,6.708676,0.688502,0.614309,8.021148
2020 March,6.825667,0.668515,0.641509,8.135691,1.782154,2.236072,-0.453918,-0.144326,6.245796,0.668515,0.610247,7.537447
2020 April,6.3085,0.61809,0.560555,7.487145,1.507487,1.879794,-0.372307,-0.951489,4.981285,0.61809,0.552905,6.163349
2020 May,5.811258,0.672074,0.618177,7.101509,1.651252,1.693721,-0.04247,-0.625674,5.129622,0.672074,0.619028,6.433366
