,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2023,CA,"8,648,404","25,410,820","5,409,316",34.03,"12,288,502","47,355,728","719,175",25.95,"2,712,602","14,119,949","6,596",19.21,"31,212","382,588",1,8.16,"23,680,719","87,269,085","6,135,088",27.14
2023,CT,"740,944","2,751,862","279,326",26.93,"1,475,751","8,039,529","49,932",18.36,"291,993","1,897,873","1,855",15.39,"8,553","50,925",1,16.80,"2,517,241","12,740,189","331,114",19.76
2023,DC,"94,222","395,747","35,108",23.81,"904,785","5,548,658","8,230",16.31,"19,154","176,489",1,10.85,"29,943","301,384",3,9.94,"1,048,103","6,422,278","43,342",16.32
2023,DE,"52,077","254,649","26,356",20.45,"242,663","2,447,773","10,770",9.91,"53,684","1,017,386",71,5.28,0,0,0,0.00,"348,424","3,719,808","37,197",9.37
2023,IL,"1,762,384","9,975,856","1,171,852",17.67,"3,244,278","30,524,267","239,248",10.63,"2,946,205","35,735,170","2,397",8.24,"27,683","404,383",3,6.85,"7,980,549","76,639,676","1,413,500",10.41
2023,MA,"3,111,969","9,845,483","1,522,458",31.61,"3,804,586","19,449,339","278,263",19.56,"714,897","3,881,942","4,065",18.42,"19,966","279,346",2,7.15,"7,651,418","33,456,110","1,804,788",22.87
2023,MD,"650,802","3,087,578","315,674",21.08,"2,395,265","20,036,267","87,973",11.95,"290,339","3,023,053","3,981",9.60,"45,809","408,065",5,11.23,"3,382,215","26,554,963","407,633",12.74
2023,ME,"121,066","405,958","61,612",29.82,"337,677","2,277,008","27,241",14.83,"257,851","2,109,632",819,12.22,0,0,0,0.00,"716,594","4,792,598","89,672",14.95
2023,MI,27,142,26,19.01,"369,596","3,701,290","5,151",9.99,"348,347","4,855,353",298,7.17,0,0,0,0.00,"717,969","8,556,785","5,475",8.39
2023,MT,1,5,2,14.00,"13,132","134,124",372,9.79,"212,141","2,926,858",36,7.25,0,0,0,0.00,"225,274","3,060,987",410,7.36
2023,NH,"308,524","1,174,047","149,306",26.28,"525,679","2,952,423","40,901",17.80,"264,267","1,736,981","1,557",15.21,0,0,0,0.00,"1,098,470","5,863,451","191,764",18.73
2023,NJ,"369,327","1,615,498","214,418",22.86,"2,780,048","20,065,888","104,396",13.85,"553,395","4,393,653","2,731",12.60,"41,419","322,711",6,12.83,"3,744,189","26,397,750","321,551",14.18
2023,NV,0,0,0,0.00,"340,075","3,864,034",202,8.80,"180,378","2,533,489",9,7.12,0,0,0,0.00,"520,452","6,397,523",211,8.14
2023,NY,"1,314,099","4,670,786","681,905",28.13,"7,275,402","42,708,870","261,425",17.03,"874,288","12,430,585","3,342",7.03,"360,535","2,331,003",4,15.47,"9,824,324","62,141,244","946,676",15.81
2023,OH,"3,316,286","22,408,521","2,404,651",14.80,"3,483,842","35,267,963","359,592",9.88,"2,412,571","37,503,201","10,645",6.43,"1,788","30,264",2,5.91,"9,214,486","95,209,949","2,774,890",9.68
2023,OR,0,0,0,0.00,"99,666","955,877",497,10.43,"205,120","2,073,992",81,9.89,0,0,0,0.00,"304,786","3,029,869",578,10.06
