,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2023,CA,"4,989,257","25,410,820","5,409,316",19.63,"6,533,365","47,355,728","719,175",13.80,"1,284,430","14,119,949","6,596",9.10,"14,178","382,588",1,3.71,"12,821,229","87,269,085","6,135,088",14.69
2023,CT,"365,738","2,751,862","279,326",13.29,"661,371","8,039,529","49,932",8.23,"120,859","1,897,873","1,855",6.37,"2,323","50,925",1,4.56,"1,150,291","12,740,189","331,114",9.03
2023,DC,"22,257","395,747","35,108",5.62,"396,377","5,548,658","8,230",7.14,"3,165","176,489",1,1.79,"13,704","301,384",3,4.55,"435,502","6,422,278","43,342",6.78
2023,DE,"17,568","254,649","26,356",6.90,"68,959","2,447,773","10,770",2.82,"9,245","1,017,386",71,0.91,0,0,0,0.00,"95,771","3,719,808","37,197",2.57
2023,IL,"715,370","9,975,856","1,171,852",7.17,"1,201,051","30,524,267","239,248",3.93,"746,540","35,735,170","2,397",2.09,"8,932","404,383",3,2.21,"2,671,893","76,639,676","1,413,500",3.49
2023,MA,"1,620,171","9,845,483","1,522,458",16.46,"1,540,277","19,449,339","278,263",7.92,"289,098","3,881,942","4,065",7.45,"3,603","279,346",2,1.29,"3,453,148","33,456,110","1,804,788",10.32
2023,MD,"206,252","3,087,578","315,674",6.68,"805,762","20,036,267","87,973",4.02,"69,268","3,023,053","3,981",2.29,"8,657","408,065",5,2.12,"1,089,940","26,554,963","407,633",4.10
2023,ME,"45,960","405,958","61,612",11.32,"137,623","2,277,008","27,241",6.04,"82,702","2,109,632",819,3.92,0,0,0,0.00,"266,285","4,792,598","89,672",5.56
2023,MI,12,142,26,8.73,"107,673","3,701,290","5,151",2.91,"37,675","4,855,353",298,0.78,0,0,0,0.00,"145,360","8,556,785","5,475",1.70
2023,MT,0,5,2,6.00,"4,082","134,124",372,3.04,"15,827","2,926,858",36,0.54,0,0,0,0.00,"19,909","3,060,987",410,0.65
2023,NH,"130,330","1,174,047","149,306",11.10,"237,213","2,952,423","40,901",8.03,"107,136","1,736,981","1,557",6.17,0,0,0,0.00,"474,678","5,863,451","191,764",8.10
2023,NJ,"93,502","1,615,498","214,418",5.79,"925,692","20,065,888","104,396",4.61,"172,004","4,393,653","2,731",3.91,"7,061","322,711",6,2.19,"1,198,258","26,397,750","321,551",4.54
2023,NV,0,0,0,0.00,"22,252","3,864,034",202,0.58,"6,834","2,533,489",9,0.27,0,0,0,0.00,"29,086","6,397,523",211,0.45
2023,NY,"662,342","4,670,786","681,905",14.18,"3,468,472","42,708,870","261,425",8.12,"272,757","12,430,585","3,342",2.19,"131,759","2,331,003",4,5.65,"4,535,331","62,141,244","946,676",7.30
2023,OH,"1,656,741","22,408,521","2,404,651",7.39,"1,674,312","35,267,963","359,592",4.75,"638,334","37,503,201","10,645",1.70,690,"30,264",2,2.28,"3,970,077","95,209,949","2,774,890",4.17
2023,OR,0,0,0,0.00,"12,965","955,877",497,1.36,"22,191","2,073,992",81,1.07,0,0,0,0.00,"35,156","3,029,869",578,1.16
