,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2023,CA,"3,659,147","25,410,820","5,409,316",14.40,"5,755,137","47,355,728","719,175",12.15,"1,428,172","14,119,949","6,596",10.11,"17,034","382,588",1,4.45,"10,859,489","87,269,085","6,135,088",12.44
2023,CT,"375,206","2,751,862","279,326",13.63,"814,379","8,039,529","49,932",10.13,"171,134","1,897,873","1,855",9.02,"6,231","50,925",1,12.23,"1,366,950","12,740,189","331,114",10.73
2023,DC,"71,965","395,747","35,108",18.18,"508,408","5,548,658","8,230",9.16,"15,988","176,489",1,9.06,"16,239","301,384",3,5.39,"612,601","6,422,278","43,342",9.54
2023,DE,"34,509","254,649","26,356",13.55,"173,705","2,447,773","10,770",7.10,"44,439","1,017,386",71,4.37,0,0,0,0.00,"252,653","3,719,808","37,197",6.79
2023,IL,"1,047,014","9,975,856","1,171,852",10.50,"2,043,227","30,524,267","239,248",6.69,"2,199,665","35,735,170","2,397",6.16,"18,751","404,383",3,4.64,"5,308,656","76,639,676","1,413,500",6.93
2023,MA,"1,491,799","9,845,483","1,522,458",15.15,"2,264,310","19,449,339","278,263",11.64,"425,799","3,881,942","4,065",10.97,"16,363","279,346",2,5.86,"4,198,269","33,456,110","1,804,788",12.55
2023,MD,"444,550","3,087,578","315,674",14.40,"1,589,503","20,036,267","87,973",7.93,"221,070","3,023,053","3,981",7.31,"37,152","408,065",5,9.10,"2,292,275","26,554,963","407,633",8.63
2023,ME,"75,107","405,958","61,612",18.50,"200,054","2,277,008","27,241",8.79,"175,148","2,109,632",819,8.30,0,0,0,0.00,"450,309","4,792,598","89,672",9.40
2023,MI,15,142,26,10.28,"261,923","3,701,290","5,151",7.08,"310,672","4,855,353",298,6.40,0,0,0,0.00,"572,609","8,556,785","5,475",6.69
2023,MT,0,5,2,8.00,"9,050","134,124",372,6.75,"196,314","2,926,858",36,6.71,0,0,0,0.00,"205,364","3,060,987",410,6.71
2023,NH,"178,195","1,174,047","149,306",15.18,"288,466","2,952,423","40,901",9.77,"157,131","1,736,981","1,557",9.05,0,0,0,0.00,"623,792","5,863,451","191,764",10.64
2023,NJ,"275,825","1,615,498","214,418",17.07,"1,854,357","20,065,888","104,396",9.24,"381,391","4,393,653","2,731",8.68,"34,359","322,711",6,10.65,"2,545,931","26,397,750","321,551",9.64
2023,NV,0,0,0,0.00,"317,823","3,864,034",202,8.23,"173,544","2,533,489",9,6.85,0,0,0,0.00,"491,367","6,397,523",211,7.68
2023,NY,"651,756","4,670,786","681,905",13.95,"3,806,930","42,708,870","261,425",8.91,"601,531","12,430,585","3,342",4.84,"228,776","2,331,003",4,9.81,"5,288,993","62,141,244","946,676",8.51
2023,OH,"1,659,545","22,408,521","2,404,651",7.41,"1,809,530","35,267,963","359,592",5.13,"1,774,238","37,503,201","10,645",4.73,"1,098","30,264",2,3.63,"5,244,410","95,209,949","2,774,890",5.51
2023,OR,0,0,0,0.00,"86,701","955,877",497,9.07,"182,929","2,073,992",81,8.82,0,0,0,0.00,"269,630","3,029,869",578,8.90
