"Annual percent changes in selected Consumer Price Indexes, 2018 through 2023",,,,,,,
Consumer Price Index item,2018,2019,2020,2021,2022,2023,
All food,1.4,1.9,3.4,3.9,9.9,5.8,
Food away from home,2.6,3.1,3.4,4.5,7.7,7.1,
Food at home,0.4,0.9,3.5,3.5,11.4,5.0,
"Meats, poultry, and fish",0.7,1.0,6.3,6.8,9.6,2.0,
Meats ,0.4,1.3,7.4,7.7,8.2,2.1,
Beef and veal,1.4,1.6,9.6,9.3,5.3,3.6,
Pork,-0.4,1.2,6.3,8.6,8.7,-1.2,
Other meats,-0.4,0.9,4.4,2.9,14.2,4.5,
Poultry,0.3,-0.3,5.6,5.1,14.6,3.1,
Fish and seafood,2.1,1.6,3.3,5.4,9.1,0.3,
Eggs,10.8,-10.0,4.3,4.5,32.2,1.4,
Dairy products,-0.5,1.0,4.4,1.4,12.0,4.0,
Fats and oils,0.1,-0.7,1.3,4.6,18.5,9.0,
Fruits and vegetables,0.7,1.0,1.4,3.2,8.5,2.5,
Fresh fruits and vegetables,1.1,1.0,0.8,3.3,7.5,0.8,
Fresh fruits  ,1.0,-1.4,-0.8,5.5,7.9,0.7,
Fresh vegetables,1.1,3.8,2.6,1.1,7.0,0.9,
Processed fruits and vegetables,-0.6,1.1,3.5,2.9,12.0,8.0,
Sugar and sweets,0.4,2.0,3.3,3.0,10.4,8.7,
Cereals and bakery products,0.4,1.4,2.2,2.3,13.0,8.4,
Nonalcoholic beverages,0.0,1.9,3.6,2.8,11.0,7.0,
Other foods,0.1,0.3,3.1,2.2,12.7,6.6,
,,,,,,,
