,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,"2,018"
NOT ADJUSTED,,,,,,,,,,,,,
"Retail and food services sales, total","444,231","435,308","508,287","480,480","528,485","507,307","505,125","520,502","476,894","503,544","518,353","555,970","5,984,486"
Retail sales and food services excl motor vehicle and parts,"356,079","345,682","398,644","381,179","419,359","402,562","401,448","412,119","380,952","404,486","423,001","454,783","4,780,294"
Retail sales and food services excl gasoline stations,"405,277","398,432","466,104","437,688","480,785","460,298","457,785","472,381","432,230","456,251","476,172","517,647","5,461,050"
Retail sales and food services excl motor vehicle and parts and gasoline stations,"317,125","308,806","356,461","338,387","371,659","355,553","354,108","363,998","336,288","357,193","380,820","416,460","4,256,858"
"Retail sales, total","389,624","380,456","444,725","420,206","464,422","443,762","441,712","456,103","417,148","442,154","459,625","493,444","5,253,381"
"Retail sales, total (excl. motor vehicle and parts dealers)","301,472","290,830","335,082","320,905","355,296","339,017","338,035","347,720","321,206","343,096","364,273","392,257","4,049,189"
GAFO(1),"90,541","92,478","108,140","98,853","110,596","105,919","105,243","111,406","100,003","105,197","121,205","146,293","1,295,874"
Motor vehicle and parts dealers,"88,152","89,626","109,643","99,301","109,126","104,745","103,677","108,383","95,942","99,058","95,352","101,187","1,204,192"
Automobile and other motor vehicle dealers,"80,914","82,600","101,304","91,562","100,706","96,548","95,498","99,842","88,196","90,620","87,469","93,991","1,109,250"
Automobile dealers,"76,803","77,664","94,440","84,225","92,525","88,378","88,338","92,656","82,405","85,213","82,672","89,581","1,034,900"
New car dealers,"67,800","67,548","82,958","74,478","82,199","78,377","78,316","82,310","73,191","75,815","73,723","80,913","917,628"
Used car dealers,"9,003","10,116","11,482","9,747","10,326","10,001","10,022","10,346","9,214","9,398","8,949","8,668","117,272"
"Automotive parts, acc., and tire stores","7,238","7,026","8,339","7,739","8,420","8,197","8,179","8,541","7,746","8,438","7,883","7,196","94,942"
"Furniture, home furn, electronics, and appliance stores","16,142","15,646","17,749","16,172","17,471","17,381","17,275","18,233","17,039","17,292","20,378","22,177","212,955"
Furniture and home furnishings stores,"8,874","8,697","10,181","9,359","10,094","9,898","9,910","10,382","9,759","9,955","10,782","11,134","119,025"
Furniture stores,"4,721","4,802","5,676","5,018","5,368","5,396","5,282","5,525","5,391","5,173","5,505","5,430","63,287"
Home furnishings stores,"4,153","3,895","4,505","4,341","4,726","4,502","4,628","4,857","4,368","4,782","5,277","5,704","55,738"
