,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,TOTAL,
NOT ADJUSTED,,,,,,,,,,,,,,
"Retail and food services sales, total","481,130","479,732","475,923","407,812","505,509","533,158","549,597","546,420","531,399","553,851","544,214","610,974","6,219,719",
Retail sales and food services excl motor vehicle and parts,"389,471","383,928","395,571","340,202","401,290","422,360","436,979","434,345","422,215","443,112","444,776","498,882","5,013,131",
Retail sales and food services excl gasoline stations,"441,461","442,772","441,670","381,007","473,421","496,820","510,721","507,731","494,266","515,844","510,031","574,622","5,790,366",
Retail sales and food services excl motor vehicle and parts and gasoline stations,"349,802","346,968","361,318","313,397","369,202","386,022","398,103","395,656","385,082","405,105","410,593","462,530","4,583,778",
"Retail sales, total","417,244","413,857","425,698","376,261","461,122","478,936","492,070","486,727","473,267","493,034","490,451","557,046","5,565,713",
"Retail sales, total (excl. motor vehicle and parts dealers)","325,585","318,053","345,346","308,651","356,903","368,138","379,452","374,652","364,083","382,295","391,013","444,954","4,359,125",
GAFO(1),"94,690","97,214","91,693","68,097","90,992","101,802","105,476","107,905","102,809","109,426","114,827","141,625","1,226,556",
Motor vehicle and parts dealers,"91,659","95,804","80,352","67,610","104,219","110,798","112,618","112,075","109,184","110,739","99,438","112,092","1,206,588",
Automobile and other motor vehicle dealers,"84,140","88,584","72,937","60,675","95,755","101,537","103,469","103,147","100,581","102,032","91,569","104,192","1,108,618",
Automobile dealers,"79,658","83,276","67,141","54,975","85,721","90,509","93,840","94,789","93,512","95,011","85,855","98,014","1,022,301",
New car dealers,"70,757","72,818","58,026","48,744","75,504","79,123","82,056","83,223","83,018","84,640","76,445","88,980","903,334",
Used car dealers,"8,901","10,458","9,115","6,231","10,217","11,386","11,784","11,566","10,494","10,371","9,410","9,034","118,967",
"Automotive parts, acc., and tire stores","7,519","7,220","7,415","6,935","8,464","9,261","9,149","8,928","8,603","8,707","7,869","7,900","97,970",
"Furniture, home furn, electronics, and appliance stores","16,418","15,969","13,758","6,818","11,070","15,278","16,760","17,575","17,182","17,548","19,002","20,971","188,349",
Furniture and home furnishings stores,"9,427","9,389","8,065","3,868","7,223","9,788","10,394","10,929","10,906","10,879","10,933","11,744","113,545",
Furniture stores,"5,111","5,257","4,458","1,960","4,236","5,646","5,870","5,923","6,134","6,028","5,886","6,106","62,615",
Home furnishings stores,"4,316","4,132","3,607","1,908","2,987","4,142","4,524","5,006","4,772",(S),(S),(S),,
Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
All other home furnishings stores,"2,400","2,190","1,498",360,"1,199","2,008","2,331","2,528","2,376",(S),(S),(S),,
Electronics and appliance stores,"6,991","6,580","5,693","2,950","3,847","5,490","6,366","6,646","6,276","6,669","8,069","9,227","74,804",
Household appliance stores,"1,247","1,247","1,290","1,129","1,448","1,686","1,730","1,741","1,651","1,697","1,673","1,723","18,262",
Electronics stores,"5,744","5,333","4,403","1,821","2,399","3,804","4,636","4,905","4,625","4,972","6,396","7,504","56,542",
Building mat. and garden equip. and supplies dealers,"26,760","26,046","31,827","35,460","41,873","41,538","38,901","36,253","36,546","37,209","34,338","34,252","421,003",
Building mat. and supplies dealers,"23,529","22,862","27,707","29,666","35,563","35,975","34,438","32,256","32,313","32,693","30,367","29,872","367,241",
Paint and wallpaper stores,952,949,"1,124",988,"1,143","1,302","1,339","1,285","1,297","1,281","1,074","1,004","13,738",
Hardware stores,"2,102","2,007","2,446","2,935","3,622","3,479","3,147","3,048","2,946","2,989","2,750","2,997","34,468",
Food and beverage stores,"63,919","61,180","79,848","69,778","75,019","70,323","73,510","70,868","68,142","70,465","70,516","76,005","849,573",
Grocery stores,"58,117","55,142","72,833","63,200","67,156","62,635","65,452","63,136","60,621","62,630","62,610","65,824","759,356",
Supermarkets and other grocery (except convenience) stores,"55,651","52,691","70,364","61,070","64,601","60,052","62,713","60,368","58,028","60,018","60,142","63,149","728,847",
"Beer, wine, and liquor stores","4,155","4,274","5,188","4,855","5,853","5,683","6,020","5,742","5,513","5,696","5,738","7,279","65,996",
Health and personal care stores,"29,553","28,285","31,435","26,124","26,685","28,764","30,169","29,359","29,942","31,083","29,056","34,228","354,683",
Pharmacies and drug stores,"24,806","23,471","27,235","24,137","23,806","24,763","25,641","24,762","25,251","26,425","24,310","27,830","302,437",
Gasoline stations,"39,669","36,960","34,253","26,805","32,088","36,338","38,876","38,689","37,133","38,007","34,183","36,352","429,353",
Clothing and clothing access. stores,"16,791","19,150","10,959","2,776","8,718","16,245","17,630","18,672","18,447","19,688","20,957","31,488","201,521",
Clothing stores,"12,313","13,461","7,646","1,791","5,500","11,038","12,157","12,901","12,897","14,088","15,033","19,960","138,785",
Men's clothing stores,640,660,329,96,177,342,455,425,452,(S),(S),681,,
Women's clothing stores,"2,448","2,706","1,554",525,"1,131","2,111","2,537","2,575","2,656","2,811","2,927","3,661","27,642",
Family clothing stores,"6,800","7,417","4,182",650,"2,973","6,709","6,835","7,506","7,313","8,233","8,698","11,780","79,096",
Other clothing stores,"1,243","1,364",801,255,588,967,"1,190","1,181","1,151","1,128","1,332","1,684","12,884",
Shoe stores,"2,174","2,781","1,737",477,"1,675","2,772","2,802","2,906","2,685","2,742","2,683","3,953","29,387",
Jewelry stores,"2,081","2,653","1,435",487,"1,475","2,288","2,483","2,645","2,635","2,616","2,993","7,184","30,975",
"Sporting goods, hobby, musical instrument, and book stores","5,766","5,519","5,172","3,399","6,181","8,145","7,796","7,912","7,510","7,348","8,136","10,918","83,802",
Sporting goods stores,"2,923","3,029","3,365","2,526","4,249","5,696","5,284","4,948","4,611","4,491","4,543","6,617","52,282",
"Hobby, toy, and game stores","1,163","1,191",856,356,"1,109","1,405","1,390","1,483","1,548","1,631","2,342","2,520","16,994",
Book stores,972,580,396,173,266,375,422,740,593,432,469,848,"6,266",
General merchandise stores,"53,647","54,601","60,168","54,272","63,755","60,383","61,108","61,371","57,333","61,947","64,678","75,432","728,695",
Department stores,"8,429","8,991","8,071","5,846","8,606","8,898","9,251","9,763","9,073","9,608","11,160","14,639","112,335",
Department stores(excl. discount department stores),"2,135","2,445","1,288",12,992,"1,468","1,531","1,716","1,762","1,884","2,440","3,621","21,294",
Discount dept. stores,"6,294","6,546","6,783","5,834","7,614","7,430","7,720","8,047","7,311","7,724","8,720","11,018","91,041",
Other general merchandise stores,"45,218","45,610","52,097","48,426","55,149","51,485","51,857","51,608","48,260","52,339","53,518","60,793","616,360",
Warehouse clubs and superstores,"39,231","39,456","44,275","41,010","46,706","43,619","44,226","44,224","40,957","44,567","45,525","51,491","525,287",
All other gen. merchandise stores,"5,987","6,154","7,822","7,416","8,443","7,866","7,631","7,384","7,303","7,772","7,993","9,302","91,073",
Miscellaneous store retailers,"10,209","10,097","9,262","7,023","9,503","11,084","11,600","11,624","11,377","12,281","11,446","13,287","128,793",
"Office supplies, stationery, and gift stores","2,068","1,975","1,636",832,"1,268","1,751","2,182","2,375","2,337","2,895","2,054","2,816","24,189",
Office supplies and stationery stores,964,817,870,607,710,784,876,"1,112",975,807,731,922,"10,175",
"Gift, novelty, and souvenir stores","1,104","1,158",766,225,558,967,"1,306","1,263","1,362","2,088","1,323","1,894","14,014",
Used merchandise stores,"1,572","1,639","1,084",437,954,"1,399","1,423","1,629","1,478","1,762","1,648","1,563","16,588",
Nonstore retailers,"62,853","60,246","68,664","76,196","82,011","80,040","83,102","82,329","80,471","86,719","98,701","112,021","973,353",
Electronic shopping and mail-order houses,"54,083","52,052","60,822","70,450","76,357","73,864","75,982","75,492","73,176","78,149","90,865","103,090","884,382",
Fuel dealers,"4,213","3,531","2,979","2,034","1,706","1,542","1,563","1,585","1,834","2,194","2,476","3,594","29,251",
Food services and drinking places,"63,886","65,875","50,225","31,551","44,387","54,222","57,527","59,693","58,132","60,817","53,763","53,928","654,006",
Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Restaurants and other eating places,"55,069","56,078","43,236","28,333","40,950","50,011","52,982","54,384","52,242","54,660","48,585","49,382","585,912",
Full service restaurants,"27,830",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Limited service eating places,"27,239","27,210","24,310","20,135","26,722","29,009","30,446","30,255","28,978","30,200","27,463","28,839","330,806",
ADJUSTED(2),,,,,,,,,,,,,,
"Retail and food services sales, total","525,411","525,380","477,676","408,312","484,978","526,970","535,644","540,423","551,131","549,271","544,421","549,300",,
Retail sales and food services excl motor vehicle and parts,"423,094","422,416","401,728","342,849","386,584","420,143","429,142","433,213","440,259","438,994","435,206","437,961",,
Retail sales and food services excl gasoline stations,"482,009","483,899","442,652","381,236","454,933","493,104","500,173","504,095","514,547","512,761","508,888","510,421",,
Retail sales and food services excl motor vehicle and parts and gasoline stations,"379,692","380,935","366,704","315,773","356,539","386,277","393,671","396,885","403,675","402,484","399,673","399,082",,
"Retail sales, total","456,420","456,401","429,196","376,918","443,726","473,811","480,116","482,243","491,386","489,705","487,287","495,533",,
"Retail sales, total (excl. motor vehicle and parts dealers)","354,103","353,437","353,248","311,455","345,332","366,984","373,614","375,033","380,514","379,428","378,072","384,194",,
GAFO(1),"110,418","110,211","95,314","70,787","88,329","104,522","106,107","105,379","109,953","109,101","107,110","108,130",,
Motor vehicle and parts dealers,"102,317","102,964","75,948","65,463","98,394","106,827","106,502","107,210","110,872","110,277","109,215","111,339",,
Automobile and other motor vehicle dealers,"94,327","95,047","68,873","58,737","90,080","97,914","97,797","98,517","102,320","102,032","100,958","103,058",,
"Automotive parts, acc., and tire stores","7,990","7,917","7,075","6,726","8,314","8,913","8,705","8,693","8,552","8,245","8,257","8,281",,
