,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL,
NOT ADJUSTED,,,,,,,,,,,,,,
"Retail and food services sales, total","455,716","441,374","512,587","505,674","543,094","514,174","527,897","541,266","492,187","521,521","531,705","586,565","6,173,760",
Retail sales and food services excl motor vehicle and parts,"367,659","351,567","402,137","402,237","431,302","409,638","418,903","427,092","393,225","418,612","431,649","484,493","4,938,514",
Retail sales and food services excl gasoline stations,"419,154","405,775","470,419","461,298","495,626","469,223","481,383","495,210","449,319","477,056","490,150","545,461","5,660,074",
Retail sales and food services excl motor vehicle and parts and gasoline stations,"331,097","315,968","359,969","357,861","383,834","364,687","372,389","381,036","350,357","374,147","390,094","443,389","4,424,828",
"Retail sales, total","399,276","384,814","446,781","442,504","475,630","448,131","461,608","472,933","428,472","455,157","467,368","518,796","5,401,470",
"Retail sales, total (excl. motor vehicle and parts dealers)","311,219","295,007","336,331","339,067","363,838","343,595","352,614","358,759","329,510","352,248","367,312","416,724","4,166,224",
GAFO(1),"91,766","90,899","106,253","102,837","110,345","105,802","107,154","114,173","99,904","106,809","120,958","146,928","1,303,828",
Motor vehicle and parts dealers,"88,057","89,807","110,450","103,437","111,792","104,536","108,994","114,174","98,962","102,909","100,056","102,072","1,235,246",
Automobile and other motor vehicle dealers,"80,778","82,675","102,032","95,153","103,235","96,399","100,530","105,486","91,113","94,275","92,154","94,657","1,138,487",
Automobile dealers,"76,320","77,690","94,949","87,635","94,816","88,500","92,928","98,416","85,432","88,892","87,355","90,257","1,063,190",
New car dealers,"67,130","67,617","82,611","76,936","83,947","78,143","82,417","87,832","75,793","78,995","77,858","81,610","940,889",
Used car dealers,"9,190","10,073","12,338","10,699","10,869","10,357","10,511","10,584","9,639","9,897","9,497","8,647","122,301",
"Automotive parts, acc., and tire stores","7,279","7,132","8,418","8,284","8,557","8,137","8,464","8,688","7,849","8,634","7,902","7,415","96,759",
"Furniture, home furn, electronics, and appliance stores","16,030","15,247","17,268","16,116","17,472","16,790","17,407","18,163","17,256","17,338","20,257","22,006","211,350",
Furniture and home furnishings stores,"8,820","8,637","10,027","9,590","10,313","9,765","10,196","10,618","10,119","10,243","11,020","11,161","120,509",
Furniture stores,"4,635","4,627","5,519","5,080","5,590","5,350","5,509","5,714","5,644","5,419","5,791","5,414","64,292",
Home furnishings stores,"4,185","4,010","4,508","4,510","4,723","4,415","4,687","4,904","4,475","4,824","5,229","5,747","56,217",
Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
All other home furnishings stores,"2,248","2,089","2,353","2,300","2,480","2,198","2,450","2,573","2,298","2,497","3,077","3,746","30,309",
Electronics and appliance stores,"7,210","6,610","7,241","6,526","7,159","7,025","7,211","7,545","7,137","7,095","9,237","10,845","90,841",
Household appliance stores,"1,219","1,200","1,365","1,339","1,504","1,430","1,560","1,500","1,385","1,435","1,529","1,445","16,911",
Electronics stores,"5,991","5,410","5,876","5,187","5,655","5,595","5,651","6,045","5,752","5,660","7,708","9,400","73,930",
Building mat. and garden equip. and supplies dealers,"26,709","24,116","30,005","34,109","37,309","33,542","33,697","32,355","29,933","32,581","29,680","28,437","372,473",
Building mat. and supplies dealers,"23,497","21,117","25,933","29,290","32,260","29,294","29,936","28,888","26,607","28,622","26,120","24,832","326,396",
Paint and wallpaper stores,897,845,"1,011",966,"1,174","1,158","1,235","1,249","1,147","1,166",950,846,"12,644",
Hardware stores,"2,059","1,885","2,307","2,480","2,781","2,548","2,498","2,505","2,309","2,549","2,350","2,364","28,635",
Food and beverage stores,"63,072","57,122","63,787","62,604","66,807","64,707","66,567","67,057","62,418","64,659","66,082","69,535","774,417",
Grocery stores,"57,413","51,505","57,503","56,268","59,958","58,029","59,600","60,079","56,090","57,996","58,978","60,527","693,946",
