,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,TOTAL
NOT ADJUSTED,,,,,,,,,,,,,
"Retail and food services sales, total","581,551","574,664","676,136","675,627","698,580","689,228","681,100","694,225","655,862","678,070","679,804","736,301","8,021,148"
Retail sales and food services excl motor vehicle and parts,"468,218","457,990","536,435","539,015","567,280","557,549","554,419","559,080","531,421","552,181","562,737","613,813","6,500,138"
Retail sales and food services excl gasoline stations,"533,731","526,480","613,585","612,508","627,634","615,992","609,137","628,287","596,007","615,415","622,502","683,788","7,285,066"
Retail sales and food services excl motor vehicle and parts and gasoline stations,"420,398","409,806","473,884","475,896","496,334","484,313","482,456","493,142","471,566","489,526","505,435","561,300","5,764,056"
"Retail sales, total","514,659","505,128","595,064","592,577","612,080","605,074","595,135","608,423","572,457","591,560","599,732","649,106","7,040,995"
"Retail sales, total (excl. motor vehicle and parts dealers)","401,326","388,454","455,363","455,965","480,780","473,395","468,454","473,278","448,016","465,671","482,665","526,618","5,519,985"
GAFO(1),"105,301","105,786","123,178","125,721","130,488","126,937","127,633","131,921","123,260","129,142","138,386","168,332","1,536,085"
Motor vehicle and parts dealers,"113,333","116,674","139,701","136,612","131,300","131,679","126,681","135,145","124,441","125,889","117,067","122,488","1,521,010"
Automobile and other motor vehicle dealers,"104,309","107,855","128,854","126,272","120,694","120,962","116,373","124,003","113,677","115,132","106,725","112,323","1,397,179"
Automobile dealers,"97,297","99,728","118,049","115,393","110,433","110,329","106,458","114,560","105,663","107,675","100,925","106,566","1,293,076"
New car dealers,"84,675","86,517","101,594","100,257","95,815","95,591","92,339","99,414","91,974","94,514","88,888","95,315","1,126,893"
Used car dealers,"12,622","13,211","16,455","15,136","14,618","14,738","14,119","15,146","13,689","13,161","12,037","11,251","166,183"
"Automotive parts, acc., and tire stores","9,024","8,819","10,847","10,340","10,606","10,717","10,308","11,142","10,764","10,757","10,342","10,165","123,831"
"Furniture, home furn, electronics, and appliance stores","17,272","17,328","20,563","19,729","19,751","19,325","19,312","20,444","19,757","19,414","21,128","22,383","236,406"
Furniture and home furnishings stores,"10,332","10,650","12,635","12,234","12,243","11,917","11,759","12,573","12,118","12,035","12,646","12,504","143,646"
Furniture stores,"5,645","6,094","7,102","6,817","6,843","6,760","6,735","6,843","6,793","6,691","6,882","6,678","79,883"
Home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
All other home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Electronics and appliance stores,"6,940","6,678","7,928","7,495","7,508","7,408","7,553","7,871","7,639","7,379","8,482","9,879","92,760"
Household appliance stores,"1,587","1,653","1,925","1,858","1,947","1,985","1,900","2,019","1,831","1,804","1,930","1,843","22,282"
Electronics stores,"5,353","5,025","6,003","5,637","5,561","5,423","5,653","5,852","5,808","5,575","6,552","8,036","70,478"
Building mat. and garden equip. and supplies dealers,"33,929","33,660","44,603","46,289","50,296","48,326","43,612","45,326","42,783","43,217","40,667","38,982","511,690"
Building mat. and supplies dealers,"29,831","29,508","38,791","39,579","43,039","41,879","38,389","39,997","37,596","37,570","35,529","33,578","445,286"
Paint and wallpaper stores,"1,039","1,084","1,406","1,369","1,474","1,586","1,450","1,571","1,554","1,500","1,281","1,133","16,447"
Hardware stores,"2,582","2,490","3,083","3,310","3,741","3,684","3,387","3,381","3,226","3,336","3,263","3,454","38,937"
Food and beverage stores,"75,835","70,170","77,254","77,575","80,922","80,350","82,264","80,787","78,949","81,585","82,605","88,889","957,185"
Grocery stores,"68,937","63,196","69,522","69,606","72,748","72,084","73,784","72,509","70,876","73,287","73,879","77,895","858,323"
Supermarkets and other grocery (except convenience) stores,"65,825","60,068","65,983","65,835","68,853","68,083","69,721","68,652","67,214","69,551","70,262","74,275","814,322"
"Beer, wine, and liquor stores","4,906","5,016","5,547","5,652","5,839","5,947","6,120","5,867","5,730","5,855","6,134","7,796","70,409"
Health and personal care stores,"32,355","30,313","33,869","32,682","33,166","33,669","32,648","34,256","33,794","34,353","33,892","37,883","402,880"
Pharmacies and drug stores,"27,662","25,467","28,112","27,322","27,736","28,087","27,464","28,514","28,190","28,991","28,184","30,567","336,296"
Gasoline stations,"47,820","48,184","62,551","63,119","70,946","73,236","71,963","65,938","59,855","62,655","57,302","52,513","736,082"
Clothing and clothing access. stores,"17,704","20,012","25,095","25,224","26,156","24,338","24,530","25,651","23,152","24,243","28,045","39,263","303,413"
Clothing stores,"12,348","13,175","17,459","17,619","18,184","17,039","17,240","17,527","16,256","17,436","20,309","25,904","210,496"
Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Women's clothing stores,"2,368","2,668","3,589","3,527","3,591","3,125","3,099","3,178","3,051","3,105","3,603","4,307","39,211"
Family clothing stores,"6,758","7,068","9,586","9,681","10,117","9,833","10,125","10,161","9,265","10,205","12,107","15,829","120,735"
Other clothing stores,"1,361","1,355","1,635","1,610","1,527","1,560","1,547","1,631","1,457","1,452","1,697","1,990","18,822"
Shoe stores,"2,159","2,586","3,434","3,286","3,416","3,149","3,395","4,232","3,175","3,148","3,476","4,594","40,050"
Jewelry stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
"Sporting goods, hobby, musical instrument, and book stores","6,852","6,725","8,267","8,114","8,148","8,568","8,466","9,389","8,269","8,126","9,560","12,509","102,993"
Sporting goods stores,"3,956","4,079","5,349","5,152","5,182","5,843","5,558","5,781","4,867","4,874","5,347","7,416","63,404"
"Hobby, toy, and game stores","1,427","1,464","1,637","1,647","1,618","1,465","1,605","1,725","1,780","1,855","2,734","2,949","21,906"
Book stores,811,517,538,589,616,562,597,"1,059",802,589,620,"1,088","8,388"
General merchandise stores,"61,641","59,807","66,929","70,353","73,854","72,193","72,568","73,356","69,259","73,940","77,325","90,908","862,133"
Department stores,"8,896","9,164","10,604","10,902","11,272","10,954","10,959","11,730","10,556","11,058","12,758","17,191","136,044"
Department stores(excl. discount department stores),"1,732","2,164","2,441","2,593","2,780","2,531","2,357","2,418","2,363","2,501","3,192","4,863","31,935"
Discount dept. stores,"7,164","7,000","8,163","8,309","8,492","8,423","8,602","9,312","8,193","8,557","9,566","12,328","104,109"
Other general merchandise stores,"52,745","50,643","56,325","59,451","62,582","61,239","61,609","61,626","58,703","62,882","64,567","73,717","726,089"
Warehouse clubs and superstores,"46,115","43,846","48,321","51,228","53,675","52,802","53,472","53,527","50,569","54,463","55,241","62,916","626,175"
All other gen. merchandise stores,"6,630","6,797","8,004","8,223","8,907","8,437","8,137","8,099","8,134","8,419","9,326","10,801","99,914"
Miscellaneous store retailers,"11,995","11,944","14,115","14,392","15,558","15,405","14,637","15,246","14,430","14,888","13,779","14,876","171,265"
"Office supplies, stationery, and gift stores","1,832","1,914","2,324","2,301","2,579","2,513","2,757","3,081","2,823","3,419","2,328","3,269","31,140"
Office supplies and stationery stores,812,744,870,804,779,771,869,"1,079",858,782,715,905,"9,988"
"Gift, novelty, and souvenir stores","1,020","1,170","1,454","1,497","1,800","1,742","1,888","2,002","1,965","2,637","1,613","2,364","21,152"
Used merchandise stores,"1,734","1,720","2,186","2,058","2,064","2,023","2,242","2,082","1,924","2,047","2,172","2,032","24,284"
Nonstore retailers,"95,923","90,311","102,117","98,488","101,983","97,985","98,454","102,885","97,768","103,250","118,362","128,412","1,235,938"
Electronic shopping and mail-order houses,"85,508","80,157","90,980","89,218","92,572","88,759","90,050","93,506","88,772","92,905","107,794","116,825","1,117,046"
Fuel dealers,"5,364","5,257","4,930","3,472","3,396","3,126","2,489","2,820","2,933","3,975","4,261","5,344","47,367"
Food services and drinking places,"66,892","69,536","81,072","83,050","86,500","84,154","85,965","85,802","83,405","86,510","80,072","87,195","980,153"
Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Restaurants and other eating places,"60,692","62,392","72,505","73,758","76,988","75,107","77,388","76,607","72,982","75,597","70,270","76,870","871,156"
Full service restaurants,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Limited service eating places,"31,479","31,274","36,522","37,044","38,895","38,695","39,788","39,182","37,201","38,440","35,890","37,626","442,036"
ADJUSTED(2),,,,,,,,,,,,,
"Retail and food services sales, total","644,034","650,522","664,167","673,245","671,040","675,702","671,067","675,107","673,312","681,748","673,674","666,734",
Retail sales and food services excl motor vehicle and parts,"515,204","520,961","535,564","542,369","545,667","550,125","547,617","548,150","547,395","553,149","547,867","544,358",
Retail sales and food services excl gasoline stations,"590,364","594,494","600,984","609,424","604,361","607,765","605,046","614,053","614,917","621,270","614,047","610,208",
Retail sales and food services excl motor vehicle and parts and gasoline stations,"461,534","464,933","472,381","478,548","478,988","482,188","481,596","487,096","489,000","492,671","488,240","487,832",
"Retail sales, total","571,325","574,609","585,912","592,141","589,282","593,360","589,039","590,987","588,894","595,839","588,309","581,749",
"Retail sales, total (excl. motor vehicle and parts dealers)","442,495","445,048","457,309","461,265","463,909","467,783","465,589","464,030","462,977","467,240","462,502","459,373",
GAFO(1),"122,565","124,667","127,330","129,036","128,578","129,237","127,951","129,216","129,821","130,267","128,921","127,891",
Motor vehicle and parts dealers,"128,830","129,561","128,603","130,876","125,373","125,577","123,450","126,957","125,917","128,599","125,807","122,376",
Automobile and other motor vehicle dealers,"118,803","119,573","118,541","120,719","115,056","115,312","113,203","116,544","115,291","118,084","115,254","111,653",
"Automotive parts, acc., and tire stores","10,027","9,988","10,062","10,157","10,317","10,265","10,247","10,413","10,626","10,515","10,553","10,723",
"Furniture, home furn, electronics, and appliance stores","19,262","19,506","20,272","20,842","20,262","19,853","19,898","19,961","19,762","20,018","18,984","18,590",
Furniture and home furnishings stores,"11,808","11,926","12,056","12,383","12,206","11,989","11,914","12,066","11,927","12,218","11,808","11,503",
Electronics and appliance stores,"7,454","7,580","8,216","8,459","8,056","7,864","7,984","7,895","7,835","7,800","7,176","7,087",
Building mat. and garden equip. and supplies dealers,"42,376","42,196","43,113","42,996","42,543","42,581","42,692","43,154","42,924","43,297","41,994","42,275",
Building mat. and supplies dealers,"37,149","36,839","37,771","37,766","37,103","37,127","36,984","37,380","37,224","37,570","36,291","36,538",
Food and beverage stores,"77,429","77,479","78,318","78,537","79,299","79,908","79,859","80,268","80,777","81,592","81,795","81,576",
Grocery stores,"69,283","69,294","70,083","70,380","71,182","71,725","71,705","71,934","72,470","73,214","73,438","73,347",
"Beer, wine and liquor stores","5,813","5,887","5,870","5,809","5,770","5,848","5,801","5,879","5,889","5,962","5,932","5,879",
Health and personal care stores,"33,049","32,877","33,011","33,315","33,166","33,736","33,973","33,883","34,170","34,080","34,304","33,644",
Pharmacies and drug stores,"27,885","27,532","27,588","27,795","27,736","28,200","28,401","28,093","28,446","28,339","28,584","28,043",
Gasoline stations,"53,670","56,028","63,183","63,821","66,679","67,937","66,021","61,054","58,395","60,478","59,627","56,526",
Clothing and clothing access. stores,"24,050","24,708","25,838","25,882","25,379","25,565","24,969","25,259","25,552","25,599","25,384","24,916",
