NOT ADJUSTED,Jan. 2023,Feb. 2023,Mar. 2023,Apr. 2023,May 2023,Jun. 2023,Jul. 2023,Aug. 2023,Sep. 2023,Oct. 2023,Nov. 2023,Dec. 2023,TOTAL
"Retail and food services sales, total","627,609","606,884","692,701","674,516","722,019","702,231","696,200","718,533","681,679","697,816","708,181","765,846","8,294,215"
Retail sales and food services excl motor vehicle and parts,"510,266","488,678","551,718","541,636","579,809","563,062","561,498","577,027","548,817","568,837","584,282","635,671","6,711,301"
Retail sales and food services excl gasoline stations,"577,644","559,494","638,387","621,170","665,570","646,294","639,648","658,027","623,885","640,048","656,750","717,154","7,644,071"
Retail sales and food services excl motor vehicle and parts and gasoline stations,"460,301","441,288","497,404","488,290","523,360","507,125","504,946","516,521","491,023","511,069","532,851","586,979","6,061,157"
"Retail sales, total","545,318","526,218","600,348","584,626","627,266","608,430","601,631","624,457","589,258","604,435","619,189","668,957","7,200,133"
"Retail sales, total (excl. motor vehicle and parts dealers)","427,975","408,012","459,365","451,746","485,056","469,261","466,929","482,951","456,396","475,456","495,290","538,782","5,617,219"
GAFO(1),"113,705","111,422","124,263","124,133","130,729","127,859","128,320","133,614","123,919","127,192","138,894","169,911","1,553,961"
Motor vehicle and parts dealers,"117,343","118,206","140,983","132,880","142,210","139,169","134,702","141,506","132,862","128,979","123,899","130,175","1,582,914"
Automobile and other motor vehicle dealers,"107,536","108,618","129,711","122,044","130,540","127,343","123,394","129,346","121,541","117,155","112,744","119,701","1,449,673"
Automobile dealers,"101,714","101,847","120,738","113,232","120,253","117,456","114,597","120,988","113,720","110,527","106,976","113,914","1,355,962"
New car dealers,"89,133","87,771","103,509","97,979","104,507","102,861","100,406","105,573","99,898","97,143","94,960","102,704","1,186,444"
Used car dealers,"12,581","14,076","17,229","15,253","15,746","14,595","14,191","15,415","13,822","13,384","12,016","11,210","169,518"
"Automotive parts, acc., and tire stores","9,807","9,588","11,272","10,836","11,670","11,826","11,308","12,160","11,321","11,824","11,155","10,474","133,241"
"Furniture, home furn, electronics, and appliance stores","18,903","17,777","19,958","17,783","19,011","19,048","18,374","19,591","18,995","18,335","20,926","21,861","230,562"
Furniture and home furnishings stores,"11,369","10,919","12,450","11,091","11,732","11,689","11,169","11,906","11,462","10,894","12,134","11,847","138,662"
Furniture stores,"6,165","5,985","6,777","5,885","6,198","6,448","6,282","6,528","6,474","5,752","6,545","6,240","75,279"
Home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
All other home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Electronics and appliance stores,"7,534","6,858","7,508","6,692","7,279","7,359","7,205","7,685","7,533","7,441","8,792","10,014","91,900"
Household appliance stores,"1,721","1,639","1,859","1,671","1,816","1,862","1,760","1,954","1,791","1,822","1,869","1,732","21,496"
Electronics stores,"5,813","5,219","5,649","5,021","5,463","5,497","5,445","5,731","5,742","5,619","6,923","8,282","70,404"
Building mat. and garden equip. and supplies dealers,"35,195","34,065","41,869","43,232","50,535","46,360","41,865","43,921","39,883","41,941","39,719","36,580","495,165"
Building mat. and supplies dealers,"30,768","29,568","36,073","36,260","42,641","39,816","36,649","38,698","34,782","36,331","34,478","31,709","427,773"
Paint and wallpaper stores,"1,172","1,198","1,491","1,412","1,680","1,656","1,508","1,668","1,496","1,519","1,280","1,118","17,198"
Hardware stores,"2,804","2,698","3,362","3,489","3,991","3,877","3,509","3,615","3,290","3,462","3,331","3,354","40,782"
Food and beverage stores,"78,858","74,164","80,812","79,684","83,500","81,316","83,201","82,889","80,681","81,437","83,365","89,248","979,155"
Grocery stores,"71,701","67,024","72,939","71,746","74,846","72,659","74,481","74,491","72,346","73,031","74,319","77,799","877,382"
Supermarkets and other grocery (except convenience) stores,"68,375","63,761","69,410","68,111","71,081","68,944","70,697","70,695","68,631","69,499","70,937","74,366","834,507"
"Beer, wine, and liquor stores","5,080","5,068","5,642","5,634","6,184","6,157","6,213","5,947","5,894","5,847","6,288","8,023","71,977"
Health and personal care stores,"34,617","32,735","36,645","34,595","36,924","36,375","34,589","37,069","35,946","38,434","37,118","40,663","435,710"
Pharmacies and drug stores,"29,139","27,217","30,449","28,821","30,906","30,324","28,984","31,033","30,101","32,912","31,133","32,852","363,871"
Gasoline stations,"49,965","47,390","54,314","53,346","56,449","55,937","56,552","60,506","57,794","57,768","51,431","48,692","650,144"
Clothing and clothing access. stores,"19,118","20,666","24,510","24,232","26,096","24,364","24,911","26,657","23,332","23,933","28,580","40,684","307,083"
Clothing stores,"13,528","14,251","17,537","17,454","18,285","17,353","17,943","18,790","16,842","17,435","20,948","26,966","217,332"
Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Women's clothing stores,"2,332","2,529","3,156","3,114","3,398","2,915","3,019","3,055","2,959","2,976","3,558","4,319","37,330"
Family clothing stores,"7,476","7,682","9,812","9,867","10,305","10,010","10,535","11,072","9,739","10,246","12,470","16,144","125,358"
Other clothing stores,"1,584","1,719","1,906","1,700","1,658","1,812","1,857","1,854","1,555","1,572","1,909","2,275","21,401"
Shoe stores,"2,361","2,699","3,367","3,184","3,327","3,146","3,471","4,280","3,078","3,003","3,383","4,669","39,968"
Jewelry stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
"Sporting goods, hobby, musical instrument, and book stores","7,225","6,759","8,203","7,918","8,291","8,590","8,470","9,194","8,209","7,924","9,411","11,911","102,105"
Sporting goods stores,"3,991","3,998","5,161","5,145","5,322","5,675","5,611","5,835","4,879","4,781","5,274","7,008","62,680"
"Hobby, toy, and game stores","1,536","1,460","1,631","1,468","1,530","1,531","1,519","1,625","1,744","1,760","2,687","2,915","21,406"
Book stores,921,561,596,582,652,585,590,878,727,559,597,"1,073","8,321"
General merchandise stores,"66,326","64,211","69,256","71,953","74,795","73,294","73,787","75,414","70,746","73,832","77,921","92,667","884,202"
Department stores,"9,282","9,446","10,606","10,521","10,975","10,398","10,618","11,455","10,112","10,342","12,301","16,629","132,685"
Department stores(excl. discount department stores),"1,807","2,102","2,295","2,313","2,561","2,300","2,178","2,203","2,169","2,225","3,067","4,723","29,943"
