Partner,Jan-Sep_2023,Jan-Sep_2024,Y 2015,Y 2016,Y 2017,Y 2018,Y 2019,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2020,Y_2021,Y_2022,Y_2023
Afghanistan,708377,95370,47856294,25713675,20570029,26164153,23166924,26954442,102667946,87621159,51232064,84963182,34468998,23578362,25039002,6184292,8283,787788
Albania,2565042,4384784,510662,1920330,5172783,4221500,4673425,1392410,288700,195899,619244,550878,461640,439331,3877790,7711680,3488232,4341724
Algeria,2607246,5625391,11482732,12244491,6901383,8189964,7768895,20482967,17483592,8786800,7957104,10241716,15008419,17725937,5478721,5572948,5011645,3551471
Andorra,0,102586,0,9897,8134,143275,0,56789,55322,31813,547274,28016,34746,9354,17674,3613,2991,0
Angola,4966344,1910580,7507091,4956200,5614603,2502012,2771089,18221927,10287426,7938371,9762069,12600067,9315286,8448753,2001058,2100680,6597483,6147871
Anguilla,656477,651973,555151,702757,1136060,1717970,529019,881622,517314,354316,516266,364878,391378,285494,296540,440912,778359,745343
Antigua Barbuda,2973610,2302909,1951995,2108686,2625430,3930383,3433798,3042579,2345280,2091767,1565276,1475290,1653023,2065959,3224913,2959267,3790972,3616971
Argentina,244413916,238606806,242506091,294437733,337505174,267488553,194986715,253804520,176098783,175438149,186719415,131274722,190842426,245597949,174470821,219873893,281936978,311288001
Armenia,28466637,15885100,273858,196899,254384,722445,418773,2717141,610067,151697,741512,469293,751870,364358,749807,4329968,28900299,33618169
Aruba,3152315,4010926,5477941,4680455,6886698,5902518,6126684,5423189,3939291,2990587,3016257,3820633,3276031,3420666,3672123,5148637,4178191,5158719
Australia,1263206322,1948146113,1345828779,1103599186,1253573329,1303241107,1299923847,958541210,714997863,1121808234,1438835325,1992956503,1562343737,1498106291,1175605909,1433936916,1557406115,2005328898
Austria,65647246,53844281,64782785,73086327,101466010,109798202,86947159,333890486,114925211,114607972,79487565,75944143,55555402,64214953,64445779,79682442,71517290,103700062
Azerbaijan,2404862,5751787,4098168,2981152,2632965,3436230,3811689,1304936,1387451,1163050,934984,1597380,3807417,2028163,2220066,2821501,2644133,3642771
Bahamas,20728426,20016590,17884593,21709483,22756065,27087389,24267066,18639858,16349047,13572336,14882554,15957827,22205045,18427944,20818527,20445459,24401511,25991725
Bahrain,6354864,6186546,14610689,14202141,11305792,12888386,7488067,6984764,5802470,7810492,13589697,9646150,20095230,11531022,6429524,8684624,6533276,9426923
Bangladesh,2227349,1337094,2508333,2313097,2014108,2559118,1566354,1077304,1411353,1381200,2624600,1753988,2636661,2263612,1457734,1667744,2045655,2845725
Barbados,6162631,5559366,12221773,8908947,14560314,6398764,5832595,5204481,4566879,5395166,5401188,6656047,6698820,9321815,4974101,5284812,7631556,8053122
Belarus,0,0,1523866,3169511,1715537,7154677,2049165,15590828,15669754,34545386,19325513,13203156,3287218,2348603,5937043,19200442,4172208,6993
Belgium,465686708,471264464,539470416,452350955,465583319,515144060,570884549,431911360,336185447,477922848,581107764,563998697,465364239,528302233,395908355,544710573,582511005,598374892
Belize,5312033,5074661,10133985,8149229,6112274,6338149,6156466,6237796,5974263,6181016,5310508,8051762,9563204,9478902,3207846,3603901,4496316,7245482
Benin,31933789,30277977,107948349,31671930,37652669,46841986,46003033,16027735,24020051,56889622,54376265,55164977,93662333,127545072,26753925,33214179,43507274,38179771
Bermuda,3740410,4397220,2066505,2361120,2882126,11052152,4781226,2893242,2462609,2435785,2420724,2162372,1949904,2080643,3545342,5483735,5791198,5708757
Bhutan,0,15397,3499,0,3011,7677,0,5652,3746,159653,0,0,3453,0,0,3732,4452,0
Bolivia,11799251,9792149,21072834,17563022,18893138,20431050,17524036,15637898,12369094,12368630,15815438,18738685,29190365,33393938,19969942,18493381,24210104,15722289
Bosnia-Hercegovina,1459114,2292343,1682732,486919,140451,282428,371080,233045,198571,74704,48996,811783,10957063,5792317,54372,362204,1852805,1895975
Botswana,512024,775269,92654,252158,349325,565763,614914,108393,92701,115080,138507,111789,472537,379306,304000,455262,351861,642005
Br Indian Ocean Territory,35042,10000,6375,98706,37501,68289,35473,0,0,53053,0,6479,0,13048,93369,49906,18700,35042
Brazil,903998798,920987578,1047190278,1150546155,2151894655,1229461048,1132108057,852524810,564203755,951465624,1090312310,1025891688,1104052084,1088344768,905093821,1184727082,1266949674,1190993079
British Virgin Islands,2521294,1927056,3577173,4391884,3368570,4919438,3361011,2941164,2429900,2823160,2501351,2000100,2075187,2768380,2784305,1579607,3454329,3049990
Brunei,1770712,2977426,1226499,1201619,822702,1062530,773516,598951,321547,403146,500258,1221240,2344629,1857194,1800707,2669894,3078755,2098364
Bulgaria,2541869,3423941,1177074,1628065,1725646,3382045,2472278,3649610,5304837,1759248,1865372,2620498,2101107,2405174,2833376,2987197,2834444,3861092
Burkina (Upper Volta),1991266,2227638,458384,278209,290892,1228615,684646,134045,644476,2269076,1464220,435440,2019393,1323885,2070800,5975872,7964143,2599963
Burma (Myanmar),123081,39014,786851,913790,847492,684480,806760,19955,24610,10024,289967,717616,2250117,565278,1232342,527144,98804,145596
Burundi,2563,0,29585,1613074,13737,25236,0,0,10219,0,0,0,200224,17384,37866,4901,0,7563
Cambodia (Kampuchea),12936934,11529158,21239821,24555179,43218466,60350387,57646799,2386447,1458276,2950808,4938762,14148896,15741818,21522031,24198001,29882772,41389630,16579313
Cameroon,2490424,2608347,4983162,3912269,3300575,3388536,3787931,1059169,1264547,1354626,5003996,2300868,5831028,4722153,2489275,3457583,2820038,3900309
Canada,24404046391,22734422988,29818284887,31123213547,31683450146,30749813818,29422005117,28258965666,19647146485,26021629647,28560672661,31998428903,31955532884,30835751278,21979574184,21569493812,25806846862,31705918255
