U.S. imports of cocoa and chocolate,,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
,,,,2023,2022,2021,2020,2019,2018
Total cocoa and products 1/,1,Canada,Million dollars,"2,031.6","1,933.0","1,688.4","1,544.5","1,518.7","1,403.1"
,2,Cote d'Ivoire,Million dollars,701.9,773.8,"1,002.8",771.8,656.3,733.5
,3,Mexico,Million dollars,612.0,624.6,523.2,553.7,571.4,500.9
,4,Ghana,Million dollars,265.0,273.0,218.7,195.6,224.9,168.9
,5,Malaysia,Million dollars,250.2,229.9,170.7,205.6,197.6,120.7
,6,Ecuador,Million dollars,240.1,218.3,236.1,237.6,142.3,136.7
,7,Netherlands,Million dollars,235.8,267.7,216.8,171.5,177.5,162.8
,8,Rest of world,Million dollars,"1,815.8","1,728.6","1,577.4","1,371.4","1,488.2","1,485.7"
,9,World,Million dollars,"6,152.4","6,048.9","5,634.1","5,051.7","4,976.9","4,712.3"
,10,World (quantity),"1,000 metric tons","1,338.9","1,513.2","1,532.5","1,391.9","1,393.9","1,372.8"
,,,,,,,,,
Cocoa beans,11,Cote d'Ivoire,Million dollars,361.1,448.3,748.6,505.8,485.9,608.1
,12,Ecuador,Million dollars,171.1,170.2,197.3,184.0,116.2,123.5
,13,Ghana,Million dollars,146.7,139.2,134.6,139.3,174.9,115.5
,14,Dominican Republic,Million dollars,39.6,55.6,45.7,57.7,66.7,47.1
,15,Papua New Guinea,Million dollars,25.1,13.9,19.1,29.8,10.8,17.3
,16,Nigeria,Million dollars,9.7,16.3,51.6,11.8,8.3,15.2
,17,Rest of world,Million dollars,16.0,55.4,65.4,67.3,42.3,34.5
,18,World,Million dollars,769.3,898.9,"1,262.3",995.7,905.1,961.2
,19,World (quantity),"1,000 metric tons",269.1,343.3,471.4,377.0,375.5,415.3
,,,,,,,,,
"Cocoa paste, butter, and powder",20,Cote d'Ivoire,Million dollars,300.1,285.6,235.3,254.0,159.3,112.6
,21,Indonesia,Million dollars,230.7,196.9,229.8,257.5,312.1,363.6
,22,Malaysia,Million dollars,215.1,207.6,159.7,195.5,189.9,116.5
,23,Netherlands,Million dollars,207.3,246.1,199.2,157.6,163.2,141.3
,24,Ghana,Million dollars,118.0,133.5,83.9,56.3,50.0,53.4
,25,Ecuador,Million dollars,64.6,44.6,35.3,50.9,22.9,10.6
,26,Canada,Million dollars,54.7,52.3,41.4,37.7,17.9,23.9
,27,Spain,Million dollars,38.5,33.1,25.3,22.8,20.9,27.6
,28,Rest of world,Million dollars,225.3,293.9,261.0,231.8,301.1,277.2
,29,World,Million dollars,"1,454.3","1,493.6","1,270.9","1,264.1","1,237.3","1,126.7"
,30,World (quantity),"1,000 metric tons",364.0,447.3,396.1,384.8,397.7,367.2
,,,,,,,,,
Chocolate,31,Canada,Million dollars,"1,976.9","1,880.7","1,647.0","1,506.7","1,500.7","1,378.9"
,32,Mexico,Million dollars,598.2,560.8,477.8,517.9,526.4,458.0
,33,Belgium,Million dollars,203.5,179.9,158.6,125.9,148.6,139.3
,34,Germany,Million dollars,186.0,162.8,145.6,134.7,131.8,146.8
,35,Poland,Million dollars,140.7,136.2,100.6,72.1,67.7,74.8
,36,Italy,Million dollars,97.1,103.8,67.5,58.7,58.8,51.0
,37,Switzerland,Million dollars,90.6,81.5,71.0,59.0,71.3,66.9
,38,Croatia,Million dollars,65.8,32.1,15.9,4.7,2.1,1.9
,39,Rest of world,Million dollars,569.7,518.0,416.7,312.0,326.9,306.5
,40,World,Million dollars,"3,928.5","3,655.8","3,100.7","2,791.7","2,834.3","2,624.1"
,41,World (quantity),"1,000 metric tons",705.8,722.5,664.9,630.0,620.6,590.2
,,,,,,,,,
,,,,,,,,,
"U.S. imports of coffee, tea, and spices",,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
,,,,2023,2022,2021,2020,2019,2018
"Total coffee, tea, and spices",1,Colombia,Million dollars,"1,560.8","2,132.0","1,485.3","1,221.8","1,267.9","1,254.0"
,2,Brazil,Million dollars,"1,541.4","2,266.7","1,378.7","1,216.7","1,171.6","1,122.4"
,3,Switzerland,Million dollars,"1,123.4",854.1,790.9,454.5,360.9,238.2
,4,Mexico,Million dollars,727.9,729.9,487.0,405.8,385.3,403.1
,5,Vietnam,Million dollars,683.0,765.3,602.8,511.6,497.7,618.1
,6,Canada,Million dollars,673.0,716.4,533.9,483.9,511.0,519.4
,7,Guatemala,Million dollars,471.9,555.7,436.5,329.2,331.9,340.1
,8,Rest of world,Million dollars,"4,494.2","4,959.8","4,104.1","3,722.7","3,901.0","3,959.4"
,9,World,Million dollars,"11,275.6","12,979.9","9,819.2","8,346.2","8,427.3","8,454.7"
,10,World (quantity),"1,000 metric tons","2,129.9","2,413.7","2,344.6","2,254.6","2,371.9","2,236.8"
,,,,,,,,,
"Coffee beans, unroasted 1/",11,Brazil,Million dollars,"1,347.5","2,051.5","1,222.5","1,045.8","1,034.5",962.1
,12,Colombia,Million dollars,"1,311.5","1,849.8","1,309.8","1,065.7","1,140.4","1,142.5"
,13,Honduras,Million dollars,462.1,396.5,381.5,237.3,245.8,210.7
,14,Guatemala,Million dollars,456.7,536.5,410.8,302.4,316.4,326.2
,15,Nicaragua,Million dollars,358.5,369.2,261.7,241.8,263.7,246.7
,16,Vietnam,Million dollars,344.1,322.7,263.0,275.3,277.3,392.4
,17,Rest of world,Million dollars,"1,643.9","2,087.4","1,344.2","1,256.8","1,340.5","1,460.4"
,18,World,Million dollars,"5,924.3","7,613.6","5,193.5","4,425.1","4,618.6","4,741.0"
,19,World (quantity),"1,000 metric tons","1,276.0","1,512.7","1,469.4","1,427.7","1,592.5","1,503.2"
,,,,,,,,,
"Coffee, roasted and instant 2/",20,Switzerland,Million dollars,"1,120.3",851.9,790.0,454.0,360.2,235.9
,21,Canada,Million dollars,564.0,613.9,441.3,375.2,394.4,407.1
,22,Italy,Million dollars,136.1,136.5,125.4,91.1,120.3,109.4
,23,Colombia,Million dollars,67.6,81.3,55.0,54.2,48.1,43.4
,24,Mexico,Million dollars,50.5,32.3,44.4,37.7,38.5,37.9
,25,Rest of world,Million dollars,133.5,138.7,102.6,101.5,117.3,94.2
,26,World,Million dollars,"2,072.0","1,854.6","1,558.7","1,113.7","1,078.8",927.9
,27,World (quantity),"1,000 metric tons",113.0,112.3,109.8,97.2,102.7,88.6
,,,,,,,,,
Coffee extracts and preparations 3/,28,Mexico,Million dollars,190.7,138.7,100.4,103.5,102.9,89.9
,29,Colombia,Million dollars,172.1,190.2,109.3,91.2,70.7,63.2
,30,Brazil,Million dollars,149.0,150.5,95.8,108.6,92.9,100.9
,31,India,Million dollars,54.6,55.5,43.2,26.1,33.5,43.6
,32,Rest of world,Million dollars,210.9,232.5,143.3,159.1,108.4,91.5
,33,World,Million dollars,777.3,767.4,492.0,488.5,408.4,389.1
,34,World (quantity),"1,000 metric tons",76.7,89.1,66.9,70.9,60.3,53.1
,,,,,,,,,
Tea and mate,35,Japan,Million dollars,108.2,84.7,95.0,81.6,62.4,63.0
,36,China ,Million dollars,98.1,115.8,111.6,107.5,125.2,132.9
,37,Canada,Million dollars,92.2,88.5,81.0,96.2,96.7,85.9
,38,India,Million dollars,71.8,82.9,85.0,70.4,67.6,60.7
,39,Rest of world,Million dollars,371.1,382.5,346.7,303.6,309.5,294.9
,40,World,Million dollars,741.4,754.4,719.3,659.3,661.4,637.4
,41,World (quantity),"1,000 metric tons",182.6,199.7,186.9,181.0,188.6,181.0
,,,,,,,,,
Spices,42,India,Million dollars,304.4,285.9,311.7,240.0,224.5,220.2
,43,Vietnam,Million dollars,298.9,390.8,298.3,202.8,193.5,201.2
,44,China ,Million dollars,165.7,153.6,152.6,152.2,167.8,163.0
,45,Madagascar ,Million dollars,150.7,286.5,255.5,288.9,419.1,521.6
,46,Mexico,Million dollars,139.4,105.4,102.0,93.7,85.4,79.3
,47,Spain,Million dollars,133.7,119.3,94.5,76.3,62.2,58.4
,48,Peru,Million dollars,124.4,96.5,88.7,82.7,56.0,53.0
,49,Indonesia,Million dollars,116.5,174.8,180.9,175.8,176.7,171.3
,50,Rest of world,Million dollars,326.9,377.2,371.5,347.2,274.9,291.4
,51,World,Million dollars,"1,760.6","1,990.0","1,855.7","1,659.6","1,660.1","1,759.4"
,52,World (quantity),"1,000 metric tons",481.5,499.9,511.6,477.7,427.7,410.9
,,,,,,,,,
U.S. imports of sweeteners and products,,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
,,,,2023,2022,2021,2020,2019,2018
Total sweeteners and candy 1/,1,Mexico,Million dollars,"2,161.4","2,142.8","1,625.4","1,533.8","1,347.9","1,397.3"
,2,Canada,Million dollars,"1,043.9","1,006.1",869.7,764.5,785.8,823.8
,3,Brazil,Million dollars,637.3,386.2,447.4,420.9,269.1,310.1
,4,Germany,Million dollars,279.6,273.1,224.2,178.4,154.5,144.2
,5,Turkey,Million dollars,237.4,202.3,149.2,112.5,105.9,92.2
,6,Guatemala,Million dollars,231.2,183.6,158.9,157.5,146.0,157.5
,7,Colombia,Million dollars,199.1,164.4,135.9,138.7,128.2,109.5
,8,Argentina,Million dollars,194.4,207.0,207.5,177.8,137.5,131.6
,9,Rest of world,Million dollars,"2,209.5","2,314.6","1,881.8","1,687.4","1,590.1","1,493.5"
,10,World,Million dollars,"7,193.8","6,880.1","5,700.0","5,171.5","4,665.0","4,659.7"
,11,World (quantity),"1,000 metric tons","4,744.0","4,868.9","4,504.9","4,919.9","4,271.9","4,147.3"
,,,,,,,,,
"Sugar, cane and beet 2/",12,Mexico,Million dollars,804.5,918.4,648.1,739.7,569.4,663.6
,13,Brazil,Million dollars,505.1,211.4,275.1,313.3,175.9,196.7
,14,Guatemala,Million dollars,215.1,170.9,144.5,148.3,135.4,147.5
,15,El Salvador,Million dollars,157.9,147.1,67.7,73.7,91.4,67.0
,16,Colombia,Million dollars,155.0,123.1,105.5,115.1,96.6,82.7
,17,Dominican Republic,Million dollars,139.4,168.9,136.2,131.2,110.2,116.9
,18,Australia,Million dollars,95.2,84.7,63.5,71.6,71.9,31.9
,19,Rest of world,Million dollars,537.0,573.7,529.1,606.5,473.8,406.9
,20,World,Million dollars,"2,609.2","2,398.2","1,969.7","2,199.4","1,724.6","1,713.2"
,21,World (quantity),"1,000 metric tons","3,104.5","3,164.4","2,940.8","3,551.6","2,883.1","2,831.2"
,,,,,,,,,
Other sweeteners and syrups 3/,22,Canada,Million dollars,414.5,432.9,385.2,319.9,326.3,320.3
,23,Mexico,Million dollars,181.0,176.4,125.4,102.8,95.5,99.6
,24,India,Million dollars,161.6,209.7,125.8,66.3,87.5,84.3
,25,Argentina,Million dollars,128.0,153.7,150.4,93.5,80.5,86.9
,26,Brazil,Million dollars,76.5,111.2,122.3,70.0,55.8,81.1
,27,New Zealand,Million dollars,51.5,61.9,63.1,44.8,39.5,36.9
,28,Rest of world,Million dollars,429.3,500.5,458.3,337.9,312.3,332.0
,29,World,Million dollars,"1,442.4","1,646.3","1,430.5","1,035.2",997.4,"1,041.1"
