U.S. imports of meats and products,,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
,,,,2023,2022,2021,2020,2019,2018
"Total red meats, fresh and frozen 1/",1,Canada,Million dollars,"3,793.9","3,682.4","3,494.6","2,418.9","2,356.8","2,240.3"
,2,Australia,Million dollars,"2,589.9","2,487.0","2,304.4","2,308.7","2,360.6","2,073.1"
,3,Mexico,Million dollars,"1,983.7","2,121.1","2,091.7","1,569.4","1,373.2","1,200.5"
,4,New Zealand,Million dollars,"1,347.7","1,287.4","1,306.3","1,136.0",949.9,"1,187.5"
,5,Brazil,Million dollars,477.9,557.1,361.5,126.7,27.0,23.1
,6,Uruguay,Million dollars,323.9,302.6,253.4,265.1,209.8,192.3
,7,Nicaragua,Million dollars,298.8,355.0,375.9,318.5,296.4,237.2
,8,Rest of world,Million dollars,600.0,805.5,764.3,546.8,474.3,565.3
,9,World,Million dollars,"11,415.8","11,598.1","10,952.1","8,690.1","8,048.0","7,719.3"
,10,World (quantity),"1,000 metric tons","1,822.6","1,832.1","1,746.7","1,597.9","1,527.6","1,563.3"
,,,,,,,,,
Fresh or chilled red meats 2/,11,Canada,Million dollars,"3,429.8","3,261.2","3,090.1","2,181.9","2,113.3","2,007.4"
,12,Mexico,Million dollars,"1,638.2","1,735.2","1,789.7","1,329.5","1,186.9","1,038.9"
,13,Australia,Million dollars,756.6,570.2,649.4,641.9,595.7,542.2
,14,Nicaragua,Million dollars,102.8,94.0,85.6,79.2,53.7,37.6
,15,New Zealand,Million dollars,81.0,87.2,86.5,44.2,36.9,27.9
,16,Argentina,Million dollars,72.8,67.8,60.4,23.0,1.9,0.0
,17,Rest of world,Million dollars,129.7,132.5,153.1,91.4,72.3,65.7
,18,World,Million dollars,"6,210.9","5,948.1","5,914.8","4,391.1","4,060.7","3,719.7"
,19,World (quantity),"1,000 metric tons",906.3,931.8,882.4,786.7,754.8,730.1
,,,,,,,,,
Frozen red meats and parts,20,Australia,Million dollars,"1,029.8",763.2,650.7,964.0,981.7,860.6
,21,New Zealand,Million dollars,937.6,809.8,906.1,871.3,630.3,882.8
,22,Brazil,Million dollars,471.2,549.6,352.0,124.8,26.9,23.1
,23,Canada,Million dollars,361.2,417.8,402.4,233.9,240.6,229.8
,24,Mexico,Million dollars,343.7,367.3,289.9,235.5,179.8,159.3
,25,Uruguay,Million dollars,280.7,262.9,222.9,237.6,190.4,172.3
,26,Rest of world,Million dollars,639.2,909.2,875.2,699.9,660.6,713.8
