Partner,,Y 2018,Y 2019,Y_2020,Y_2021,Y_2022,Y_2023
Afghanistan,,26164153,23166924,25039002,6184292,8283,787788
Albania,,4221500,4673425,3877790,7711680,3488232,4341724
Algeria,,8189964,7768895,5478721,5572948,5011645,3551471
Andorra,,143275,0,17674,3613,2991,0
Angola,,2502012,2771089,2001058,2100680,6597483,6147871
Anguilla,,1717970,529019,296540,440912,778359,745343
Antigua Barbuda,,3930383,3433798,3224913,2959267,3790972,3616971
Argentina,,267488553,194986715,174470821,219873893,281936978,311288001
Armenia,,722445,418773,749807,4329968,28900299,33618169
Aruba,,5902518,6126684,3672123,5148637,4178191,5158719
Australia,,1303241107,1299923847,1175605909,1433936916,1557406115,2005328898
Austria,,109798202,86947159,64445779,79682442,71517290,103700062
Azerbaijan,,3436230,3811689,2220066,2821501,2644133,3642771
Bahamas,,27087389,24267066,20818527,20445459,24401511,25991725
Bahrain,,12888386,7488067,6429524,8684624,6533276,9426923
Bangladesh,,2559118,1566354,1457734,1667744,2045655,2845725
Barbados,,6398764,5832595,4974101,5284812,7631556,8053122
Belarus,,7154677,2049165,5937043,19200442,4172208,6993
Belgium,,515144060,570884549,395908355,544710573,582511005,598374892
Belize,,6338149,6156466,3207846,3603901,4496316,7245482
Benin,,46841986,46003033,26753925,33214179,43507274,38179771
Bermuda,,11052152,4781226,3545342,5483735,5791198,5708757
Bhutan,,7677,0,0,3732,4452,0
Bolivia,,20431050,17524036,19969942,18493381,24210104,15722289
Bosnia-Hercegovina,,282428,371080,54372,362204,1852805,1895975
Botswana,,565763,614914,304000,455262,351861,642005
Br Indian Ocean Territory,,68289,35473,93369,49906,18700,35042
Brazil,,1229461048,1132108057,905093821,1184727082,1266949674,1190993079
British Virgin Islands,,4919438,3361011,2784305,1579607,3454329,3049990
Brunei,,1062530,773516,1800707,2669894,3078755,2098364
Bulgaria,,3382045,2472278,2833376,2987197,2834444,3861092
Burkina (Upper Volta),,1228615,684646,2070800,5975872,7964143,2599963
Burma (Myanmar),,684480,806760,1232342,527144,98804,145596
Burundi,,25236,0,37866,4901,0,7563
Cambodia (Kampuchea),,60350387,57646799,24198001,29882772,41389630,16579313
Cameroon,,3388536,3787931,2489275,3457583,2820038,3900309
Canada,,30749813818,29422005117,21979574184,21569493812,25806846862,31705918255
Cape Verde,,889355,808806,1402858,2644239,1201068,1214049
Cayman Islands,,9734090,8419728,5238255,5878623,5793948,6860949
Central African Republic,,119163,218235,60971,52684,36636,678802
Chad,,315147,4116177,622934,1771132,339546,496423
Chile,,374391440,415207483,345175980,417044455,459616052,409828570
China,,3661971653,2587226278,3427468841,3015488759,2685859682,2590883187
Christmas Island,,21820,47349,0,72322,0,0
Cocos (Keeling) Islands,,0,0,0,0,0,6803
Colombia,,314549123,289664557,185373314,252918488,369691028,262635670
Comoros,,0,0,0,0,0,0
Congo,,736826,1463988,1361734,798497,703199,1193794
"Congo, Dem Republic (Former Zaire)",,865384,1717172,734807,1178281,1049906,940986
