,PRODUCT TYPE,COUNTRY,MEASURE,Year,Total Imports,Population,Total Imports Per Capita
0,Total beverages,Mexico,Million dollars,2023,6739.7,343477335,1.962196428477588
1,,Italy,Million dollars,2023,2743.5,343477335,0.798742659395561
2,,France,Million dollars,2023,2738.0,343477335,0.7971413892564411
3,,Canada,Million dollars,2023,816.4,343477335,0.23768671665045962
4,,Netherlands,Million dollars,2023,705.6,343477335,0.205428401847825
5,,New Zealand,Million dollars,2023,606.9,343477335,0.17669288135125422
6,,Spain,Million dollars,2023,405.3,343477335,0.11799905225187565
7,,Austria,Million dollars,2023,379.0,343477335,0.11034206958662934
8,,Australia,Million dollars,2023,299.5,343477335,0.08719643757571369
9,,Rest of world,Million dollars,2023,2479.1,343477335,0.7217652367076856
10,,World,Million dollars,2023,17913.0,343477335,5.215191273101033
11,,World (quantity),"1,000 litpf",2023,9503.0,343477335,2.7667036603739805
12,Wine 3/,France,Million dollars,2023,2473.5,343477335,0.7201348525660362
13,,Italy,Million dollars,2023,2253.9,343477335,0.6562005030113559
14,,New Zealand,Million dollars,2023,595.8,343477335,0.17346122707048484
15,,Spain,Million dollars,2023,382.1,343477335,0.11124460366504241
16,,Australia,Million dollars,2023,270.2,343477335,0.07866603483458377
17,,Argentina,Million dollars,2023,200.2,343477335,0.058286233063966214
18,,Canada,Million dollars,2023,196.1,343477335,0.05709255896025862
19,,Rest of world,Million dollars,2023,728.7,343477335,0.2121537364321288
20,,World,Million dollars,2023,7100.5,343477335,2.0672397496038566
21,,World (quantity),"1,000 litpf",2023,1402.9,343477335,0.4084403414857053
22,Malt beer,Mexico,Million dollars,2023,5683.3,343477335,1.6546361057564396
23,,Netherlands,Million dollars,2023,622.3,343477335,0.18117643774079006
24,,Ireland,Million dollars,2023,153.8,343477335,0.044777335890299724
25,,Canada,Million dollars,2023,105.0,343477335,0.030569702655926335
26,,Germany,Million dollars,2023,70.5,343477335,0.020525371783264825
27,,Belgium,Million dollars,2023,41.0,343477335,0.011936741037075997
28,,Italy,Million dollars,2023,30.2,343477335,0.008792428763895004
29,,Rest of world,Million dollars,2023,133.0,343477335,0.03872162336417336
30,,World,Million dollars,2023,6839.1,343477335,1.991135746991865
31,,World (quantity),"1,000 litpf",2023,4703.8,343477335,1.369464450980441
32,Nonalcoholic beverages,Mexico,Million dollars,2023,1002.0,343477335,0.2917223053451256
33,,Canada,Million dollars,2023,515.4,343477335,0.15005356903680414
34,,Italy,Million dollars,2023,459.4,343477335,0.1337497276203101
35,,Austria,Million dollars,2023,349.4,343477335,0.10172432483791106
36,,Switzerland,Million dollars,2023,279.9,343477335,0.08149009307994076
37,,France,Million dollars,2023,260.2,343477335,0.0757546345816384
38,,Rest of world,Million dollars,2023,1107.1,343477335,0.3223211220035814
39,,World,Million dollars,2023,3973.4,343477335,1.1568157765053115
40,,World (quantity),"1,000 litpf",2023,3396.4,343477335,0.9888279819103639
41,Liquors and liqueurs,Mexico,Million dollars,2023,4741.8,343477335,1.3805277719416333
42,,France,Million dollars,2023,1945.5,343477335,0.5664129192105208
43,,United Kingdom,Million dollars,2023,1661.5,343477335,0.48372915202687244
44,,Canada,Million dollars,2023,537.4,343477335,0.15645864959328393
45,,Netherlands,Million dollars,2023,364.5,343477335,0.10612053921985856
46,,Ireland,Million dollars,2023,265.1,343477335,0.07718122070558164
47,,Italy,Million dollars,2023,241.5,343477335,0.07031031610863057
48,,Sweden,Million dollars,2023,137.6,343477335,0.04006086748052823
49,,Rest of world,Million dollars,2023,780.1,343477335,0.22711833373226795
50,,World,Million dollars,2023,10675.0,343477335,3.1079197700191776
51,,World (quantity),"1,000 litpf",2023,856316.8,343477335,249.30809481213657
52,Total beverages,Mexico,Million dollars,2022,6332.8,341534046,1.8542221702840131
53,,Italy,Million dollars,2022,2877.0,341534046,0.8423757554173676
54,,France,Million dollars,2022,2919.9,341534046,0.8549367286211929
55,,Canada,Million dollars,2022,718.4,341534046,0.21034506176289083
56,,Netherlands,Million dollars,2022,871.3,341534046,0.2551136585662678
57,,New Zealand,Million dollars,2022,594.9,341534046,0.17418468435793952
58,,Spain,Million dollars,2022,433.6,341534046,0.1269565962978695
59,,Austria,Million dollars,2022,634.0,341534046,0.1856330305646893
60,,Australia,Million dollars,2022,337.5,341534046,0.09881884513498838
61,,Rest of world,Million dollars,2022,2970.7,341534046,0.8698107947926222
62,,World,Million dollars,2022,18690.1,341534046,5.47239732579984
63,,World (quantity),"1,000 litpf",2022,9755.0,341534046,2.8562306201238865
64,Wine 3/,France,Million dollars,2022,2657.1,341534046,0.7779897878760819
65,,Italy,Million dollars,2022,2474.0,341534046,0.7243787344117371
66,,New Zealand,Million dollars,2022,584.0,341534046,0.17099320165580212
67,,Spain,Million dollars,2022,416.8,341534046,0.12203761378448344
68,,Australia,Million dollars,2022,309.4,341534046,0.09059126128819378
69,,Argentina,Million dollars,2022,280.8,341534046,0.08221727915231034
70,,Canada,Million dollars,2022,182.7,341534046,0.053493934833073714
71,,Rest of world,Million dollars,2022,902.3,341534046,0.26419035248977785
72,,World,Million dollars,2022,7807.1,341534046,2.28589216549146
73,,World (quantity),"1,000 litpf",2022,1640.1,341534046,0.4802156678693169
74,Malt beer,Mexico,Million dollars,2022,5383.9,341534046,1.5763874972511525
75,,Netherlands,Million dollars,2022,775.0,341534046,0.2269173480877511
76,,Ireland,Million dollars,2022,166.9,341534046,0.04886774889786537
77,,Canada,Million dollars,2022,97.6,341534046,0.02857694603014775
78,,Germany,Million dollars,2022,74.0,341534046,0.021666946785153008
79,,Belgium,Million dollars,2022,51.0,341534046,0.014932625487064912
80,,Italy,Million dollars,2022,29.0,341534046,0.008491100767154558
81,,Rest of world,Million dollars,2022,128.6,341534046,0.037653639953657794
82,,World,Million dollars,2022,6706.0,341534046,1.963493853259947
83,,World (quantity),"1,000 litpf",2022,4751.2,341534046,1.3911351022380942
84,Nonalcoholic beverages,Mexico,Million dollars,2022,880.1,341534046,0.25769026845423193
85,,Canada,Million dollars,2022,438.1,341534046,0.12827418089966938
86,,Italy,Million dollars,2022,374.0,341534046,0.10950592023847602
87,,Austria,Million dollars,2022,600.8,341534046,0.1759121841691882
88,,Switzerland,Million dollars,2022,451.3,341534046,0.13213909573161559
89,,France,Million dollars,2022,258.3,341534046,0.07562935614331111
90,,Rest of world,Million dollars,2022,1174.4,341534046,0.34386030141194185
91,,World,Million dollars,2022,4177.0,341534046,1.223011307048434
92,,World (quantity),"1,000 litpf",2022,3363.7,341534046,0.9848798500164754
93,Liquors and liqueurs,Mexico,Million dollars,2022,5048.1,341534046,1.4780664062990665
94,,France,Million dollars,2022,3070.1,341534046,0.8989147746634899
95,,United Kingdom,Million dollars,2022,1533.1,341534046,0.44888643400429834
96,,Canada,Million dollars,2022,483.5,341534046,0.14156714554893893
97,,Netherlands,Million dollars,2022,351.2,341534046,0.10283015825602347
98,,Ireland,Million dollars,2022,358.0,341534046,0.10482117498763213
99,,Italy,Million dollars,2022,233.6,341534046,0.06839728066232086
100,,Sweden,Million dollars,2022,159.2,341534046,0.04661321524589674
101,,Rest of world,Million dollars,2022,862.9,341534046,0.25265416730957474
102,,World,Million dollars,2022,12099.7,341534046,3.5427507569772416
103,,World (quantity),"1,000 litpf",2022,1015014.3,341534046,297.1927138414775
104,Total beverages,Mexico,Million dollars,2021,5724.3,340161441,1.6828186002422303
105,,Italy,Million dollars,2021,2846.8,340161441,0.8368967369232188
106,,France,Million dollars,2021,2785.0,340161441,0.8187288929082353
107,,Canada,Million dollars,2021,656.3,340161441,0.19293779979018844
108,,Netherlands,Million dollars,2021,853.9,340161441,0.25102786414877637
109,,New Zealand,Million dollars,2021,559.2,340161441,0.16439253031033582
110,,Spain,Million dollars,2021,453.8,340161441,0.13340724294497563
111,,Austria,Million dollars,2021,932.1,340161441,0.2740169483230758
112,,Australia,Million dollars,2021,326.3,340161441,0.0959250404868787
113,,Rest of world,Million dollars,2021,3411.5,340161441,1.0029061465552764
114,,World,Million dollars,2021,18549.2,340161441,5.453057802633191
115,,World (quantity),"1,000 litpf",2021,9925.6,340161441,2.9179086173967614
116,Wine 3/,France,Million dollars,2021,2541.4,340161441,0.747115837858883
117,,Italy,Million dollars,2021,2524.5,340161441,0.7421476086703196
118,,New Zealand,Million dollars,2021,551.3,340161441,0.16207010364822624
119,,Spain,Million dollars,2021,438.8,340161441,0.12899757206755247
120,,Australia,Million dollars,2021,293.4,340161441,0.0862531623623972
121,,Argentina,Million dollars,2021,265.4,340161441,0.07802177672454062
122,,Canada,Million dollars,2021,181.3,340161441,0.05329822200512139
123,,Rest of world,Million dollars,2021,985.9,340161441,0.28983296787010027
124,,World,Million dollars,2021,7782.0,340161441,2.2877372512071408
125,,World (quantity),"1,000 litpf",2021,1738.7,340161441,0.5111396503050444
126,Malt beer,Mexico,Million dollars,2021,4863.0,340161441,1.4296152984605919
127,,Netherlands,Million dollars,2021,744.5,340161441,0.21886666454943668
128,,Ireland,Million dollars,2021,151.7,340161441,0.04459647147367299
129,,Canada,Million dollars,2021,100.3,340161441,0.029485999267036267
130,,Germany,Million dollars,2021,81.0,340161441,0.02381222273808512
131,,Belgium,Million dollars,2021,222.6,340161441,0.06543951582095985
132,,Italy,Million dollars,2021,31.1,340161441,0.009142717619190707
133,,Rest of world,Million dollars,2021,167.3,340161441,0.0491825291861931
134,,World,Million dollars,2021,6361.5,340161441,1.8701414191151666
135,,World (quantity),"1,000 litpf",2021,4622.3,340161441,1.3588547797808748
