,Country,Year,Total Exports,Population,Total Exports Per Capita
0,Afghanistan,2018,26164153,335056497,7.808877975585115
1,Albania,2018,4221500,335056497,1.2599367682161375
2,Algeria,2018,8189964,335056497,2.4443531384499613
3,Andorra,2018,143275,335056497,0.042761445094437314
4,Angola,2018,2502012,335056497,0.7467433171427206
5,Anguilla,2018,1717970,335056497,0.5127403931522629
6,Antigua Barbuda,2018,3930383,335056497,1.1730508243211293
7,Argentina,2018,267488553,335056497,79.83386545105556
8,Armenia,2018,722445,335056497,0.2156188602425459
9,Aruba,2018,5902518,335056497,1.7616485735538505
10,Australia,2018,1303241107,335056497,388.96159861660584
11,Austria,2018,109798202,335056497,32.77005608997339
12,Azerbaijan,2018,3436230,335056497,1.0255673388718083
13,Bahamas,2018,27087389,335056497,8.084424341128356
14,Bahrain,2018,12888386,335056497,3.846630677333202
15,Bangladesh,2018,2559118,335056497,0.7637870099262692
16,Barbados,2018,6398764,335056497,1.9097567297732478
17,Belarus,2018,7154677,335056497,2.1353643531944404
18,Belgium,2018,515144060,335056497,153.74841694235226
19,Belize,2018,6338149,335056497,1.8916657509255819
20,Benin,2018,46841986,335056497,13.980324637608803
21,Bermuda,2018,11052152,335056497,3.2985935503289165
22,Bhutan,2018,7677,335056497,0.0022912553759552976
23,Bolivia,2018,20431050,335056497,6.09779251646626
24,Bosnia-Hercegovina,2018,282428,335056497,0.08429264990495021
25,Botswana,2018,565763,335056497,0.16885600042550436
26,Br Indian Ocean Territory,2018,68289,335056497,0.02038133885223542
27,Brazil,2018,1229461048,335056497,366.9414140624768
28,British Virgin Islands,2018,4919438,335056497,1.468241339609063
29,Brunei,2018,1062530,335056497,0.3171196528088814
30,Bulgaria,2018,3382045,335056497,1.0093954393607834
31,Burkina (Upper Volta),2018,1228615,335056497,0.3666889050057728
32,Burma (Myanmar),2018,684480,335056497,0.20428793535676462
33,Burundi,2018,25236,335056497,0.007531864096340744
34,Cambodia (Kampuchea),2018,60350387,335056497,18.012003211506148
35,Cameroon,2018,3388536,335056497,1.0113327245822665
36,Canada,2018,30749813818,335056497,9177.501135875602
37,Cape Verde,2018,889355,335056497,0.26543433957049933
38,Cayman Islands,2018,9734090,335056497,2.9052085505448355
39,Central African Republic,2018,119163,335056497,0.035565046810598036
40,Chad,2018,315147,335056497,0.0940578686943056
41,Chile,2018,374391440,335056497,111.73979413985218
42,China,2018,3661971653,335056497,1092.9415444225813
43,Christmas Island,2018,21820,335056497,0.006512334545179704
44,Cocos (Keeling) Islands,2018,0,335056497,0.0
45,Colombia,2018,314549123,335056497,93.87942804165353
46,Comoros,2018,0,335056497,0.0
47,Congo,2018,736826,335056497,0.21991097220836758
48,"Congo, Dem Republic (Former Zaire)",2018,865384,335056497,0.25828002374178705
49,Cook Islands,2018,202306,335056497,0.06037966785046404
