,PRODUCT TYPE,COUNTRY,MEASURE,Year,Total Imports,Population,Total Imports Per Capita
0,Total fruit and preparations,Mexico,Million dollars,2023,11258.9,343477335,3.2779164307886575
1,,Peru,Million dollars,2023,2488.4,343477335,0.7244728389429247
2,,Chile,Million dollars,2023,2052.8,343477335,0.5976522439246247
3,,Guatemala,Million dollars,2023,1537.4,343477335,0.44759867488782046
4,,Costa Rica,Million dollars,2023,1342.3,343477335,0.3907972559528564
5,,Canada,Million dollars,2023,1107.4,343477335,0.3224084640111698
6,,Brazil,Million dollars,2023,1005.3,343477335,0.29268306742859757
7,,Ecuador,Million dollars,2023,732.8,343477335,0.21334741053583636
8,,Thailand,Million dollars,2023,596.6,343477335,0.1736941390907205
9,,China ,Million dollars,2023,596.0,343477335,0.17351945507554378
10,,Rest of world,Million dollars,2023,4915.2,343477335,1.431011452327706
11,,World,Million dollars,2023,27633.1,343477335,8.045101432966458
12,,World (quantity),"1,000 metric tons",2023,15206.9,343477335,4.427337250651488
13,Fresh or chilled fruit,Mexico,Million dollars,2023,9618.8,343477335,2.8004176753030876
14,,Peru,Million dollars,2023,2287.1,343477335,0.6658663518511345
15,,Chile,Million dollars,2023,1589.3,343477335,0.46270884220060693
16,,Guatemala,Million dollars,2023,1430.5,343477335,0.4164758061838345
17,,Costa Rica,Million dollars,2023,1141.4,343477335,0.332307224871184
18,,Ecuador,Million dollars,2023,557.9,343477335,0.16242702011182195
19,,Honduras,Million dollars,2023,388.2,343477335,0.11302055781933909
20,,Colombia,Million dollars,2023,375.0,343477335,0.1091775094854512
21,,Canada,Million dollars,2023,283.8,343477335,0.08262553917858947
22,,South Africa,Million dollars,2023,177.5,343477335,0.05167735448978023
23,,Rest of world,Million dollars,2023,1132.7,343477335,0.32977430665112156
24,,World,Million dollars,2023,18982.2,343477335,5.526478188145951
25,,World (quantity),"1,000 metric tons",2023,12929.9,343477335,3.764411413055828
26,Bananas and plantains,Guatemala,Million dollars,2023,1082.7,343477335,0.3152173053863947
27,,Ecuador,Million dollars,2023,449.0,343477335,0.13072187135724692
28,,Costa Rica,Million dollars,2023,434.3,343477335,0.12644211298541722
29,,Colombia,Million dollars,2023,262.2,343477335,0.07633691463222748
30,,Honduras,Million dollars,2023,229.2,343477335,0.06672929379750778
31,,Mexico,Million dollars,2023,200.4,343477335,0.05834446106902512
32,,Rest of world,Million dollars,2023,66.4,343477335,0.01933169767955723
33,,World,Million dollars,2023,2724.2,343477335,0.7931236569073764
34,,World (quantity),"1,000 metric tons",2023,5088.2,343477335,1.4813786767036607
35,Frozen fruit,Mexico,Million dollars,2023,328.3,343477335,0.09558127030419634
36,,Canada,Million dollars,2023,297.6,343477335,0.08664327152765408
37,,Chile,Million dollars,2023,203.7,343477335,0.059305223152497095
38,,Peru,Million dollars,2023,96.7,343477335,0.02815324044598168
39,,Guatemala,Million dollars,2023,70.0,343477335,0.02037980177061756
40,,Costa Rica,Million dollars,2023,51.5,343477335,0.014993711302668631
41,,Rest of world,Million dollars,2023,231.5,343477335,0.0673989158556852
42,,World,Million dollars,2023,1279.3,343477335,0.3724554343593006
43,,World (quantity),"1,000 metric tons",2023,564.9,343477335,0.1644650002888837
44,"Dried, prepared or preserved fruit",Mexico,Million dollars,2023,842.7,343477335,0.24534369931570593
45,,China ,Million dollars,2023,472.0,343477335,0.13741809193902124
46,,Canada,Million dollars,2023,408.7,343477335,0.11898892833787708
47,,Thailand,Million dollars,2023,313.6,343477335,0.09130151193236667
48,,South Korea,Million dollars,2023,218.7,343477335,0.06367232353191514
49,,Chile,Million dollars,2023,170.6,343477335,0.049668488315247936
50,,Rest of world,Million dollars,2023,1764.8,343477335,0.5138039166397981
51,,World,Million dollars,2023,4191.1,343477335,1.2201969600119322
52,,World (quantity),"1,000 metric tons",2023,1707.2,343477335,0.4970342511828328
