,PRODUCT TYPE,COUNTRY,MEASURE,Year,Total Imports,Population,Total Imports Per Capita
0,Total cocoa and products,Canada,Million dollars,2023,2031.6,343477335,0.5914800753883804
1,,Cote d'Ivoire,Million dollars,2023,701.9,343477335,0.2043511837542352
2,,Mexico,Million dollars,2023,612.0,343477335,0.17817769548025636
3,,Ghana,Million dollars,2023,265.0,343477335,0.07715210670305218
4,,Malaysia,Million dollars,2023,250.2,343477335,0.07284323432869304
5,,Ecuador,Million dollars,2023,240.1,343477335,0.06990272007321822
6,,Netherlands,Million dollars,2023,235.8,343477335,0.06865081796445172
7,,Rest of world,Million dollars,2023,1815.8,343477335,0.5286520579298194
8,,World,Million dollars,2023,6152.4,343477335,1.7912098916221066
9,,World (quantity),"1,000 metric tons",2023,1338.9,343477335,0.389807379866855
10,,Ecuador,Million dollars,2023,171.1,343477335,0.0498140583278952
11,,Ghana,Million dollars,2023,146.7,343477335,0.0427102417107085
12,,Dominican Republic,Million dollars,2023,39.6,343477335,0.011529145001663648
13,,Papua New Guinea,Million dollars,2023,25.1,343477335,0.007307614634892867
14,,Nigeria,Million dollars,2023,9.7,343477335,0.002824058245357004
15,,Rest of world,Million dollars,2023,16.0,343477335,0.004658240404712585
16,,World,Million dollars,2023,769.3,343477335,0.22397402145908696
17,,World (quantity),"1,000 metric tons",2023,269.1,343477335,0.07834578080675979
18,"Cocoa paste, butter, and powder",Cote d'Ivoire,Million dollars,2023,300.1,343477335,0.08737112159089043
19,,Malaysia,Million dollars,2023,215.1,343477335,0.0626242194408548
20,,Netherlands,Million dollars,2023,207.3,343477335,0.06035332724355742
21,,Ghana,Million dollars,2023,118.0,343477335,0.03435452298475531
22,,Ecuador,Million dollars,2023,64.6,343477335,0.018807645634027058
23,,Canada,Million dollars,2023,54.7,343477335,0.01592535938361115
24,,Spain,Million dollars,2023,38.5,343477335,0.011208890973839657
25,,Rest of world,Million dollars,2023,225.3,343477335,0.06559384769885908
26,,World,Million dollars,2023,1454.3,343477335,0.4234049387858445
27,,World (quantity),"1,000 metric tons",2023,364.0,343477335,0.1059749692072113
28,Chocolate,Canada,Million dollars,2023,1976.9,343477335,0.5755547160047693
29,,Mexico,Million dollars,2023,598.2,343477335,0.17415996313119178
30,,Germany,Million dollars,2023,186.0,343477335,0.0541520447047838
31,,Poland,Million dollars,2023,140.7,343477335,0.040963401558941286
32,,Italy,Million dollars,2023,97.1,343477335,0.0282696964560995
33,,Switzerland,Million dollars,2023,90.6,343477335,0.02637728629168501
34,,Croatia,Million dollars,2023,65.8,343477335,0.019157013664380503
35,,Rest of world,Million dollars,2023,569.7,343477335,0.16586247241029747
36,,World,Million dollars,2023,3928.5,343477335,1.1437435893695869
37,,World (quantity),"1,000 metric tons",2023,705.8,343477335,0.20548662985288388
