Category,Year,Sales Amount,Population,Sales Amount per Capita
"Retail and food services sales, total",2018,5984486.0,335056497,0.17861125074676584
Retail sales and food services excl motor vehicle and parts,2018,4780294.0,335056497,0.14267128209127072
Retail sales and food services excl gasoline stations,2018,5461050.0,335056497,0.16298893019227143
Retail sales and food services excl motor vehicle and parts and gasoline stations,2018,4256858.0,335056497,0.12704896153677628
"Retail sales, total",2018,5253381.0,335056497,0.1567909008491783
"Retail sales, total (excl. motor vehicle and parts dealers)",2018,4049189.0,335056497,0.12085093219368315
GAFO(1),2018,1295874.0,335056497,0.03867628330155914
Motor vehicle and parts dealers,2018,1204192.0,335056497,0.03593996865549513
Automobile and other motor vehicle dealers,2018,1109250.0,335056497,0.033106356985520564
Automobile dealers,2018,1034900.0,335056497,0.030887328234676794
New car dealers,2018,917628.0,335056497,0.02738726179662769
Used car dealers,2018,117272.0,335056497,0.003500066438049103
"Automotive parts, acc., and tire stores",2018,94942.0,335056497,0.0028336116699745717
"Furniture, home furn, electronics, and appliance stores",2018,212955.0,335056497,0.006355793781249972
Furniture and home furnishings stores,2018,119025.0,335056497,0.003552385972685675
Furniture stores,2018,63287.0,335056497,0.0018888456295178184
Home furnishings stores,2018,55738.0,335056497,0.0016635403431678568
All other home furnishings stores,2018,30045.0,335056497,0.0008967144427585895
Electronics and appliance stores,2018,93930.0,335056497,0.002803407808564297
Household appliance stores,2018,16924.0,335056497,0.0005051088443749831
Electronics stores,2018,77006.0,335056497,0.002298298964189314
Building mat. and garden equip. and supplies dealers,2018,367113.0,335056497,0.010956749183705577
Building mat. and supplies dealers,2018,322123.0,335056497,0.009613990562314033
Paint and wallpaper stores,2018,12208.0,335056497,0.00036435646254607624
Hardware stores,2018,27382.0,335056497,0.0008172353094230554
Food and beverage stores,2018,749812.0,335056497,0.022378673647984806
Grocery stores,2018,671283.0,335056497,0.0200349196631158
Supermarkets and other grocery (except convenience) stores,2018,640235.0,335056497,0.01910826997036264
"Beer, wine, and liquor stores",2018,55043.0,335056497,0.0016427975727329352
Health and personal care stores,2018,337805.0,335056497,0.010082031031321862
Pharmacies and drug stores,2018,279524.0,335056497,0.00834259304036119
Gasoline stations,2018,523436.0,335056497,0.015622320554494426
Clothing and clothing access. stores,2018,266061.0,335056497,0.007940780208180832
Clothing stores,2018,194715.0,335056497,0.00581140797875649
Men's clothing stores,2018,9255.0,335056497,0.00027622207248230137
Women's clothing stores,2018,39898.0,335056497,0.0011907842515287803
Family clothing stores,2018,109121.0,335056497,0.0032567940325598285
Other clothing stores,2018,17897.0,335056497,0.0005341487229838734
Shoe stores,2018,36924.0,335056497,0.0011020231014950293
Jewelry stores,2018,31979.0,335056497,0.0009544360514220979
"Sporting goods, hobby, musical instrument, and book stores",2018,79991.0,335056497,0.002387388417064481
Sporting goods stores,2018,43913.0,335056497,0.0013106147886456296
"Hobby, toy, and game stores",2018,16825.0,335056497,0.0005021541188022389
Book stores,2018,9544.0,335056497,0.0002848474834976861
General merchandise stores,2018,706653.0,335056497,0.021090562526832602
Department stores,2018,142078.0,335056497,0.004240419191155097
Department stores(excl. discount department stores),2018,44571.0,335056497,0.001330253267704879
Discount dept. stores,2018,97507.0,335056497,0.0029101659234502175
Other general merchandise stores,2018,564575.0,335056497,0.016850143335677505
Warehouse clubs and superstores,2018,486068.0,335056497,0.014507045956491332
All other gen. merchandise stores,2018,78507.0,335056497,0.0023430973791861735
Miscellaneous store retailers,2018,128495.0,335056497,0.003835024873432017
"Office supplies, stationery, and gift stores",2018,30214.0,335056497,0.0009017583682312539
Office supplies and stationery stores,2018,11306.0,335056497,0.00033743562954996215
"Gift, novelty, and souvenir stores",2018,18908.0,335056497,0.0005643227386812917
Used merchandise stores,2018,17229.0,335056497,0.0005142117867960638
Nonstore retailers,2018,676868.0,335056497,0.02020160796941657
Electronic shopping and mail-order houses,2018,584847.0,335056497,0.017455175626694384
Fuel dealers,2018,36593.0,335056497,0.0010921441705396926
Food services and drinking places,2018,731105.0,335056497,0.02182034989758757
Restaurants and other eating places,2018,638617.0,335056497,0.019059979606961628
Full service restaurants,2018,317360.0,335056497,0.009471835431980893
Limited service eating places,2018,321257.0,335056497,0.009588144174980735
,2018,,335056497,
,2018,,335056497,
,2018,,335056497,
,2018,,335056497,
,2018,,335056497,
,2018,,335056497,
,2018,,335056497,
,2018,,335056497,
